,preds,explanations
21,question,"The utterance ""are you all right?"" is classified as Question because it seeks information or confirmation about the listener's well-being. "
22,inform,"The utterance ""I will be all right soon. I was terrified when I watched them fall from the wire"" is classified as Informative because it provides additional information about the speaker's well-being and their previous experience. "
23,directive,"The utterance ""don't worry. He is an acrobat"" is classified as Directive because it offers reassurance and gives a command to not worry. "
24,inform,"The utterance ""I see"" is classified as Informative because it acknowledges understanding of the previous statement."
25,inform,The first utterance is classified as Informative because it provides a statement about the skates being new and asks if they are new. 
26,commissive,"The second utterance is classified as Commissive because it involves the speaker making a commitment or promise to have gotten new skates. The use of ""I just got them"" indicates a recent action and the speaker expressing their personal commitment. "
27,question,"The third utterance is classified as a Question because it is seeking information about the position the person plays in ice hockey. The use of ""what position"" indicates the intent to elicit a specific piece of information from the listener. "
28,inform,"The fourth utterance is classified as Informative because it provides information about the speaker playing as a defender in ice hockey. It does not involve a commitment, request, or seeking of information. "
29,inform,"The fifth utterance is classified as Informative because it provides information about the speaker playing as a goalie in ice hockey. It does not involve a commitment, request, or seeking of information."
30,question,"The utterance ""oh, yeah? which team?"" is classified as a Question because it starts with the interrogative phrase ""which team?"" and seeks information about the team being referred to. "
31,inform,"The utterance ""the rockets."" is classified as Informative because it provides a piece of information, specifically the name of the team being discussed. "
32,inform,"The utterance ""really? i think we play you guys next week. well, i have to go to practice. see you later."" is classified as Informative because it consists of statements sharing information about the speaker's thoughts, plans, and actions. "
33,inform,"The utterance ""all right, see you later."" is classified as Informative because it is a statement that informs the listener of the speaker's intention to part ways. "
34,question,"The utterance ""hey lydia, what are you reading?"" is classified as a Question because it starts with the interrogative phrase ""what are you reading?"" and seeks information about Lydia's current activity."
35,inform,The first utterance is classified as Informative because the speaker is providing information about their horoscope and its positive outlook for the month. 
36,question,The second utterance is classified as a Question because the speaker is asking for clarification about horoscopes. 
37,inform,The third utterance is classified as Informative because the speaker is providing an explanation of what horoscopes are and how they are based on zodiac signs. 
38,inform,The fourth utterance is classified as Informative because the speaker is simply stating their birth date in response to the previous question. 
39,inform,The fifth utterance is classified as Informative because the speaker is providing information about the horoscope prediction for the listener's zodiac sign and making a comparison with their own horoscope.
40,inform,The first utterance is classified as Informative because it provides an opinion about astrology and expresses disbelief in its validity. 
41,inform,The second utterance is classified as Informative because it offers a counter-argument to the previous statement and provides information about astrology and personality traits related to zodiac signs. 
42,question,The third utterance is classified as a Question because the speaker is directly asking for information about what the astrology says about them. The utterance seeks clarification and elicits a response. 
43,inform,"The fourth utterance is classified as Informative because it provides information about the traits associated with the speaker's zodiac sign, suggesting that it matches their characteristics. "
44,inform,The fifth utterance is classified as Informative because it is a statement that shares news about Frank getting married.
45,question,"The utterance ""is he really?"" is classified as a Question because it uses the interrogative form and seeks information or confirmation. "
46,inform,"The utterance ""yes, he is. he loves the girl very much."" is classified as Informative because it provides information without seeking a response or eliciting specific information from the listener. "
47,question,"The utterance ""who is he marrying?"" is classified as a Question because it uses the interrogative form and seeks information or clarification. "
48,inform,"The utterance ""a girl he met on holiday in Spain, I think."" is classified as Informative because it provides information without seeking a response or eliciting specific information from the listener. "
49,question,"The utterance ""have they set a date for the wedding?"" is classified as a Question because it uses the interrogative form and seeks information or confirmation."
50,commissive,"The utterance ""not yet"" is classified as a Commissive speech act because it includes the future-oriented phrase ""not yet,"" indicating a commitment or promise to do something in the future. "
51,inform,"The utterance ""i hear you bought a new house in the northern suburbs"" is classified as an Informative speech act because it shares information about the listener's purchase of a new house. "
52,commissive,"The utterance ""that's right, we bought it the same day we came on the market"" is classified as a Commissive speech act because it includes the past tense verb ""bought,"" indicating a commitment or promise that has already been fulfilled. "
53,question,"The utterance ""what kind of house is it?"" is classified as a Question speech act because it seeks information about the type or characteristics of the house. "
54,inform,"The utterance ""it's a wonderful Spanish style"" is classified as an Informative speech act because it provides a description and opinion about the house being discussed."
55,inform,"The utterance expresses an opinion or appreciation for the roof tiles on Spanish style houses. It does not make a commitment, request, or seek information, so it is classified as an Informative speech act. "
56,inform,"The utterance provides information about the price of houses in the river side area. It does not make a commitment, request, or seek information, so it is also classified as an Informative speech act. "
57,question,"The utterance asks a direct question about the number of bedrooms in the house. It seeks information from the listener, making it a Question speech act. "
58,inform,"The utterance provides detailed information about the house, its features, and rooms. It does not make a commitment, request, or seek information, so it is classified as an Informative speech act. "
59,inform,"The utterance expresses an opinion or suggestion about the house being a good investment. It does not make a commitment, request, or seek information, so it is classified as an Informative speech act."
60,question,"The first utterance is classified as a Question because it begins with the interrogative word ""when"" and seeks information about the timing of buying a house. "
61,commisive,"The second utterance is a commissive speech act. It includes future-oriented language (""not until the end of this year"") and expresses a commitment to buying a house before the speaker's wedding. "
62,inform,"The third utterance is classified as an Informative because it acknowledges and congratulates the recipient on their upcoming wedding, providing information about the speaker's response to the previous statement. "
63,inform,"The fourth utterance is classified as an Informative because it expresses gratitude in response to the previous statement, providing information about the speaker's feelings. "
64,directive,"The fifth utterance is classified as a Directive because it is an invitation or request to the listener (""Becky"") to share what is currently happening or any updates."
65,inform,"The utterance ""not much, except that my mother-in-law is driving me up the wall"" is classified as Informative. This is because the speaker is providing information about their current situation with their mother-in-law without requesting any action or eliciting specific information from the listener. "
66,question,"The utterance ""what's the problem?"" is classified as a Question. This is because it is a direct question seeking information or clarification about the problem mentioned by the speaker in the previous utterance. "
67,inform,"The utterance ""she loves to nit-pick and criticizes everything that I do. I can never do anything right when she's around"" is classified as Informative. The speaker is providing information about their mother-in-law's behavior, expressing their frustration and sharing their experience without requesting any action or seeking specific information. "
68,question,"The utterance ""for example?"" is classified as a Question. The speaker is explicitly asking for specific instances or examples to support the previous statement about their mother-in-law's behavior. "
69,inform,"The utterance ""well, last week I invited her over to dinner. My husband and I had no problem with the food, but if you listened to her, then it would seem like I fed her old meat and rotten vegetables. There's just nothing can please her"" is classified as Informative. The speaker is providing information and sharing a specific example of their mother-in-law's behavior without requesting any action or seeking specific information."
70,inform,The first utterance is classified as Informative because the speaker is providing information about their belief that the situation described will not happen based on their knowledge of the person's cooking skills. 
71,inform,The second utterance is also classified as Informative because the speaker is sharing additional information about how the person criticizes their parenting. 
72,inform,The third utterance is again classified as Informative as the speaker continues to provide information about their personal experience with their own mother-in-law's criticisms. 
73,question,The fourth utterance is classified as a Question because the speaker seeks information by asking how the person managed to stop their mother-in-law's criticisms. 
74,inform,The fifth utterance is classified as Informative because the speaker provides information about how they resolved the issue with their mother-in-law through open communication.
75,inform,The first utterance is classified as Informative because it provides a general comment or statement about trying something without explicitly requesting or seeking information. 
76,question,The second utterance is classified as a Question because it directly asks for information about the performance of Zina's new programmers. 
77,inform,The third utterance is classified as Informative because it provides information about the speakers' opinion of the new programmers and their abilities. 
78,question,The fourth utterance is classified as a Question because it asks about the speaker's ability to meet a deadline and have the project up and running. 
79,commissive,"The fifth utterance is classified as a Commissive because it expresses a commitment to meeting the deadline, even though it may be a close call. The speaker pledges to deliver the project on time."
80,commissive,"The first utterance ""good . after stars.com starts paying us , we won't need vikam's cash anymore"" is classified as Commissive. It includes future-oriented language (""after stars.com starts paying us""), indicating a commitment to a future course of action. "
81,commissive,"The second utterance ""and if we don't need them , we won't need zina , either"" is also classified as Commissive. It includes future-oriented language (""if we don't need them""), indicating a commitment to a future state of affairs. "
82,question,"The third utterance ""do you like cooking ?"" is classified as a Question. It takes the form of an interrogative sentence, seeking information or confirmation from the listener. "
83,inform,"The fourth utterance ""yes . i like cooking very much . i got this hobby when i was 12 years old"" is classified as Informative. It provides information about the speaker's liking for cooking and how they developed the hobby. "
84,question,"The fifth utterance ""why do you like it ?"" is classified as a Question. It takes the form of an interrogative sentence, seeking the reasons behind the speaker's liking for cooking."
85,inform,"The first utterance ""I have no idea. I like cooking by myself. I like to taste delicious food."" is classified as Informative because it shares information about the speaker's preferences and interests in cooking and food. "
86,directive,"The second utterance ""That's wonderful!"" is classified as Directive because it expresses a positive reaction or encouragement to the previous utterance. "
87,inform,"The third utterance ""And I love trying new recipes, which I usually test with my friends. You can come, too."" is classified as Informative because it provides information about the speaker's cooking habits and extends an invitation to the listener to join in. "
88,directive,"The fourth utterance ""Really? I hope I can have a chance to taste it. Don't forget to tell me."" is classified as Directive because it expresses a request for the speaker to inform the listener when they have the chance to taste the food. "
89,commissive,"The fifth utterance ""Certainly."" is classified as Commissive because it indicates the speaker's commitment or agreement to the previous request."
90,question,"The first utterance ""anyone home? jen!"" is classified as a Question because it is a direct question seeking information about the presence of someone at home. "
91,directive,"The second utterance ""i'm in the kitchen... let yourself in!"" is classified as a Directive because it contains an imperative verb ""let"" and is instructing the listener to enter the house. "
92,directive,"The third utterance ""wow! you're really working up a storm!"" is classified as a Directive because it expresses admiration or encouragement to the listener for their actions. "
93,inform,"The fourth utterance ""i know. i've even worked up a sweat."" is classified as Informative because it provides factual information about the speaker's physical state. "
94,inform,"The fifth utterance ""you look like a cooking show host--only messier"" is classified as Informative because it provides a descriptive statement about the listener's appearance."
95,inform,"The utterance ""you look so tan and healthy!"" is classified as Informative because it provides a description or observation about the listener's appearance without seeking any specific information or response. "
96,inform,"The second utterance ""thanks. I just got back from summer camp."" is also classified as Informative because it shares information about the speaker's recent experience at summer camp. "
97,question,"The third utterance ""how was it?"" is classified as a Question because it seeks information or clarification about the speaker's experience at summer camp. "
98,inform,"The fourth utterance ""great. I got to try so many things for the first time."" is classified as Informative because it provides additional information about the speaker's experience at summer camp. "
99,inform,"The utterance ""like what?"" is classified as Informative because it seeks specific information or examples of the things the speaker tried for the first time at summer camp."
100,inform,"The first utterance ""I went sailing, fishing, and horseback riding"" provides information and describes the activities the speaker engaged in. "
101,inform,"The utterance ""I'm so jealous"" is classified as Informative because it expresses the speaker's emotion of jealousy. Note that this utterance could also be classified as an Expressive speech act, but based on the given options, Informative is the most appropriate classification. "
102,inform,"The third utterance ""The counselors were so nice too. It was the best summer ever. Except for all those mosquitoes!"" provides information about the speaker's experience at summer camp and expresses their opinion about the counselors and mosquitoes. "
103,directive,"The fourth utterance ""Diana, do you like the perfume I gave you?"" is a directive speech act as the speaker is asking a question and seeking information about Diana's opinion on the perfume. "
104,inform,"The fifth utterance ""It's good. But to tell you the truth, I don't wear perfume"" provides information about the speaker's opinion on the perfume and their personal preference, indicating an informative speech act."
105,inform,"The utterance ""I'm sorry. I didn't know that."" is classified as ""Informative"" because it provides information about the speaker's lack of knowledge and expresses an apology. "
106,commisive,"The utterance ""That's all right. Thank you all the same."" is classified as Commisive because it expresses gratitude and thanks. "
107,commissive,"The utterance ""Ah, ah, ah..."" is classified as ""Commissive"" because it does not provide explicit information or ask a question but is likely expressing hesitation, indicating a future commitment to further speech. "
108,directive,"The utterance ""All right, Bill. Here's your daily exercise schedule. You are to jog before breakfast."" is classified as Directive because it gives a command or instruction to Bill. "
109,question,"The utterance ""Jog?"" is classified as a Question because it seeks clarification or confirmation about jogging."
110,directive,"The utterance ""then, you are to walk to work"" includes the directive verb ""walk"" and uses future-oriented language (""then"") to indicate a directive speech act. "
111,question,"The utterance ""walk?"" is a question speech act as it is formed using an interrogative word and seeks clarification or confirmation. "
112,commissive,"The utterance mentions a specific activity ""thirty minutes in gym at lunch time,"" providing information about the speaker's commitment or intention to spend a certain amount of time in the gym during lunchtime. This indicates a commissive speech act. "
113,inform,"The utterance expresses the exclamation ""oh no"" which is an emotional response, but it does not fit into any of the defined speech act categories. Hence, it can be considered as an informative speech act where the speaker is sharing their emotional reaction. "
114,directive,"The utterance ""use the stairs, never the elevator"" includes the imperative verb ""use"" and provides a directive to always use the stairs instead of the elevator."
115,commissive,"The utterance ""oh, dear"" does not exhibit any clear commitment or promise, nor does it provide information or ask a question. It seems to express a feeling or emotional response, which is characteristic of a commissive speech act. "
116,inform,"The utterance ""and three times a week, you can either swim, play racketball, or handball"" provides information about the options available for physical activities. It does not contain any specific verbs of commitment or promise or seek information. Therefore, it is classified as an Informative speech act. "
117,commissive,"The utterance ""oh no"" expresses a negative reaction or concern. It does not exhibit commitment, provide information, or ask a question. This falls under the category of commissive speech act. "
118,directive,"The utterance ""ok, you can stop now. it's time for the dance class"" includes an imperative verb ""stop"" and provides a command to stop. It also contains future-oriented language (""it's time for the dance class""). Therefore, it is classified as a Directive speech act. "
119,directive,"The utterance ""dance class! I don't know how"" does not contain any specific verbs of commitment or promise or seek information. It expresses a lack of knowledge about the dance class. Therefore, it is classified as a Directive speech act as it indirectly requests information or clarification."
120,commissive,"The utterance ""you will"" contains the future-oriented language ""will"" and the second-person pronoun ""you,"" indicating a commitment or promise made by the speaker. Therefore, it is classified as a Commissive speech act. "
121,inform,"The utterance ""oh ..."" does not contain any specific linguistic features that suggest commitment, directive, or informative speech acts. It is classified as an Informative speech act because it conveys a minimal response or acknowledgment. "
122,inform,"The utterance ""hi bill, i saw your grandma yesterday"" provides information about the speaker seeing Bill's grandma. It does not include a request, command, or promise, so it is classified as an Informative speech act. "
123,question,"The utterance ""oh where was that?"" is a question that seeks information or clarification about the location of the speaker seeing Bill's grandma. It contains the interrogative word ""where,"" indicating a question speech act. "
124,inform,"The utterance ""i was running around the track at my college and there she was walking around the same track"" provides information about the speaker's activities and the encounter with Bill's grandma. It does not include a request, command, or promise, so it is classified as an Informative speech act."
125,inform,The first utterance is classified as Informative because it provides information about Grannie's behavior of staying fit and healthy and making the kids eat proper foods. 
126,question,The second utterance is classified as Question because it directly asks for information about Grannie's age. 
127,inform,The third utterance is classified as Informative because it provides information about Grannie's upcoming age. 
128,inform,The fourth utterance is classified as Informative because it expresses admiration for Grannie's age. 
129,directive,The fifth utterance is classified as Directive because it expresses the speaker's desire to register for a class today.
130,directive,The first utterance is classified as Directive because it includes a request for information. The speaker is asking about the class the listener would like to take. 
131,inform,The second utterance is classified as Informative because it provides information about the speaker's preference for taking a psychology class. The second part of the utterance is not relevant to the classification. 
132,inform,The third utterance is classified as Informative because it provides information about the availability of two open classes. 
133,question,The fourth utterance is classified as Question because it includes a direct question asking about the days on which the classes are scheduled. 
134,inform,The fifth utterance is classified as Informative because it provides information about the days and times of the first class. The second part of the utterance is not relevant to the classification.
135,question,"The first utterance ""what about the other class?"" is classified as a Question speech act because it begins with the interrogative word ""what"" and seeks information from the listener. "
136,inform,"The second utterance ""the other class is on Monday and Wednesday from 10 am - 12"" is classified as an Informative speech act because it provides information about the schedule of the other class. "
137,question,"The third utterance ""are you sure there are no more open classes?"" is classified as a Question speech act because it begins with the interrogative word ""are"" and seeks confirmation or clarification. "
138,inform,"The fourth utterance ""I'm positive"" is classified as an Informative speech act because it provides information about the speaker's certainty or assurance. "
139,directive,"The fifth utterance ""sign me up for Monday and Wednesday"" is classified as a Directive speech act because it is requesting action from the listener to sign the speaker up for Monday and Wednesday."
140,commissive,"The utterance ""okay, I'll sign you up"" includes the verb ""sign"" which indicates a commitment or promise. The use of ""I'll"" also suggests a future-oriented action, making it a commissive speech act. "
141,question,"The utterance ""Dad, why are you taping the windows?"" starts with a question word ""why"" and seeks information or clarification. Therefore, it is classified as a question speech act. "
142,inform,"The utterance ""Honey, a typhoon is coming"" provides information about a specific event, conveying a fact. It is classified as an informative speech act. "
143,inform,"The utterance ""Really? Wow, I don't have to go to school tomorrow"" expresses surprise and shares personal thoughts or feelings. It is classified as an informative speech act as it provides information about the speaker's situation. "
144,directive,"The utterance ""Jenny, come and help, we need to prepare more food"" includes imperative verbs ""come"" and ""help,"" which indicate a command or request. It is classified as a directive speech act as it aims to influence the behavior of the listener."
145,directive,"The first utterance ""ok. dad! I'm coming."" can be classified as a Directive speech act. It contains an imperative verb ""coming"" and expresses the speaker's intention to comply with the request implied by the previous utterance of ""dad."" The speaker is obligated to respond to the directive from their father. "
146,inform,"The second utterance ""hi, my name is lean, and I'm from Russia."" can be classified as an Informative speech act. It provides information about the speaker's name and nationality. There is no request for action or elicitation of information from the listener, making it an informative statement. "
147,inform,"The third utterance ""nice to meet you, lean. My name is alike. I'm from Japan."" can also be classified as an Informative speech act. It provides reciprocal introductions and shares information about the speaker's name and country of origin. Unlike a question or directive, the speaker is not seeking new information or asking the listener to do something specific. "
148,inform,"The fourth utterance ""to me English is a difficult language."" can be classified as an Informative speech act. It expresses a personal opinion about the difficulty of the English language. The speaker is providing information about their subjective experience, rather than asking a question or giving a directive. "
149,inform,"The fifth utterance ""a second language is always difficult."" can also be classified as an Informative speech act. It expresses a general statement or opinion about the difficulty of learning a second language. The speaker is not seeking information or giving a command, but rather sharing their belief about second language acquisition."
150,inform,The first utterance is classified as informative because it provides information about the difficulty of the English language. 
151,question,"The second utterance is classified as a question because it begins with the question word ""why"" and seeks clarification about the statement made in the previous utterance. "
152,inform,The third utterance is classified as informative because it provides further information about the multiple pronunciations and meanings in the English language. 
153,inform,"The utterance acknowledges and agrees with the previous statement about English being a crazy language. It is an evaluative statement, sharing agreement and reflecting on the previous information, thus classified as Informative. "
154,directive,"The fifth utterance is classified as a directive because it is a direct request for permission to help the listener. The use of ""can"" as an auxiliary verb indicates a request."
155,commissive,The first utterance is a commissive speech act because the speaker expresses hope and indicates that they will try to help the listener with their request for finding material for a paper. 
156,directive,The second utterance is a directive speech act because the speaker offers to help and asks for more information about the topic of the listener's paper. 
157,inform,The third utterance is an informative speech act because the speaker provides information about the topic of the listener's paper. 
158,directive,"The fourth utterance is a directive speech act because the speaker suggests a specific action to the listener, which is to use the computer to find relevant scientific journals. "
159,inform,The fifth utterance is classified as Informative because the speaker expresses gratitude and thanks the second speaker for their help.
160,inform,"The first utterance ""here's your hot dog and beer. what happened? did I miss anything?"" is classified as Informative because it provides information about the speaker giving the listener their food and drink, and then seeking information about what happened while they were away. "
161,inform,The second utterance is classified as informative because the speaker is providing information about Cal Ripken hitting a home run. The goal of this utterance is to share a fact or event with the listener without eliciting a specific response. 
162,question,"The third utterance is classified as a question because the speaker is seeking information about the score. The use of ""what's"" indicates that the speaker wants to know the specific information about the score. "
163,inform,The fourth utterance is classified as informative because the speaker is providing an explanation or clarification about the score. The speaker is explaining how Cal Ripken's home run changed the score from 3 to 4 to 5 to 
164,question,"5. The fifth utterance is classified as a question because the speaker is seeking confirmation or clarification about whether Baltimore is winning. The use of ""so"" indicates that the speaker is seeking confirmation or wants to confirm their understanding of the current situation."
165,inform,"The utterance ""right."" is classified as Informative because it does not involve a commitment, request, or question. It simply conveys agreement or confirmation. "
166,inform,"The utterance ""this is a really great place to watch a baseball game."" is classified as Informative because it provides information about the quality of the place for watching a baseball game. "
167,inform,"The utterance ""yeah, there isn't a bad seat in the place."" is classified as Informative because it provides information about the seating arrangement at the place. "
168,inform,"The utterance ""the fans are great here, too. not like in philadelphia."" is classified as Informative because it provides information about the behavior of the fans at the place in comparison to fans in Philadelphia. "
169,inform,"The utterance ""it was a great idea to spend a day watching a game."" is classified as Informative because it expresses an opinion about the idea of spending a day watching a game."
170,inform,"The utterance includes descriptive language (""baseball is America's favorite pastime"") and shares information about the topic, indicating an informative speech act. "
171,question,"The utterance starts with the interrogative phrase ""how do you like,"" seeking the listener's opinion on the pizza, indicating a question speech act. "
172,inform,"The utterance expresses satisfaction with the food (""perfect,"" ""hits the spot""), indicating an informative speech act. "
173,directive,"The utterance starts with the interrogative phrase ""do you have,"" requesting the listener to provide a specific piece of information, indicating a directive speech act. "
174,inform,"The utterance includes a declarative statement (""I don't smoke"") and shares information about the speaker's smoking habits, indicating an informative speech act."
175,commissive,"The utterance ""i was scared stiff of giving my first performance"" includes the use of past tense and the expression of personal emotions (""scared stiff""). These linguistic features suggest that the speaker is expressing their own feelings and fear about a past event, which falls under the category of a commissive speech act. "
176,question,"The utterance ""were you? your performance was excellent"" is a question that seeks confirmation or clarification of the previous statement. It uses a question word (""were"") and requires a response. Therefore, it can be classified as a question speech act. "
177,inform,"The utterance ""thank you for your kind words"" is an expression of gratitude and appreciation, which does not fall into the categories of commissive, directive, or informative speech acts. Therefore, it can be classified as an informative speech act. "
178,directive,"The utterance ""excuse me. could you please take a picture of us with this camera?"" is a clear request asking for assistance. It includes polite language (""excuse me,"" ""please"") and the use of a modal verb (""could""). These features indicate a directive speech act. "
179,directive,"The utterance ""sure. which button do I press to shoot?"" is a response to the previous question and seeks information or clarification. It uses a question word (""which"") and requires a specific answer. Therefore, it can be classified as a question speech act."
180,directive,"The utterance ""this one"" is classified as a Directive speech act because the speaker is indicating a preference or giving a command to choose a specific item. "
181,question,"The utterance ""do I have to focus it?"" contains a question word (""do"") and seeks information or clarification from the listener. Therefore, it can be classified as a question speech act. "
182,inform,"The utterance ""no, this is a focus-free camera. all you have to do is point and press the button"" provides information on the camera's features. It is in the form of declarative statements and can be classified as an informative speech act. "
183,directive,"The utterance ""all right, say cheese!"" contains an imperative verb (""say"") and is commanding the listener to perform an action. Therefore, it can be classified as a directive speech act. "
184,inform,"The utterance ""every country should face the history"" is a declarative statement providing an opinion or belief. It falls under the category of informative speech acts as it conveys information or expresses a viewpoint without seeking a specific response from the listener."
185,inform,"The utterance provides information about the speaker's perspective on the topic, stating that they do not live in a vacuum and have traditional values and a long but different history. This falls under the category of informative speech act as it shares facts and describes the speaker's viewpoint. "
186,inform,This utterance acknowledges that humans have made mistakes and emphasizes the importance of admitting them. It is an informative speech act as it conveys knowledge about the speaker's belief and the need for self-reflection. 
187,inform,The utterance mentions someone who wants to ignore or deny the true history. It is an informative speech act as it shares an opinion about a specific situation or person. 
188,commissive,"The speaker expresses their belief that certain things will not be realized and dismisses them as daydreaming. This is a commissive speech act as the speaker commits to their belief, expressing certainty about the situation. "
189,question,"The utterance is a direct question asking if the listener, Kathy, likes traveling. This is a question speech act as it seeks information from the listener."
190,inform,"The first utterance is classified as Informative because it provides information about the speaker's preferences for traveling. There are no requests, commands, or questions present in the utterance. "
191,inform,"The second utterance is also classified as Informative because it provides additional information that supports the statement made in the previous utterance. Again, no requests, commands, or questions are present. "
192,inform,"The third utterance is classified as Informative as well since it simply agrees with the previous statement without requesting, commanding, or questioning. "
193,directive,"The fourth utterance is classified as Directive because it contains a suggestion or advice to the listener to buy a bigger house. The verb ""buy"" indicates a directive speech act. "
194,commissive,"The fifth utterance is classified as Commissive because it expresses the speaker's wish to afford a bigger house. Although it doesn't use explicit commissive verbs, the expression of desire and willingness falls under the category of commissive speech acts."
195,directive,"The first utterance ""you can get a loan from the bank. you know lpf program provides low-cost loans for participants home purchases"" is classified as a Directive speech act. It is giving advice or suggesting a course of action to the listener. "
196,inform,"The second utterance ""of course I know that. But don't you notice that the house price is skyrocketing?"" is classified as an Informative speech act. It is providing additional information in response to the previous statement. "
197,greeting,"The third utterance ""how do you do, Prof. Smith"" is classified as a Greeting speech act. It is a formal greeting to Prof. Smith. "
198,greeting,"The fourth utterance ""how do you do, Ms. Yang. You speak very good English"" is classified as a Greeting speech act. It is a formal greeting to Ms. Yang, along with a compliment on her English speaking skills. "
199,inform,"The fifth utterance ""Thank you. I begin to like English even when I was a child"" is classified as an Informative speech act. The speaker expresses gratitude, followed by a statement about their personal experience of developing a liking for English from a young age."
200,question,"The utterance ""where did you learn it?"" is a question because it starts with the interrogative word ""where"" and seeks information about the location of the person's learning. "
201,inform,"The utterance ""at school, in china. This is my first time to be out of my own country."" is informative because it provides factual information about the person's learning experience and their current situation. "
202,inform,"The utterance ""it's amazing"" is informative because it expresses the speaker's opinion about something being amazing. "
203,question,"The utterance ""do you want black or white coffee?"" is a question because it starts with the auxiliary verb ""do"" and seeks information about the person's preference for black or white coffee. "
204,directive,"The utterance ""white, please"" is a directive because it is a direct response to the previous question, indicating the person's preference for white coffee."
205,directive,The first utterance is a directive speech act because the speaker is inviting the listener to go to a concert. 
206,inform,The second utterance is an informative speech act because the speaker is expressing their personal opinion about folk music. 
207,question,The third utterance is a question speech act because the speaker is seeking information about the listener's music preferences. 
208,question,The fourth utterance is a question speech act because the speaker is seeking confirmation about whether the listener likes classical music. 
209,inform,The fifth utterance is an informative speech act because the speaker is providing information about how classical music affects them personally.
210,directive,"The utterance ""I don't believe you"" is classified as a Directive speech act. This is because it expresses a request for the speaker to provide further evidence or justification for their statement. "
211,inform,"The utterance ""It's true"" is classified as an Informative speech act. This is because it conveys a piece of information without requesting any specific action or response from the listener. "
212,directive,"The utterance ""You are funny!"" is classified as a Directive speech act. This is because it is a statement that expresses a request for the listener to continue being funny or entertaining. "
213,directive,"The utterance ""So are you! How about another coffee?"" is classified as a Directive speech act. This is because it contains a question and a suggestion, indicating a request for the listener to join in having another coffee. "
214,question,"The utterance ""What do you like to do in your spare time?"" is classified as a Question speech act. This is because it is a direct question that seeks information from the listener about their hobbies or activities during free time."
215,inform,"The utterance ""i like playing chess"" is an informative speech act because it provides information about the speaker's preference for playing chess. "
216,question,"The utterance ""do you have any hobbies besides playing chess?"" is a question speech act as it seeks information from the listener about their hobbies. "
217,inform,"The utterance ""I'm afraid not"" is an informative speech act as it conveys information that the speaker does not have any hobbies besides playing chess. "
218,question,"The utterance ""do you have any hobbies like playing tennis or things like that?"" is a question speech act as it seeks information from the listener about their hobbies, specifically related to playing tennis or similar activities. "
219,inform,"The utterance ""oh, yes. i like playing basketball"" is an informative speech act as it provides information about the speaker's preference for playing basketball."
220,question,"The utterance ""can you tell me why you like it?"" is classified as a question because it starts with the question word ""can"" and seeks information about the reason for liking something. "
221,inform,"The utterance ""because i like the feeling of cooperating with others"" is classified as informative because it provides an explanation or reason for the speaker's liking. "
222,question,"The utterance ""where is john ? i can't find him anywhere"" is classified as a question because it starts with the question word ""where"" and seeks information about the location of John. "
223,inform,"The utterance ""haven't you heard that he is in prison?"" is classified as informative because it provides information about John being in prison. "
