,Unnamed: 0,speaker,content,block,session
66,66,Zheny,We saw this film?,0,1903
66,66,Zheny,//[UI],0,1903
67,67,Ali,[UI],0,1903
68,68,Zheny,[UI],0,1903
69,69,-,37,0,1903
70,70,Ali,[SL] Project assignment,0,1903
71,71,Ali,That’s it.,0,1903
71,71,Ali,We watch our individual video next.,0,1903
72,72,Ali,"On the second video now,",0,1903
72,72,Ali,right?,0,1903
73,73,Zheny,Mhm.,0,1903
74,74,Nasty,Messages //[UI],0,1903
75,75,Dash,[UI]…Things are going.,0,1903
76,76,Nasty,It happens.,0,1903
76,76,Nasty,Oh.,0,1903
77,77,Ali,[UI]… [UI]?,0,1903
78,78,Rya,No,0,1903
79,79,Ali,"So,",0,1903
79,79,Ali,everyone ready?,0,1903
80,80,Rya,May I ask if you could brag one of those binders [UI],0,1903
81,81,Ali,"That’s right,",0,1903
81,81,Ali,yeah… one second… We need them all.,0,1903
81,81,Ali,Don’t we?,0,1903
82,82,Rya,"Yes,",0,1903
82,82,Rya,we do.,0,1903
82,82,Rya,[UI],0,1903
83,83,Zheny,[UI],0,1903
84,84,Ali,And this is for Dasha.,0,1903
85,85,Zheny,Thanks.,0,1903
86,86,Ali,This is me.,0,1903
87,87,Zheny,"Ah,",0,1903
87,87,Zheny,meteorologist.,0,1903
87,87,Zheny, Meteorologist.,0,1903
88,88,Ali,"This is you,",0,1903
88,88,Ali,Zhenya – terrain.,0,1903
89,89,Zheny,Terrain – yes.,0,1903
90,90,Ali,"This is Nastya… Mechanical,",0,1903
90,90,Ali,"ah,",0,1903
90,90,Ali,this is you.,0,1903
90,90,Ali,Sorry.,0,1903
91,91,Natash,I’m still on your crew.,0,1903
92,92,Ali,"So,",0,1903
92,92,Ali,"next we go to the folder where it says,",0,1903
92,92,Ali,“Crew Data.”,0,1903
93,93,Zheny,Crew Data.,0,1903
93,93,Zheny,"//So,",0,1903
93,93,Zheny,we leave here again?,0,1903
94,94,Ali,//Then Project Red… It’s on your desktop “Crew Data.”,0,1903
95,95,Zheny,"Ah,",0,1903
95,95,Zheny,"so we just minimize this,",0,1903
95,95,Zheny,right?,0,1903
96,96,Ali,"Yes,",0,1903
96,96,Ali,you can just minimize.,0,1903
96,96,Ali,"Crew Data,",0,1903
96,96,Ali,Project Red… MD forty-three.,0,1903
97,97,Nasty,"Wait,",0,1903
97,97,Nasty,please.,0,1903
98,98,Ali,MD forty-three.,0,1903
99,99,Zheny,"Oh,",0,1903
99,99,Zheny,something happened here.,0,1903
100,100,Ali,"//Yes,",0,1903
100,100,Ali,you can stop.,0,1903
101,101,Natash,//Is that old?,0,1903
102,102,Ali,It’s new.,0,1903
102,102,Ali,It’s today.,0,1903
102,102,Ali,"I mean,",0,1903
102,102,Ali,for today.,0,1903
103,103,Ali,Now we listen to our friends.,0,1903
103,103,Ali,Yes… Oh!,0,1903
103,103,Ali,Maxwell is first.,0,1903
104,104,Zheny,[SL] We’re family.,0,1903
105,105,Nasty,I’m already //overheating.,0,1903
106,106,Ali,//[UI],0,1903
107,107,Natash,Sounds the same as last time.,0,1903
108,108,Ali,[UI] Anastasia.,0,1903
109,109,Nastya,Not happening.,0,1903
110,110,Zheny,Something is delaying everything.,0,1903
111,111,Ali,That’s us.,0,1903
112,112,Ali,Are we still listening?,0,1903
112,112,Ali,…They are still listening.,0,1903
113,113,Ali,"She is still listening… Ryan,",0,1903
113,113,Ali,are you still listening?,0,1903
114,114,Rya,No.,0,1903
115,115,Ali,Everyone ready?,0,1903
115,115,Ali,"So,",0,1903
115,115,Ali,in the same exact folder we click on “Project Red Design.” Right where “Project Red Design” was.,0,1903
115,115,Ali,We go to the website in the folder… in the white folder everyone has a login like last time.,0,1903
116,116,Dash,This really long password?,0,1903
117,117,Ali,"Yes,",0,1903
117,117,Ali,everyone should just write that down in notepad.,0,1903
118,118,Dash,Or open the presentation and copy paste.,0,1903
119,119,Ali,Yes.,0,1903
120,120,Zheny,"So,",0,1903
120,120,Zheny,"this big one,",0,1903
120,120,Zheny,right?,0,1903
121,121,Dash,Mhm.,0,1903
122,122,Dash,I hope our girl came today.,0,1903
123,123,Natash,Can we just take a photo next time of the password and username?,0,1903
123,123,Natash,We basically never use this folder.,0,1903
123,123,Natash,Only when we log in.,0,1903
124,124,Ali,I’m saying I saved it in notepad and now I can copy and paste it.,0,1903
124,124,Ali,"I left it on the desktop,",0,1903
124,124,Ali,that’s it.,0,1903
124,124,Ali,Copy Paste and you don’t have to type it again.,0,1903
125,125,Natash,Well done.,0,1903
125,125,Natash,Remind me to do that as well.,0,1903
126,126,Ali,Okay.,0,1903
127,127,Zheny,Seventy-three…,0,1903
128,128,Zheny,"Ah,",0,1903
128,128,Zheny,I also need… quotation marks.,0,1903
128,128,Zheny,Where are the quotation marks?,0,1903
129,129,Ali,"Ryan,",0,1903
129,129,Ali,can you hep him with the notepad?,0,1903
129,129,Ali,That way he will just save it to the desktop.,0,1903
130,130,Rya,Yeah.,0,1903
131,131,Alik to Zheny,"Zhenya,",0,1903
131,131,Alik to Zheny,"he’ll just type it for you,",0,1903
131,131,Alik to Zheny,so that file is always on your desktop.,0,1903
131,131,Alik to Zheny,You can just copy it.,0,1903
132,132,Zheny,Wonderful.,0,1903
133,133,Ryan to Zheny,May I?,0,1903
134,134,Zheny,Yes.,0,1903
134,134,Zheny,Yes.,0,1903
135,135,Alik to Dash,"Dasha,",0,1903
135,135,Alik to Dash,you logged in already?,0,1903
136,136,Dash,A long time ago.,0,1903
137,137,Ali,Mhm okay.,0,1903
138,138,Ali,"Well,",0,1903
138,138,Ali,actually you could write it too.,0,1903
138,138,Ali,We all have a five-minute delay.,0,1903
139,139,Natash,Already… Did Nastya write that?,0,1903
139,139,Natash,To the Engineer?,0,1903
140,140,Ryan to Zheny,[UI],0,1903
141,141,Zheny,"//So,",0,1903
141,141,Zheny,do we need to write something yet?,0,1903
142,142,Natash,"Apparently,",0,1903
142,142,Natash,"we have a delay between each other as well,",0,1903
142,142,Natash,because //I don’t see the messages.,0,1903
143,143,Ali,"//So,",0,1903
143,143,Ali,look.,0,1903
143,143,Ali,"We have forty-five minutes to complete the assignment,",0,1903
143,143,Ali,"just like last time…So…Most importantly,",0,1903
143,143,Ali,right now we need to establish contact.,0,1903
143,143,Ali,Just write //“Hi” to them.,0,1903
144,144,Natash,I see three messages from Dasha.,0,1903
145,145,Ali,//That’s good.,0,1903
146,146,Dash,//I also see messages but they’re identical.,0,1903
147,147,Natash,Yes.,0,1903
148,148,Dash,I see //my messages in another chat.,0,1903
149,149,Ali,//Sometimes you just chat with someone [SL] whatever you want to so they can answer.,0,1903
150,150,Dash,//So rotten…,0,1903
151,151,Natash,//[UI],0,1903
152,152,Ali,"So,",0,1903
152,152,Ali,how is today different from last time?,0,1903
152,152,Ali,We just have a new point.,0,1903
152,152,Ali,There it is.,0,1903
152,152,Ali,[SL]Plantation or what is it?,0,1903
152,152,Ali,[SL] Plantation nineteen forty-eight.,0,1903
153,153,Natash,//Nineteen forty-eight?,0,1903
154,154,Ali,//Nineteen forty-eight.,0,1903
154,154,Ali,It’s a new place and there are eight of them.,0,1903
154,154,Ali,"So,",0,1903
154,154,Ali,"I assume we will just be looking at all those places,",0,1903
154,154,Ali,right?,0,1903
154,154,Ali,Today we’re looking at this nineteen forty-eight.,0,1903
155,155,Natash,"They said it has the biggest water deposits,",0,1903
155,155,Natash,but it’s polluted.,0,1903
155,155,Natash,//Do I understand that right?,0,1903
155,155,Natash,//Nitrate…,0,1903
156,156,Ali,//It’s very dirty there.,0,1903
156,156,Ali,//Lots of dust.,0,1903
156,156,Ali,Yes.,0,1903
157,157,Natash,Lots of many things…,0,1903
158,158,Ali,"So the water will be very dirty,",0,1903
158,158,Ali,"it’s difficult to work there,",0,1903
158,158,Ali,"and there are lots of craters… So,",0,1903
158,158,Ali,it’s not a great place.,0,1903
158,158,Ali,//[UI],0,1903
159,159,Zheny,"//So we just enter them in,",0,1903
159,159,Zheny,right?,0,1903
160,160,Natash,Mhm.,0,1903
161,161,Zheny,Nineteen?,0,1903
162,162,Ali,Nineteen forty-eight.,0,1903
163,163,Natash,There is very tough //soil.,0,1903
164,164,Dash,//Forty-eight.,0,1903
165,165,Zheny,I wrote a lot today.,0,1903
166,166,Ali,Lots of what?,0,1903
167,167,Zheny,I wrote a lot.,0,1903
168,168,Dash,Where?,0,1903
168,168,Dash,In all the chats?,0,1903
169,169,Zheny,"Well,",0,1903
169,169,Zheny,in the chat.,0,1903
170,170,Ali,He wrote to everyone.,0,1903
171,171,Nasty,//[UI],0,1903
172,172,Rya,//Hello.,0,1903
173,173,Alik to Nasty,Nineteen forty-eight – that’s our square today.,0,1903
174,174,Natash,[SL] You can get to work.,0,1903
175,175,Ali,Yes.,0,1903
175,175,Ali,You don’t have to wait for their answer.,0,1903
175,175,Ali,We can establish some numbers there ourselves.,0,1903
176,176,Dash,There’s a message for us here.,0,1903
177,177,Ali,And who is [SL] Fueling?,0,1903
178,178,Natash,Me.,0,1903
178,178,Natash,//Nothing yet.,0,1903
179,179,Ali,//I see… There is a connection.,0,1903
180,180,Natash,Is that between you all?,0,1903
181,181,Ali,"Yes,",0,1903
181,181,Ali,we’re sitting right here.,0,1903
182,182,Dash,Did you take something?,1,1903
183,183,Natash,Mhm.,1,1903
184,184,Natasha to Dash,I did… I’m just telling you what is written here.,1,1903
184,184,Natasha to Dash,Wattage is four hundred thousand.,1,1903
185,185,Dash,Four hundred thousand?,1,1903
186,186,Natash,"Yes,",1,1903
186,186,Natash,watts.,1,1903
186,186,Natash,Torque is forty on ninety thousand and [UI],1,1903
187,187,Dash,"Both,",1,1903
187,187,Dash,right?,1,1903
188,188,Natash,Mhm.,1,1903
189,189,Dash,"As far as I see,",1,1903
189,189,Dash,our lady has filter A and that’s it.,1,1903
189,189,Dash,And we only need…,1,1903
190,190,Natash,Like last time [SL] how many minutes?,1,1903
191,191,Dash,Do I understand correctly the higher [UI] the better?,1,1903
191,191,Dash,… [UI]?,1,1903
192,192,Ali,Yes.,1,1903
193,193,Zheny,"Well,",1,1903
193,193,Zheny,not for the address…,1,1903
194,194,Ali,[UI],1,1903
195,195,Rya,[UI],1,1903
196,196,Nasty,Did you write that?,1,1903
197,197,Ali,I didn’t write anything.,1,1903
197,197,Ali,Dasha was asking that.,1,1903
198,198,Nasty,"No,",1,1903
198,198,Nasty,at the first [UI],1,1903
199,199,Ali,Yes.,1,1903
199,199,Ali,But did it make it to you?,1,1903
200,200,Nasty,"Mhm,",1,1903
200,200,Nasty,just now.,1,1903
201,201,Ali,Good.,1,1903
202,202,Natash,And [SL] Pipe restriction is where?,1,1903
203,203,Dash,For me it’s on the very first line.,1,1903
204,204,Dash,Don’t see it?,1,1903
205,205,Natash,No.,1,1903
206,206,Dash,Mhm… I’ll change it…,1,1903
207,207,Natasha to Dash,How are you writing it?,1,1903
208,208,Dash,I have forty now.,1,1903
209,209,Natash,"Nothing yet… But you changed something,",1,1903
209,209,Natash,right?,1,1903
210,210,Nastya to Ali,"You still haven’t entered anything,",1,1903
210,210,Nastya to Ali,right?,1,1903
211,211,Ali,Me?,1,1903
212,212,Nasty,Yes.,1,1903
213,213,Ali,Why?,1,1903
213,213,Ali,I did.,1,1903
214,214,Nasty,You did?,1,1903
215,215,Ali,Yes.,1,1903
215,215,Ali,All my data.,1,1903
216,216,Zheny,"Save with this checkmark,",1,1903
216,216,Zheny,right?,1,1903
217,217,Alik to Nasty,"Yes,",1,1903
217,217,Alik to Nasty,I already entered them.,1,1903
217,217,Alik to Nasty,You don’t see them?,1,1903
218,218,Nasty,I don’t see them.,1,1903
219,219,Dash,"Ahh,",1,1903
219,219,Dash,done.,1,1903
220,220,Zheny,What do we need here?,1,1903
221,221,Ali,Select or don’t select.,1,1903
221,221,Ali,And then hit submit.,1,1903
222,222,Nastya to Dash,"You’re fluid,",1,1903
222,222,Nastya to Dash,right?,1,1903
223,223,Dash,"Mhm… Writing horrible things about me again,",1,1903
223,223,Dash,eh?,1,1903
224,224,Nasty,Mhm.,1,1903
225,225,Dash,I can keep going.,1,1903
226,226,Nasty,"You’ll show your integrity,",1,1903
226,226,Nasty,what you write to a child about [UI].,1,1903
227,227,Dash,"Well,",1,1903
227,227,Dash,yeah.,1,1903
228,228,Nasty,[UI],1,1903
229,229,Dash,Just if you have nothing to cover yourself from the rain…,1,1903
230,230,Nasty,Mhm… I have a problem.,1,1903
231,231,Dash,A very big problem.,1,1903
232,232,Nasty,Again?,1,1903
233,233,Dash,I’m changing to thirty.,1,1903
234,234,Ali,"Nastya,",1,1903
234,234,Ali,"//you can see mine here,",1,1903
234,234,Ali,no?,1,1903
235,235,Dash,//[UI],1,1903
236,236,Nasty,//No.,1,1903
237,237,Ali,Strange…,1,1903
238,238,Nasty,But can you see mine?,1,1903
239,239,Ali,No.,1,1903
240,240,Dash,I see yours… in the chat between you two.,1,1903
241,241,Ali,Something is wrong.,1,1903
242,242,Nasty,[UI],1,1903
243,243,Zheny,"Okay,",1,1903
243,243,Zheny,I typed something in here.,1,1903
243,243,Zheny,//[UI],1,1903
244,244,Rya,//[UI],1,1903
245,245,Dash,"So,",1,1903
245,245,Dash,E thirty.,1,1903
246,246,Natash,"Yes,",1,1903
246,246,Natash,I’m changing watts and torque for now.,1,1903
247,247,Dash,I don’t understand.,1,1903
247,247,Dash,[SL] Something is still broken.,1,1903
248,248,Rya,[UI],1,1903
249,249,Natash,//[UI],1,1903
250,250,Ali,//[UI],1,1903
251,251,Rya,I chose…,1,1903
252,252,Zheny,You chose?,1,1903
253,253,Rya,"Yes,",1,1903
253,253,Rya,this one…,1,1903
254,254,Zheny,Mhm.,1,1903
254,254,Zheny,[SL] Now you need to enter your own… One as well?,1,1903
255,255,Rya,Yes.,1,1903
255,255,Rya,"One,",1,1903
255,255,Rya,one and then //checkmark.,1,1903
256,256,Nastya to Ali,//What did you do?,1,1903
256,256,Nastya to Ali,"//Ah,",1,1903
256,256,Nastya to Ali,just that?,1,1903
257,257,Ali,"Yes,",1,1903
257,257,Ali,[UI],1,1903
258,258,Nasty,"Yes,",1,1903
258,258,Nasty,but why?,1,1903
259,259,Ali,Just…,1,1903
260,260,Nasty,Then do it …for me too… Can you do mine now?,1,1903
261,261,Ali,…,1,1903
262,262,Ryan to Zheny,And then… above…,1,1903
263,263,Ali,Yours…//This is mine…,1,1903
264,264,Nasty,"//Well yes,",1,1903
264,264,Nasty,but mine… I also took.,1,1903
264,264,Nasty,//Here it is.,1,1903
265,265,Rya,//[UI],1,1903
266,266,Natash,"Dasha,",1,1903
266,266,Natash,does yours work?,1,1903
267,267,Dash,//[UI],1,1903
268,268,Rya,//[UI],1,1903
269,269,Alik to Nasty,//[UI],1,1903
270,270,Natash,"//Well,",1,1903
270,270,Natash,"if needed,",1,1903
270,270,Natash,enter watts at five hundred thousand…,1,1903
271,271,Ali,//here someone wrote…,1,1903
272,272,Dash,//[UI],1,1903
273,273,Ryan to Zheny,//Options…,1,1903
274,274,Natash,And circulations…,1,1903
275,275,Ryan to Zheny,And maybe checkmark…,1,1903
276,276,Dash,//[UI],1,1903
277,277,Rya,Yes.,1,1903
278,278,Nastya to Ali,[UI],1,1903
279,279,Rya,Click the checkmark and see if…,1,1903
280,280,Ali,But who is hydrogeologist?,1,1903
281,281,Nasty,That girl is…,1,1903
282,282,Ali,"Ah,",1,1903
282,282,Ali,yeah… [UI],1,1903
283,283,Ryan to Zheny,Yes…,1,1903
284,284,Nasty,And so… these two here need to sign off.,1,1903
284,284,Nasty,Because I can’t see them.,1,1903
284,284,Nasty,[UI],1,1903
285,285,Dash,They’re such dorks…,1,1903
286,286,Zheny,[UI],1,1903
287,287,Dash,"Yes,",1,1903
287,287,Dash,and you in particular.,1,1903
288,288,Ali,Me?,1,1903
288,288,Ali,//I’m not on your team.,1,1903
289,289,Dash,Yes.,1,1903
289,289,Dash,//I asked you: [SL] Pipe restrictions – the more the better?,1,1903
289,289,Dash,You said: Yes.,1,1903
289,289,Dash,"I thought I did that,",1,1903
289,289,Dash,and it turns out I didn’t.,1,1903
289,289,Dash,"The more,",1,1903
289,289,Dash,the [UI],1,1903
290,290,Natash,[UI],1,1903
291,291,Ali,"Ah,",1,1903
291,291,Ali,"now I see,",1,1903
291,291,Ali,Nastya.,1,1903
292,292,Nasty,Yes?,1,1903
292,292,Nasty,//[UI],1,1903
293,293,Rya,[UI],1,1903
294,294,Ali,"Maybe it works,",1,1903
294,294,Ali,"but not where we are… We only understood that the fourth time…//Fine,",1,1903
294,294,Ali,now I’ll show you…,1,1903
295,295,Natash,//[UI],1,1903
296,296,Nasty,Okay.,1,1903
297,297,Ali,Just a second.,1,1903
298,298,Nasty,I can see you entering there [UI] A.,1,1903
299,299,Ali,"Yeah…//Well,",1,1903
299,299,Ali,then…,1,1903
300,300,Dasha to Rya,//Everything is working.,1,1903
301,301,Ali,Then it was all in vain…,1,1903
302,302,Dash,[UI],1,1903
303,303,Rya,Hmm.,1,1903
303,303,Rya,Refresh maybe.,1,1903
304,304,Nasty,"Oh,",1,1903
304,304,Nasty,great.,1,1903
304,304,Nasty,We now have… Nine thousand //for population.,1,1903
305,305,Dash,//Yours and mine…,1,1903
306,306,Ali,"Oh,",1,1903
306,306,Ali,that’s good…,1,1903
307,307,Nasty,"Yes,",1,1903
307,307,Nasty,we’re finally not in the negatives.,1,1903
308,308,Ali,That’s it… win.,1,1903
309,309,Nasty,It’s good.,1,1903
309,309,Nasty,I mean we have not much.,1,1903
309,309,Nasty,It’s nine thousand – not minus like// last time.,1,1903
309,309,Nasty,//[UI]population.,1,1903
310,310,Ali,"//That’s it,",1,1903
310,310,Ali,"Zhenya,",1,1903
310,310,Ali,people aren’t dying…,1,1903
311,311,Zheny,//Yeah?,1,1903
311,311,Zheny,//Thank God.,1,1903
311,311,Zheny,//What do we need to do?,1,1903
312,312,Rya,//But we have [UI]?,1,1903
313,313,Dash,//[UI],1,1903
314,314,Ali,//Over there where Sign off is…,1,1903
315,315,Rya,//[UI],1,1903
316,316,Ali,//You see sign off?,1,1903
317,317,Zheny,//Yes.,1,1903
318,318,Ryan to Nasty,//[UI],1,1903
319,319,Ali,//And right under Sign off you see the number of people.,1,1903
319,319,Ali,How many people.,1,1903
320,320,Zheny,"Well,",1,1903
320,320,Zheny,I see nine.,1,1903
321,321,Dash,//[UI],1,1903
322,322,Ali,//There.,1,1903
322,322,Ali,"Nine thousand three hundred ninety-one,",1,1903
322,322,Ali,right?,1,1903
323,323,Zheny,Mhm.,1,1903
324,324,Ali,There.,1,1903
324,324,Ali,"So,",1,1903
324,324,Ali,that’s how many people //we can supply with water.,1,1903
325,325,Natash,"//[SL] Cooper we’re leaving forty,",1,1903
325,325,Natash,right?,1,1903
326,326,Dash,//Right now.,1,1903
326,326,Dash,"So,",1,1903
326,326,Dash,I reloaded everything and //[UI],1,1903
327,327,Zheny,//Totally awesome.,1,1903
327,327,Zheny,//What do you need there?,1,1903
327,327,Zheny,//Checkmark and…,1,1903
328,328,Ali,[SL] You need to reward the others as well.,1,1903
328,328,Ali,"//If you’re ready,",1,1903
328,328,Ali,you can already…,1,1903
329,329,Zheny,I was ready from the beginning.,1,1903
330,330,Ali,So did you already //answer yours?,1,1903
331,331,Nasty,//Did you already sign off?,1,1903
332,332,Zheny,"No,",1,1903
332,332,Zheny,I’m not answering… They already know [UI],1,1903
333,333,Ali,"Okay,",1,1903
333,333,Ali,I’m activating Sign off now too…,1,1903
334,334,Nasty,"Ok,",1,1903
334,334,Nasty,me too.,1,1903
335,335,Ali,Nastya and I are ready.,1,1903
336,336,Zheny,"Well,",1,1903
336,336,Zheny,place the checkmark?,1,1903
337,337,Dash,No.,1,1903
338,338,Nasty,Alik and I placed ours already.,1,1903
339,339,Ali,Dasha isn’t ready yet.,1,1903
340,340,Zheny,So now them and us.,1,1903
341,341,Nasty,"Well,",1,1903
341,341,Nasty,we clicked already.,1,1903
342,342,Ali,And meteorologist… Ryan already placed one.,1,1903
343,343,Zheny,"Well,",1,1903
343,343,Zheny,yeah.,1,1903
344,344,Rya,I placed one.,1,1903
345,345,Zheny,You’re falling behind.,1,1903
346,346,Dash,And [SL] CBC fifty was there initially?,1,1903
347,347,Natash,"//[UI]…ah,",1,1903
347,347,Natash,[SL] CBC?,1,1903
348,348,Dash,"No,",1,1903
348,348,Dash,"[SL]CBC fifty… Tell me,",1,1903
348,348,Dash,"please,",1,1903
348,348,Dash,"five hundred thousand eight hundred… eighty thousand is correct for watts,",1,1903
348,348,Dash,right?,1,1903
349,349,Natash,Yes… [UI],1,1903
350,350,Dash,"Anyway,",1,1903
350,350,Dash,what’s here?,1,1903
350,350,Dash,Nothing?,1,1903
351,351,Natash,Your numbers don’t increase my output somehow.,1,1903
351,351,Natash,Only my numbers increase my output.,1,1903
352,352,Dash,"Yes,",1,1903
352,352,Dash,"yes,",1,1903
352,352,Dash,yes.,1,1903
353,353,Rya,Pumps work…,1,1903
354,354,Natash,Yes.,1,1903
354,354,Natash,"Torque… So,",1,1903
354,354,Natash,"here we also have [UI] since they also placed checkmarks,",1,1903
354,354,Natash,entering more won’t work.,1,1903
355,355,Dash,//Eighteen.,1,1903
356,356,Rya,"//Eghteen… [UI] [SL] no,",1,1903
356,356,Rya,"no,",1,1903
356,356,Rya,no… pipe materials.//CBC,1,1903
357,357,Dash,[SL] CC.,1,1903
358,358,Rya,Which one?,1,1903
359,359,Dash,"Five fifty… but,",1,1903
359,359,Dash,[UI] //[SL] eighty thousand.,1,1903
360,360,Ali,"So,",1,1903
360,360,Ali,"they didn’t answer you,",1,1903
360,360,Ali,right Nastya?,1,1903
360,360,Ali,Your question… Very good.,1,1903
361,361,Nasty,They’re probably afraid [UI],1,1903
362,362,Dash,[UI],1,1903
363,363,Ali,Nastya said they are scared to answer.,1,1903
364,364,Dash,[SL] Why do we need these Chicagoans?,1,1903
365,365,Zheny,//[UI],1,1903
366,366,Ali,No answers about… She answered me.//[UI],1,1903
367,367,Natash,//[UI],1,1903
368,368,Dash,Ah Chicago – no.,1,1903
369,369,Ali,Can Chicago hear anything?,1,1903
370,370,Dash,So why didn’t [SL] Zarya log on?,1,1903
370,370,Dash,We already logged on.,1,1903
371,371,Nasty,//I do but hydrogeologist [SL] is not answering.,1,1903
372,372,Rya,Maybe they are not even on.,1,1903
373,373,Ali,"No,",1,1903
373,373,Ali,they are on.,1,1903
373,373,Ali,They answered.,1,1903
374,374,Rya,"//Oh,",1,1903
374,374,Rya,they did?,1,1903
374,374,Rya,Ok.,1,1903
375,375,Natash,//It worked.,1,1903
375,375,Natash,I see that checkmark.,1,1903
376,376,Dash,//Did you eat a walnut?,1,1903
377,377,Ali,//[UI],1,1903
378,378,Nasty,No.,1,1903
379,379,Dash,It’s like having soap in your mouth.,1,1903
380,380,Nasty,//There is soap in the walnut.,1,1903
381,381,Zheny,//Walnuts with soap are also delicious.,1,1903
382,382,Dash,What kind again?,1,1903
383,383,Zheny,They just washed it but forgot to rinse.,1,1903
384,384,Nasty,[UI],1,1903
385,385,Dash,"Ah,",1,1903
385,385,Dash,I get it now.,1,1903
385,385,Dash,Yes.,1,1903
386,386,Ali,She ate a walnut.,1,1903
386,386,Ali,She said it tasted like soap in her mouth.,1,1903
386,386,Ali,And she is like: “Yeah.,1,1903
386,386,Ali,It’s just a soap in your walnut” [UI].,1,1903
386,386,Ali,"//It’s fine,",1,1903
386,386,Ali,right?,1,1903
386,386,Ali,Like that.,1,1903
387,387,Rya,[UI],1,1903
