,Unnamed: 0,content,recipient,sender,sentOnBehalfOf,session,block
24,24,"Biochemical Engineer: Hi team,",teamEng,teamEng,eng1,1901,
24,24,any preference on where we begin?,teamEng,teamEng,eng1,1901,
25,25,"hi
",con1,con2,con2,1901,
26,26,Hi!,con2,eng2,eng2,1901,
27,27,Hi!,con3,eng3,eng3,1901,
27,27,,con3,eng3,eng3,1901,
28,28,"Hi Justin,",geo2,vc3,vc3,1901,
28,28,this is Harrison,geo2,vc3,vc3,1901,
29,29,Sedimentologist: is someone logging in as the drilling specialist at Sirius?,teamConstr,teamGeo,geo3,1901,
29,29,,teamConstr,teamGeo,geo3,1901,
30,30,Hello!,eng2,eng1,eng1,1901,
30,30,"
",eng2,eng1,eng1,1901,
31,31,Hi!,geo1,eng3,eng3,1901,
31,31,,geo1,eng3,eng3,1901,
32,32,Sydney;,eng1,vc3,vc3,1901,
32,32,this is Harrison,eng1,vc3,vc3,1901,
33,33,"Operations Specialist: Hello,",teamGeo,teamConstr,con1,1901,
33,33,"no,",teamGeo,teamConstr,con1,1901,
33,33,"drilling person is in usa 
",teamGeo,teamConstr,con1,1901,
34,34,Martian Meteorology Specialist: Hello.,teamGeo,teamvc,vc1,1901,
34,34,Any first picks for location?,teamGeo,teamvc,vc1,1901,
34,34,,teamGeo,teamvc,vc1,1901,
35,35,Hi;,con2,vc3,vc3,1901,
35,35,this is Harrison,con2,vc3,vc3,1901,
36,36,hello fluid engineer.,eng3,geo1,geo1,1901,
36,36,good afternoon,eng3,geo1,geo1,1901,
37,37,Hydrogeologist: hello engineering team!,teamEng,teamGeo,geo1,1901,
38,38,Mechanical Engineer: Good luck!,teamGeo,teamEng,eng2,1901,
39,39,"Hydrogeologist: 44,",teamGeo,teamGeo,geo1,1901,
39,39,"36
",teamGeo,teamGeo,geo1,1901,
40,40,"Hydrogeologist: 23,",teamGeo,teamGeo,geo1,1901,
40,40,49,teamGeo,teamGeo,geo1,1901,
41,41,"Biochemical Engineer: We are currently looking at 23,",teamEng,teamEng,eng1,1901,
41,41,49,teamEng,teamEng,eng1,1901,
42,42,Biochemical Engineer: How would this work for you?,teamEng,teamEng,eng1,1901,
42,42,,teamEng,teamEng,eng1,1901,
43,43,"Fluid Engineer: 39,24?",teamGeo,teamEng,eng3,1901,
44,44,Structural Geologist: The amount of available water there is fairly low,teamEng,teamGeo,geo2,1901,
45,45,"Sedimentologist: hmm the water available looks pretty low and the water loss is 1 for 39,24",teamEng,teamGeo,geo3,1901,
46,46,"Structural Geologist: Can you check 23,",teamEng,teamGeo,geo2,1901,
46,46,49 for us?,teamEng,teamGeo,geo2,1901,
46,46,"
",teamEng,teamGeo,geo2,1901,
47,47,"We have 30 minutes remaining
",vc2,geo3,geo3,1901,
48,48,"Drilling Specialist: FYI,",teamGeo,teamConstr,con2,1901,
48,48,"we are looking at co-ordinates 23,49 and 44,36 based on geology teams recommendations",teamGeo,teamConstr,con2,1901,
49,49,Mechanical Engineer: i try,teamGeo,teamEng,eng2,1901,
50,50,"Does 23,",con3,geo2,geo2,1901,
50,50,49 look like a good spot with the information you have?,con3,geo2,geo2,1901,
51,51,"Hydrogeologist: 2nd Usable Water Flow,",teamGeo,teamGeo,geo1,1901,
51,51,"Most Liked by Maintenance + BioChem (23,",teamGeo,teamGeo,geo1,1901,
51,51,"49)
",teamGeo,teamGeo,geo1,1901,
52,52,Maintenance Specialist: Hello;,teamvc,teamvc,vc3,1901,
52,52,"23,",teamvc,teamvc,vc3,1901,
52,52,49 looks good to us so far.,teamvc,teamvc,vc3,1901,
52,52,Do you have any good coordinates?,teamvc,teamvc,vc3,1901,
53,53,Maintenance Specialist: Hello;,teamConstr,teamvc,vc3,1901,
53,53,"23,",teamConstr,teamvc,vc3,1901,
53,53,49 looks good to us so far.,teamConstr,teamvc,vc3,1901,
53,53,Do you have any good coordinates?,teamConstr,teamvc,vc3,1901,
53,53,,teamConstr,teamvc,vc3,1901,
54,54,"Hydrogeologist: We are looking at (23,",teamvc,teamGeo,geo1,1901,
54,54,"49) ,",teamvc,teamGeo,geo1,1901,
54,54,"(44,",teamvc,teamGeo,geo1,1901,
54,54,"36)
 ",teamvc,teamGeo,geo1,1901,
55,55,"Hi,",con3,con2,con2,1901,
55,55,"could you give me your values for 23,49",con3,con2,con2,1901,
56,56,"Hi,",con1,con2,con2,1901,
56,56,"could you give me your values for 23,49",con1,con2,con2,1901,
57,57,"Drilling Specialist: Hi guys,",teamConstr,teamConstr,con2,1901,
57,57,"could you send me your values for co-ordinates 23,49",teamConstr,teamConstr,con2,1901,
58,58,Do you have any coordinate reccomendations?,con1,geo2,geo2,1901,
59,59,"Sedimentologist: 44,",teamGeo,teamGeo,geo3,1901,
59,59,"36 still looks like the best,",teamGeo,teamGeo,geo3,1901,
59,59,though I'd like to find something with less water loss,teamGeo,teamGeo,geo3,1901,
60,60,"Operations Specialist: Hello,",teamvc,teamConstr,con1,1901,
60,60,"what about 39,23?",teamvc,teamConstr,con1,1901,
60,60,"
",teamvc,teamConstr,con1,1901,
61,61,Maintenance Specialist: Unusable :(,teamConstr,teamvc,vc3,1901,
62,62,Maintenance Specialist: Population reached is very low,teamConstr,teamvc,vc3,1901,
63,63,"Drilling Specialist: My values for 39,",teamConstr,teamConstr,con2,1901,
63,63,"23 are: 0.5,",teamConstr,teamConstr,con2,1901,
63,63,"1500,",teamConstr,teamConstr,con2,1901,
63,63,"Present,",teamConstr,teamConstr,con2,1901,
63,63,"Present,",teamConstr,teamConstr,con2,1901,
63,63,Not Present,teamConstr,teamConstr,con2,1901,
64,64,Drilling Specialist: Could you share your values too?,teamConstr,teamConstr,con2,1901,
64,64,Thanks,teamConstr,teamConstr,con2,1901,
65,65,"Martian Meteorology Specialist: 23,49 reaches 7,979,",teamConstr,teamvc,vc1,1901,
65,65,meteorology cost 3321,teamConstr,teamvc,vc1,1901,
66,66,"Mechanical Engineer: it's ok I think
",teamEng,teamEng,eng2,1901,
67,67,Mechanical Engineer: i choose some data (i hope7:/),teamEng,teamEng,eng2,1901,
68,68,"Operations Specialist: but as for 23,49 location we have stone layer 
 ",teamvc,teamConstr,con1,1901,
69,69,"Martian Meteorology Specialist: 23,49 looks Ok.",teamvc,teamvc,vc1,1901,
69,69,"What pump,",teamvc,teamvc,vc1,1901,
69,69,"filter,",teamvc,teamvc,vc1,1901,
69,69,and pipe specs are you using?,teamvc,teamvc,vc1,1901,
69,69,,teamvc,teamvc,vc1,1901,
70,70,Maintenance Specialist: Is that a good or bad meteorology cost?,teamConstr,teamvc,vc3,1901,
71,71,"operational cost per hour 60
",con2,con1,con1,1901,
72,72,"Cooper
47
",eng2,eng3,eng3,1901,
73,73,13 minutes left,vc2,geo3,geo3,1901,
74,74,"Fluid Engineer: My date
Cooper 
47",teamEng,teamEng,eng3,1901,
75,75,"Drilling Specialist: Could both of you share your actual values for processing speed,",teamConstr,teamConstr,con2,1901,
75,75,"drill brand etc etc for co-ordinates 23,49",teamConstr,teamConstr,con2,1901,
76,76,Biochemical Engineer: What coordinates is that?,teamEng,teamEng,eng1,1901,
77,77,"Mechanical Engineer: i put: pump wattage 500000,",teamEng,teamEng,eng2,1901,
77,77,"torque 50000,",teamEng,teamEng,eng2,1901,
77,77,case and impeller plastic,teamEng,teamEng,eng2,1901,
78,78,"i put: pump wattage 500000,",eng3,eng2,eng2,1901,
78,78,"torque 50000,",eng3,eng2,eng2,1901,
78,78,case and impeller plastic,eng3,eng2,eng2,1901,
79,79,hi.,con2,con3,con3,1901,
79,79,do you need any assistance?,con2,con3,con3,1901,
80,80,"Biochemical Engineer: Is this still for 23,",teamEng,teamEng,eng1,1901,
80,80,49?,teamEng,teamEng,eng1,1901,
80,80,,teamEng,teamEng,eng1,1901,
81,81,"yeah,",con3,con2,con2,1901,
81,81,"could both of you send me the values for 23,49 so I can put it in the calculator?",con3,con2,con2,1901,
82,82,"Hello,",geo2,con1,con1,1901,
82,82,"39,23
",geo2,con1,con1,1901,
83,83,"Martian Meteorology Specialist: 10k watts,",teamvc,teamvc,vc1,1901,
83,83,"5k torque,",teamvc,teamvc,vc1,1901,
83,83,"stage1: A,",teamvc,teamvc,vc1,1901,
83,83,"2: D,",teamvc,teamvc,vc1,1901,
83,83,"H,",teamvc,teamvc,vc1,1901,
83,83,"Stainless,",teamvc,teamvc,vc1,1901,
83,83,width 20,teamvc,teamvc,vc1,1901,
84,84,Mechanical Engineer: eyp,teamEng,teamEng,eng2,1901,
85,85,Values for your roles from the Decision Calculator,con3,con2,con2,1901,
86,86,torque and wattage need to be close together,eng2,vc3,vc3,1901,
87,87,what values are you looking for?,con2,con3,con3,1901,
88,88,"Fluid Engineer: yes
",teamEng,teamEng,eng3,1901,
89,89,"there is also a stone layer
",con2,con1,con1,1901,
90,90,Mechanical Engineer: yes,teamEng,teamEng,eng2,1901,
91,91,It has a good amount of available water but the maintenance specialist says it won't reach any population,con1,geo2,geo2,1901,
92,92,maintenance costs very high with 500.000 / 50.000,eng2,vc3,vc3,1901,
93,93,"Biochemical Engineer: Great,",teamEng,teamEng,eng1,1901,
93,93,"the maintenance specialist should have just messaged you
I think there was an issue with cost associated with our choices ",teamEng,teamEng,eng1,1901,
94,94,Copper pipes are good :),eng3,vc3,vc3,1901,
95,95,"construction suitability: 0.85
",con2,con3,con3,1901,
96,96,copper pipes are good,eng2,vc3,vc3,1901,
97,97,water depth: 3731,con2,con3,con3,1901,
98,98,"For example,",con3,con2,con2,1901,
98,98,"Drill Brand,",con3,con2,con2,1901,
98,98,Drill Head etc?,con3,con2,con2,1901,
98,98,,con3,con2,con2,1901,
99,99,soft soil: not present,con2,con3,con3,1901,
100,100,ok,con2,con3,con3,1901,
101,101,"is 44,36 much better from your standpoint than 23,49?",con3,geo3,geo3,1901,
102,102,"Yeah ,",con3,con2,con2,1901,
102,102,I can see all the map-based values.,con3,con2,con2,1901,
102,102,"I don't have the knowledge of Drill Brand,",con3,con2,con2,1901,
102,102,"Equipment material,",con3,con2,con2,1901,
102,102,processing speed etc,con3,con2,con2,1901,
103,103,"Fluid Engineer: What about Filter,",teamEng,teamEng,eng3,1901,
103,103,Which?,teamEng,teamEng,eng3,1901,
104,104,Drilling Specialist: Are you able to see this chat?,teamConstr,teamConstr,con2,1901,
105,105,"Biochemical Engineer: A,",teamEng,teamEng,eng1,1901,
105,105,"none,",teamEng,teamEng,eng1,1901,
105,105,none,teamEng,teamEng,eng1,1901,
106,106,"drill brand A
",con2,con3,con3,1901,
107,107,drill head A,con2,con3,con3,1901,
108,108,equipment material: titanium,con2,con3,con3,1901,
109,109,"what about 41,24
",geo2,con1,con1,1901,
110,110,6 minutes remaining,vc2,geo3,geo3,1901,
111,111,"Martian Meteorology Specialist: I'll accept it
",teamConstr,teamvc,vc1,1901,
112,112,Biochemical Engineer: Would that work for you all?,teamEng,teamEng,eng1,1901,
113,113,Fluid Engineer: Thx,teamEng,teamEng,eng3,1901,
114,114,what about 50000/25000?,vc3,eng2,eng2,1901,
115,115,No available water,con1,geo2,geo2,1901,
116,116,:) good,eng2,vc3,vc3,1901,
117,117,"equipment duty: 10
",con2,con3,con3,1901,
118,118,and what about plastic pump case and impeller?,vc3,eng2,eng2,1901,
118,118,,vc3,eng2,eng2,1901,
119,119,"great,",con3,con2,con2,1901,
119,119,thanks!,con3,con2,con2,1901,
120,120,Could you ask operations specialist to send their values too?,con3,con2,con2,1901,
121,121,50 000/ 25 000,eng3,eng2,eng2,1901,
122,122,"Those are not important to me
",eng2,vc3,vc3,1901,
123,123,Biochemical Engineer: Did we change the wattage and torque?,teamEng,teamEng,eng1,1901,
123,123,,teamEng,teamEng,eng1,1901,
124,124,"Could you send me the values for processing speed,",con1,con2,con2,1901,
124,124,"parts source,",con1,con2,con2,1901,
124,124,servicing?,con1,con2,con2,1901,
125,125,"Biochemical Engineer: The Maintenance specialist noted a change in the torque and wattage,",teamEng,teamEng,eng1,1901,
125,125,which lowered our output significantly,teamEng,teamEng,eng1,1901,
126,126,"Fluid Engineer: Yes,",teamEng,teamEng,eng3,1901,
126,126,50000 and 25000,teamEng,teamEng,eng3,1901,
127,127,"Mechanical Engineer: yes,",teamEng,teamEng,eng2,1901,
127,127,we changed: 50 000/25 000,teamEng,teamEng,eng2,1901,
128,128,"Biochemical Engineer: With that,",teamEng,teamEng,eng1,1901,
128,128,we are much lower in output but still in the fair option range.,teamEng,teamEng,eng1,1901,
128,128,Are we okay with that compromise given our goal is to maximize water output?,teamEng,teamEng,eng1,1901,
129,129,"sign off now,",vc2,geo3,geo3,1901,
129,129,please,vc2,geo3,geo3,1901,
130,130,"processing speed high,",con2,con1,con1,1901,
130,130,"part source specialized
servicing low",con2,con1,con1,1901,
131,131,Mechanical Engineer: i think that higher will be better but not sure,teamEng,teamEng,eng2,1901,
132,132,Biochemical Engineer: We have to sign off right now because we are out of time.,teamEng,teamEng,eng1,1901,
133,133,"They are saying that the time is up,",con1,con2,con2,1901,
133,133,"could you just sign off on whatever we have,",con1,con2,con2,1901,
133,133,thanks,con1,con2,con2,1901,
134,134,Sedimentologist: stop,teamGeo,teamGeo,geo3,1901,
135,135,stop,geo3,geo2,geo2,1901,
136,136,Hello!,geo3,geo1,geo1,1901,
137,137,Hello!,vc3,geo2,geo2,1901,
138,138,Hello!,eng2,geo1,geo1,1902,
138,138,Please confirm when the crew begins.,eng2,geo1,geo1,1902,
138,138,,eng2,geo1,geo1,1902,
139,139,Hello!,eng3,geo1,geo1,1902,
139,139,Please confirm when the crew begins.,eng3,geo1,geo1,1902,
139,139,,eng3,geo1,geo1,1902,
140,140,Hello!,con1,geo1,geo1,1902,
140,140,Please confirm when the crew begins.,con1,geo1,geo1,1902,
140,140,,con1,geo1,geo1,1902,
141,141,Hello!,con3,geo1,geo1,1902,
141,141,Please confirm when the crew begins.,con3,geo1,geo1,1902,
141,141,,con3,geo1,geo1,1902,
142,142,Hello!,vc2,geo1,geo1,1902,
142,142,Please confirm when the crew begins.,vc2,geo1,geo1,1902,
142,142,,vc2,geo1,geo1,1902,
143,143,Hello!,vc1,geo1,geo1,1902,
143,143,Please confirm when the crew begins.,vc1,geo1,geo1,1902,
143,143,,vc1,geo1,geo1,1902,
144,144,Hi!,geo2,eng3,eng3,1902,
144,144,we are ready!,geo2,eng3,eng3,1902,
145,145,Mechanical Engineer: we are ready!,teamGeo,teamEng,eng2,1902,
145,145,Hi everybody!,teamGeo,teamEng,eng2,1902,
146,146,Fluid Engineer: HI!,teamGeo,teamEng,eng3,1902,
147,147,Martian Meteorology Specialist: We're ready,teamGeo,teamvc,vc1,1902,
148,148,"hello
we are ready for contact
",con2,con3,con3,1902,
149,149,Martian Meteorology Specialist: ??????,teamGeo,teamvc,vc1,1902,
149,149,,teamGeo,teamvc,vc1,1902,
150,150,Operations Specialist: hi Maxwell !,teamGeo,teamConstr,con1,1902,
151,151,??????,geo1,vc1,vc1,1902,
151,151,,geo1,vc1,vc1,1902,
152,152,Martian Terrain Specialist: ok,teamGeo,teamvc,vc2,1902,
153,153,Mechanical Engineer: :)),teamEng,teamEng,eng2,1902,
154,154,"What are your pump and filter specs for 18,30?",vc3,vc1,vc1,1902,
155,155,We have begun,geo1,vc1,vc1,1902,
156,156,Fluid Engineer: I chose Stainless Steel,teamEng,teamEng,eng3,1902,
157,157,Fluid Engineer: HI!,teamEng,teamEng,eng3,1902,
158,158,Great!,vc1,geo3,geo3,1902,
158,158,I'm sending this message at about 9 minutes in.,vc1,geo3,geo3,1902,
158,158,You will receive a popup survey at 10 minutes in.,vc1,geo3,geo3,1902,
158,158,,vc1,geo3,geo3,1902,
159,159,Hope the regional briefing documents were helpful!,vc1,geo3,geo3,1902,
160,160,Hydrogeologist: Great!,teamvc,teamGeo,geo1,1902,
160,160,I'm sending this message at nearly 10 minutes in.,teamvc,teamGeo,geo1,1902,
160,160,"Hope the regional briefing documents were helpful,",teamvc,teamGeo,geo1,1902,
160,160,let us know if you have any questions!,teamvc,teamGeo,geo1,1902,
161,161,Mechanical Engineer: I chose Aluminum for pump case,teamEng,teamEng,eng2,1902,
162,162,"We are required to choose 18,50 this round.",vc1,vc3,vc3,1902,
162,162,,vc1,vc3,vc3,1902,
163,163,"Oh,Hi we started 15 min ago",geo1,eng3,eng3,1902,
164,164,"Mechanical Engineer: pump wattage 100 000
pump torque 9 000
what do you think?",teamEng,teamEng,eng2,1902,
165,165,Fluid Engineer: And Pipe Width is 60,teamEng,teamEng,eng3,1902,
166,166,Can you uncheck the signoff?,con3,vc3,vc3,1902,
166,166,,con3,vc3,vc3,1902,
167,167,Others cannot input their values if you are signed off.,con3,vc3,vc3,1902,
168,168,Thank you!,con3,vc3,vc3,1902,
169,169,Fluid Engineer: But I think maybe use PVC but not Steel,teamEng,teamEng,eng3,1902,
170,170,Thats what I meant.,vc3,vc1,vc1,1902,
170,170,I misstyped.,vc3,vc1,vc1,1902,
171,171,"Mechanical Engineer: change - wattage 350000,",teamEng,teamEng,eng2,1902,
171,171,torque 65000,teamEng,teamEng,eng2,1902,
172,172,Fluid Engineer: And What about Filters?,teamEng,teamEng,eng3,1902,
172,172,"What kind of them do you choose,",teamEng,teamEng,eng3,1902,
172,172,Biochemichal engineer?,teamEng,teamEng,eng3,1902,
173,173,we are working ,geo1,eng2,eng2,1902,
174,174,Ok.,vc3,con3,con3,1902,
174,174,I did it,vc3,con3,con3,1902,
175,175,Perfect!,eng3,geo1,geo1,1902,
175,175,Sending this at 25 minutes in.,eng3,geo1,geo1,1902,
175,175,,eng3,geo1,geo1,1902,
176,176,"Oh,",vc1,vc3,vc3,1902,
176,176,okay!,vc1,vc3,vc3,1902,
176,176,"As the Maintenance Specialist,",vc1,vc3,vc3,1902,
176,176,I have chosen 5 for the Maintenance Decision (under Space Human Factors in the signoff).,vc1,vc3,vc3,1902,
176,176,"It looks like the Biochemical Engineer chose Filter A for Stage 1,",vc1,vc3,vc3,1902,
176,176,and none for Stages 2 and 3.,vc1,vc3,vc3,1902,
176,176,Mechanical Engineer has also entered the pump specs into the signoff.,vc1,vc3,vc3,1902,
176,176,,vc1,vc3,vc3,1902,
177,177,Can you please reply?,eng1,eng3,eng3,1902,
178,178,are you still there?,vc3,con3,con3,1902,
178,178,,vc3,con3,con3,1902,
179,179,How are you?,eng2,eng3,eng3,1902,
180,180,"Hydrogeologist: Sending this at 10 minutes to go,",teamEng,teamGeo,geo1,1902,
180,180,which means you will receive at 5 minutes to go.,teamEng,teamGeo,geo1,1902,
180,180,"
",teamEng,teamGeo,geo1,1902,
181,181,"Hydrogeologist: All Martian Analysis Group members have input their values,",teamEng,teamGeo,geo1,1902,
181,181,"if the crew is also ready,",teamEng,teamGeo,geo1,1902,
181,181,we can begin the signoff.,teamEng,teamGeo,geo1,1902,
181,181,,teamEng,teamGeo,geo1,1902,
182,182,"Hydrogeologist: Sending this at 10 minutes in,",teamConstr,teamGeo,geo1,1902,
182,182,you'll receive at 5 minutes to go.,teamConstr,teamGeo,geo1,1902,
183,183,Hydrogeologist: All Martian Analysis Members have input their decisions.,teamConstr,teamGeo,geo1,1902,
183,183,"If the crew is ready,",teamConstr,teamGeo,geo1,1902,
183,183,we can begin signoff.,teamConstr,teamGeo,geo1,1902,
183,183,,teamConstr,teamGeo,geo1,1902,
184,184,I love you,con1,eng3,eng3,1902,
185,185,"Hydrogeologist: Sending this with just under 10 minutes go to,",teamvc,teamGeo,geo1,1902,
185,185,so you'll receive at just under 5 minutes to go.,teamvc,teamGeo,geo1,1902,
185,185,,teamvc,teamGeo,geo1,1902,
186,186,Hydrogeologist: All Martian Analysis Group members have input their values.,teamvc,teamGeo,geo1,1902,
186,186,"If the crew is ready,",teamvc,teamGeo,geo1,1902,
186,186,we can begin signoff.,teamvc,teamGeo,geo1,1902,
186,186,,teamvc,teamGeo,geo1,1902,
187,187,Materials Specialist: Hi Maxwell!,teamGeo,teamConstr,con3,1902,
187,187,"We are all excited to talk to you
",teamGeo,teamConstr,con3,1902,
188,188,"I love you more
",eng3,con1,con1,1902,
189,189,???,vc2,vc1,vc1,1902,
189,189,models run.sh ???????,vc2,vc1,vc1,1902,
189,189,,vc2,vc1,vc1,1902,
190,190,"O,",con1,eng3,eng3,1902,
190,190,So sweet!,con1,eng3,eng3,1902,
190,190,What are we waiting?,con1,eng3,eng3,1902,
191,191,I am!,con3,vc3,vc3,1902,
191,191,Just this comm delay.,con3,vc3,vc3,1902,
191,191,,con3,vc3,vc3,1902,
192,192,Waiting for the night to come baby!,eng3,con1,con1,1902,
193,193,Hydrogeologist: Great working with you!,teamConstr,teamGeo,geo1,1902,
194,194,"Hi,",eng3,con2,con2,1903,
194,194,please confirm when you are on and ready to begin,eng3,con2,con2,1903,
195,195,"Hi,",eng2,con2,con2,1903,
195,195,please confirm when you are on and ready to begin,eng2,con2,con2,1903,
196,196,"Hi,",vc2,con2,con2,1903,
196,196,please confirm when you are on and ready to begin,vc2,con2,con2,1903,
197,197,"Hi,",vc1,con2,con2,1903,
197,197,please confirm when you are on and ready to begin,vc1,con2,con2,1903,
198,198,"Hi,",con3,con2,con2,1903,
198,198,please confirm when you are on and ready to begin,con3,con2,con2,1903,
199,199,"Hi,",con1,con2,con2,1903,
199,199,please confirm when you are on and ready to begin,con1,con2,con2,1903,
200,200,Fluid Engineer: Hi!,teamEng,teamEng,eng3,1903,
201,201,Fluid Engineer: Hi!,teamEng,teamEng,eng3,1903,
202,202,Fluid Engineer: Hi!,teamEng,teamEng,eng3,1903,
203,203,Mechanical Engineer: Hello!,teamEng,teamEng,eng2,1903,
203,203,,teamEng,teamEng,eng2,1903,
204,204,we are ready!,con2,eng2,eng2,1903,
204,204,,con2,eng2,eng2,1903,
205,205,we're ready!,con2,eng3,eng3,1903,
206,206,Martian Terrain Specialist: hello,teamGeo,teamvc,vc2,1903,
207,207,"We're ready
",geo1,vc1,vc1,1903,
208,208,"Materials Specialist: what's going on,",teamGeo,teamConstr,con3,1903,
208,208,ninjas?,teamGeo,teamConstr,con3,1903,
209,209,Materials Specialist: HELLO!!!!!,teamEng,teamConstr,con3,1903,
210,210,Fluid Engineer: HI!!!,teamConstr,teamEng,eng3,1903,
211,211,Fluid Engineer: I chose Pipe material - PVC and Pipe Width 50,teamEng,teamEng,eng3,1903,
212,212,Operations Specialist: Hi there!,teamEng,teamConstr,con1,1903,
212,212,,teamEng,teamConstr,con1,1903,
213,213,"Hydrogeologist: great,",teamConstr,teamGeo,geo1,1903,
213,213,"let's build a well
",teamConstr,teamGeo,geo1,1903,
214,214,"Operations Specialist: Hi everyone,",teamGeo,teamConstr,con1,1903,
214,214,was great to watch your videos.,teamGeo,teamConstr,con1,1903,
214,214,"so regarding the stone layer present,",teamGeo,teamConstr,con1,1903,
214,214,are we still good to drill there?,teamGeo,teamConstr,con1,1903,
215,215,Fluid Engineer: NO!,teamEng,teamEng,eng3,1903,
215,215,Copper and 40,teamEng,teamEng,eng3,1903,
216,216,"Fluid Engineer: Pipe width
Sorry!",teamEng,teamEng,eng3,1903,
217,217,Fluid Engineer: 30,teamEng,teamEng,eng3,1903,
218,218,Structural Geologist: I think so,teamConstr,teamGeo,geo2,1903,
219,219,Materials Specialist: why aren't you filling in your values??,teamGeo,teamConstr,con3,1903,
219,219,Is everything OK??,teamGeo,teamConstr,con3,1903,
220,220,Fluid Engineer: Guys!,teamvc,teamEng,eng3,1903,
220,220,Where are you?,teamvc,teamEng,eng3,1903,
221,221,"Biochemical Engineer: As I send this message,",teamEng,teamEng,eng1,1903,
221,221,we have 20 minutes,teamEng,teamEng,eng1,1903,
222,222,Maintenance Specialist: I cannot enter my values since some have checked their role in the sign-off.,teamEng,teamvc,vc3,1903,
223,223,ANASTASIA!!!,con1,con3,con3,1903,
223,223,,con1,con3,con3,1903,
224,224,We signed off 15 minutes or so ago,con2,vc1,vc1,1903,
225,225,da dorogoy,con3,con1,con1,1903,
226,226,"ne znayu chto pisat',",con1,con3,con3,1903,
226,226,tak chto budu etu chush',con1,con3,con3,1903,
227,227,Sedimentologist: My values are locked since some have signed off,teamConstr,teamGeo,geo3,1903,
228,228,Sedimentologist: we 5 minute warning when you see this,teamConstr,teamGeo,geo3,1903,
229,229,"soapy walnut I m happy u r here
",eng3,con1,con1,1903,
230,230,ky-ky,geo1,vc2,vc2,1903,
231,231,ne esh' myl'nye gretskie orekhi?!,eng3,con3,con3,1903,
231,231,"Ne polezno
",eng3,con3,con3,1903,
232,232,Drilling Specialist: ?This task will end in 5 minutes.,teamGeo,teamConstr,con2,1903,
232,232,"The Martian Analysis Group would like to finalize the inputs and begin the signoff,",teamGeo,teamConstr,con2,1903,
232,232,please input your values now and signoff when you are ready.?,teamGeo,teamConstr,con2,1903,
232,232,,teamGeo,teamConstr,con2,1903,
233,233, ?This task will end in 5 minutes.,vc1,con2,con2,1903,
233,233,"The Martian Analysis Group would like to finalize the inputs and begin the signoff,",vc1,con2,con2,1903,
233,233,please input your values now and signoff when you are ready.?,vc1,con2,con2,1903,
233,233,,vc1,con2,con2,1903,
234,234, ?This task will end in 5 minutes.,eng3,con2,con2,1903,
234,234,"The Martian Analysis Group would like to finalize the inputs and begin the signoff,",eng3,con2,con2,1903,
234,234,please input your values now and signoff when you are ready.?,eng3,con2,con2,1903,
234,234,,eng3,con2,con2,1903,
235,235, ?This task will end in 5 minutes.,eng2,con2,con2,1903,
235,235,"The Martian Analysis Group would like to finalize the inputs and begin the signoff,",eng2,con2,con2,1903,
235,235,please input your values now and signoff when you are ready.?,eng2,con2,con2,1903,
