,content,labels_h
121, Thank you.,s
122, Twenty twenty-one?,q
123, No! //Just kidding.,s
124, //Your turn.,s
125, Twenty…,d
126, Check.,s
127," Twenty-one. It’s not great. Okay. No water, I think.",s
128, Twelve thirty.,s
129, Hold on.,s
130," What is it, have our partners decided not to contact us at all?",q
131, Twelve?,q
132, Thirty.,s
133, Wow! Not good. Not sustainable for a colony.,s
134, No water.,s
135, The water is practically crystal clear.,s
136," Yes, because there’s none there.",s
137," Wait. Still, take a look at it. Six fifty.",s
138, Six.,s
139, Six.,s
140, Six fifty?,q
141," Yes, I understand that",s
142," Salah will not like it, but…",d
143, I don’t like it either.,s
144," There’s water, but high water loss. So, it’s the borderline, I would say.",s
145, Too deep.,s
146, The water is very clean there.,s
147," Well, it’s not bad then.",s
148, Fifteen forty-one?,q
149, One second.,b
150, Which one did you suggest?,q
151, Fifteen forty-one.,s
152, Fifteen forty-one. …It’s not great either.,s
153, Fifteen forty-one you said?,q
154, Yes.,s
155, 100% water loss.,s
156, Fuck.,s
157, Oops.,s
158, Thirty-seven thirty-one. Can you check please guys?  Thirty-seven thirty-one.,q
159, No water.,s
160," It’s not bad for me, but…",d
161, Okay.,b
162, Thirty-six thirty-one?,s
163, Thirty-six…,d
164, Oh! Oh! Oh! Easy.,s
165, [SL] Where is it? Not bad.,s
166," Okay, okay.",b
167, Thirty-one forty-four.,s
168, Thirty-one forty-four.,s
169, No water.,s
170, Forty thirty-three.,s
171, Forty thirty-three.,s
172, It seems one can play this game.,s
173, Which one?,q
174, Forty thirty-three.,s
175, Not the best. Not the worst.,s
176, Forty thirty-three. No water.,s
177, Okay.,b
178," Will, if you were playing alone, you would still manage to win.",s
179," Yes, yes.",s
180," Because//there is information about the availability of water…that is, no matter how clean the puddle is…if there is nothing there, there is no point in looking.",s
181," //I like it! Yes, yes.",b
182," I don’t quite understand why they have water loss. I mean, it affects that, but not quite so much.",s
183," Well, in general…",d
184, There are very few sources of water.,s
185," Yes. That is, you will remove it and there will be no more.",s
186, Oh! Somebody has responded.,s
187," Now, in fact…",d
188," So they’ll say they don’t have the operations specialist and the maintenance specialist yet, but they’ll continue without them. Hold on.",s
189, They haven’t woken up yet.,s
190, It’s very early there.,s
191," It’s so difficult, waking up, yes?",f
192," Oh, operations specialist just arrived, they are saying here. Well, they carry on anyway. Cool.",s
193, Poor guys.,s
194, Maintenance specialist? That’s on my team.,s
195, Hm?,q
196, They said that the maintenance specialist still hasn’t come. That’s on my team.,s
197," Because…you mean, because he is late?",q
198, No. Human factors I have.,s
199, [SL] Oh! I’m sorry.,s
200," How do you say: “I’m always late”? Okay, like, 50% of the time.",q
201, Let’s concentrate on the task. Okay?,f
202, They are saying that thirty-one thirty is better for the geologist.,s
203, //Thirty-one thirty?,q
204, //Did they say why?,q
205, They said what?,q
206," When we checked…thirty-one thirty, they are saying that they are looking more at that one right now.",s
207," It is, in general, 60% loss.",s
208, And water is dirty.,s
209, Was it only for one person…,d
210," Yes, for now.",s
211, Because if it is for everyone else //better in the other…,d
212, //Thirty-seven thirteen is much better.,s
213, //If we enter here…,d
214," //Yes, for me too.",s
215, Sixty…it’s okay…[UI],d
216," According to my chart, that would be part of the worst options. Doable but the worst.",s
217, [UI] sixty…sixty here.,d
218, I’d like some coffee. Darn!,s
219," Well, it’s definitely 60% loss.",s
220," And only ten in the other one, right? At thirty-seven thirteen.",q
221," Yes, thirty-seven thirteen – it’s really great.",s
222, Darn!,s
223," We didn’t even consider. Well, what? I have thirty-one thirty marked, but…",d
224," Hey, Will.",s
225, Hm?,q
226," Ah, we have. Well, okay. I see what we have.",s
227, Why are you starting?,q
228," Okay, okay. We were communicating just fine. Oops.",s
229," They said, thirty-one thirty is okay for them.",s
230, Yeah.,b
231, Yeah.,b
232," That’s what I’m saying. So, I told them: “Our preference is thirty-seven thirteen right now because it just has so much more water, but we are open to other candidates including thirty-one thirty.”",s
233, They wrote about thirty-seven thirteen - “isn’t great.”,s
234," Right. //And I said…I said that it has a lot of water, so.",s
235, //Did they say why and how many people?,q
236, Sixteen seventeen?,q
237, From them?,q
238, No.,s
239, No water.,s
240, You are right.,s
241, Why are you looking at this point? The water is so dirty there.,q
242, Not dirtier than in other spots.,s
243," Well, thirty-seven thirteen – it’s not bad.",s
244, I just don’t understand why they are not tied to the landscape? [SL] for the aquifer.,q
245, It’s so strange to see your veins after so many years.,s
246, What do you mean?,q
247," Were you that fat that you didn’t, see? //I’m just kidding.",f
248," //No, I did not see. You’re right. But it was there.",s
249, Was it really because of the chubbiness?,q
250," Yeah, absolutely! Now I can see my veins.",s
251," Oh! Oh, really?",q
252," Now I’m, like, back to looking like I was when I was younger.",s
253, Ew…,d
254, It’s like…,d
255, Darn!,s
256, Darn!,s
257, Darn!,s
258," Now you’ll show it to a mosquito, and it will suck everything out of you.",s
259, Darn!,s
260,"  Mechanical engineer, he said that thirty-one thirty is the best point for them.",s
261," Okay. I mean, it can be used for us, I think.",s
262," It’s, like, pretty bad.",s
263," It’s on the border, but.",s
264, It’s pretty bad.,s
265," //I mean, if they are all…they are saying it is really good, so…",d
266, //Which one?,q
267, //For me.,s
268, //Which one? Which one?,q
269, Thirty-one thirty.,s
270," Oh, okay. But the best point, I mean now…for now it’s thirty-seven thirteen.",s
271," Yeah, for us.",b
272, Yeah.,b
273, For them – no.,s
274, That’s not our problem.,s
275, I see.,b
276," But, actually it’s our problem, yeah.",s
277," Yes, it is, not only from…from one person. Everyone is now saying, like, thirty-one thirteen. Everyone is starting to say, “thirty-one thirty”. It’s not just the one person.",s
278," Well, 60% loss.",s
279," Yes. Well, there’s a lot of water there. So, it’s like…",d
280," Doesn’t reach a very high population, though.",s
281, And that sucks.,s
282, Darn!,d
283, For future sustainability.,s
284, They are looking on nineteen thirty-six and thirteen thirty-one.,s
285, Nineteen thirty-six.,s
286, Thirty-six.,s
287, 95% water loss at nineteen thirty-six.,s
288," //Well, that looks awful.",s
289, //And thirteen thirty-one.,s
290, Which one?,q
291, Thirteen thirty-one.,s
292, Let me see.,s
293, [UI].,d
294, Awful. Both of those are awful for me.,s
295, Both of them. Yeah.,b
296, For me it’s okay.,s
297," Oh, I knew it had to happen. Okay.",s
298," Okay. What was the other one, Salah?",q
299, They suggested?,q
300, Yeah.,s
301, Thirteen thirty-one.,s
302, That one is not bad.,s
303, Mhm.,b
304, Take a look at thirty-seven thirty-five.,s
305, Hold on.,b
306, Not too bad at all.,s
307, What did you…which one did you say?,q
308," Thirty-seven thirty-five, but it seems to me that there’s no water there because the ground temperature is high.",s
309, Okay.,b
310, Not bad for me.,s
311," Again, which one?",q
312, Thirty-seven thirty-five.,s
313, Did we look up…,d
314," Mechanical engineer here is writing, twelve thirty-one and thirteen thirty-one. //Did we look at those?",q
315," //Yeah, thirteen thirty-one is very good. The other one is not.",s
316, Are you sure thirteen thirty-one…//You did twelve thirty-one as well?,q
317, //I want correlation…,d
318, //It’s okay for me.,s
319, Twelve thirty-one? No.,s
320, The one you said is not bad for me.,s
321, For me too.,s
322," Will, and for you?",q
323," Hold on, hold on. Twelve thirty-one.",b
324, Twelve thirty-one and thirteen thirty-one freaking suck for me.,s
325," Twelve thirty-one is pretty good too, actually.",s
326, You’re literally reaching…,d
327, Thirty-one? Twelve thirty-one?,q
328," Mhm. That’s what they said, but they both suck for me. Like, you are reaching basically zero population.",s
329," Ah, okay. Well, then say that.",s
330, It’s okay.,s
331," And then, for thirteen thirty-one? How was that?",q
332, Both are pretty…,d
333, Both are bad? Okay.,q
334, Pretty bad population-wise.,s
335, I like how  thirty-seven thirteen was their worst point so far.,s
336, Huh?,q
337, They say thirty-seven thirteen is their worst...,d
338, The worst option.,s
339, The worst case for them.,s
340, Sucks.,s
341," Yes. They are comparing with thirty-one thirty, which doesn’t work for us at all.",s
342," Sorry, Ash.",s
343, My team is not responding at all. I’m just talking to the engineering team. I’m not even there.,s
344, The mechanic to you…,d
345, Yes.,s
346, Oh!,b
347," I just saw your response, Will. [SL] Give me a second.",s
348," So, Oleg, did you say some point?",q
349, Thirty-one…I already…hold on. Hold on.,b
350, You said thirty-seven thirty-five earlier.,s
351, No. Not thirty-seven thirty-five.,s
352, Thirty-one thirty.,s
353, Thirty-one thirty-five – old point. [SL],s
354, I’ll enter it now…,d
355, Oops.,s
356," Yeah, it is.",s
357, Excuse me.,s
358, Thirty-one what?,q
359," Can’t remember. Shoot, I…",d
360," Perhaps, it wasn’t very good.",s
361," No, the water was clean there.",s
362, [singing],d
363, Darn!,s
364," I wonder, why are we not working on an assignment where we should study the lunar surface?",q
365, Because rocks fly off there.,s
366, A rock that doesn’t fly off the //lunar surface.,s
367, //What do you think of forty-two thirteen?,q
368, It was part of the previous game.,s
369, Thirteen?,q
370, Forty-two thirteen.,s
371, There’s no water there.,s
372," Yes, there is only little there, but it’s enough to…",d
373, Have a drink.,s
374, “Thirty-one thirty is our worst option”,s
375, Sorry. No. Because it’s high level of contamination.,s
376, Okay. It’s so dirty there that…,d
377, Okay! Okay!,b
378, Just like you!,s
379, Easy!,s
380, Understand all the sides.,s
381," I mean, that was okay for me. But it’s not…",d
382," It’s not water there, it’s just mud.",s
383, To us drilling specialist says nineteen thirty-six is the best one for them.,s
384, Nineteen thirty-six?,q
385, Yes. What was there for us?,q
386, Did we check nineteen thirty-six?,q
387, Oh! Phewh!,s
388, Booh.,s
389, Why are you grumbling there?,q
390," Well, almost…",d
391, For me it’s okay.,s
392, Oh!,s
393, Which one?,q
394, Nineteen thirty-six.,s
395, Nineteen thirty-six. Yes.,s
396, It’s the best point for them. Yeah.,s
397, Nineteen thirty-six. It’s even 10%...,d
398, No water.,s
399, No?,q
400," Oh, well, darn.",s
401, Thirty-seven thirteen is the worst one?,q
402, Did you check twelve thirty-one?,q
403, Yeah.,s
404, Twelve thirty-one?,q
405, Yeah.,s
406," Yeah. Yeah, it has a decent amount of water but…",d
407," But it reaches, practically, like, it can sustain practically no population.",s
408, Did we check twenty-six thirty-nine?,q
409, Twenty-six.,s
410, Thirty-nine.,s
411," So, no. 99% water loss.",s
412, Darn!,s
413, And what does your water loss depend on?,q
414, You have water availability and loss. What does the loss depend on?,q
415," It’s, like, it means you have two water basins where the water is contained. And, like, it leaks. And when it leaks, it’s not...within...//Well, when you...It doesn’t add water back. So, sort of...",d
416, //Not replenished…[UI],d
417, This?,q
418, Mhm. Thank you. Darn!,s
419, Fuck!,s
420, What?,q
421, I gave a wrong answer.,s
422, I did that the first time.,s
423, Hm?,q
424, I did that the first time too.,s
425, Darn!,s
426, Drilling specialist and mechanical engineer are on fire today. Loving it.,s
427," So, the ranking is: Nineteen thirty-six - the first point. Then, thirty-one thirty. Then, twelve thirty-one, thirteen thirty-one and the last one – thirty-seven thirty.",s
428, Okay. So then we can…,d
429, This is the ranking.,s
430," Yeah. I told them to give us two points and then, obviously, thirty…thirty-one thirty is going to be our…On that list thirty-one thirty is gonna be [UI]. But what’s another one? What’s the next one down?",q
431, Twelve thirty-one.,s
432, Nope.,s
433," Twelve thirty-one. And that doesn’t work for her pretty hard,  so…",d
434," We need to look for the result, because there are twenty minutes left – not more.",s
435," Okay, let’s go to thirty-one thirty.",s
436," Well, if there are too many…",d
437," So, if the temperature is low there...",d
438, Are you looking for patterns?,q
439, Yes.,s
440, I chose this point randomly.,s
441," There, look at twenty-nine thirty-three. This, here, it seems to me, according to the algorithm that we had before, it should be there. Twenty-nine thirty-three.",s
442," In terms of water availability, is it confirmed or not?",q
443, What?,q
444," Twenty-nine …twenty-nine thirty-three. Does the algorithm work or not? Water and sand are colder... Well, the temperature of the sand...",d
445," //There’s 83% water loss. It means that there…there is water there, but not that much.",s
446, //Twenty-nine …,s
447, //Twenty-nine thirty-three.,s
448," Mhm. Well, it is already…",d
449, So what now? Shall we say then we can do thirty-one thirty?,q
450," Yes. If they agree, yes. Just…",d
451, But losses will be great.,s
452," Mechanical engineer said, thirty-one thirty and nineteen thirty-six, I think.",s
453, If it’s between those two…,d
454, Yeah.,s
455, Then thirty-one thirty is better for me. What about for everyone else?,q
456, What one?,q
457, If it was between…,d
458," Yeah, I mean, that functions. I mean…",d
459, No water.,s
460, Then the pattern doesn’t work.,s
461, So what? Shall we agree to that one?,q
462, They already agreed. They already added it.,s
463," Thirty-one thirty. // They agreed, yeah.",s
464," //Oh, they did?",q
465, Yes. Done.,s
466, Okay. Let’s.,s
467, Holy crap. It’s already…,d
468, Darn!,s
469, So…,d
470, They didn’t tell me that…,d
471," So, thirty-one thirty, yes?",f
472, Yes.,s
473, Thirty-one thirty.,s
474," So, three, two, one.",s
475," So, it works…[UI]",d
476, [UI],d
477," No, thank you.",s
478, Correct. Correct. At least…why not…,d
479," It’s pretty low-cost. Okay. Excuse me, who the fuck put the stuff into my spaceman factor stuff? Not cool, man. Not cool. What?",q
480," They signed already, yeah?",q
481, What is going on?,q
482, I guess they are…,d
483," Ah, okay, the maintenance. That was just a mistake probably.",s
484, Boo!,s
485, They just did it again.,s
486," No, that’s you.",s
487, Oh.,b
488," Who keeps changing my stuff? Come on, assholes!",s
489, What?,q
490," Someone, literarily keeps changing what I put. Get the heck outta here.",s
491, Everyone inserted it?,q
492, Almost…No! Why does the maintenance specialist keep doing this?,q
493, Oh!,b
494, Oh my God. …Now I’m ready to [UI],d
495, And I have a survey right now. Does anyone else have a survey?,q
496, Yep.,b
497, Mhm. Me too.,b
498, God damnit!,s
499, I again [UI],d
500, So what? Ready?,q
501," There were questionnaires. Still there, darn.",s
502," Ash, are you ready?",q
503, I still have a freaking…,d
504, Oh.,b
505, Why is it taking forever?,q
506, Alright. I’m good.,s
507, Good? Everybody? Smash that “Like” button.,s
508, Done?,q
509, Yes.,s
510, It appeared and then disappeared for you.,s
511, Mhm.,b
512, Did you see what they named it? “MTS party spot”.,s
513, Hm?,q
514, Was that you?,q
515, Did they name it that? Or…,d
516, I thought…,d
517, What?,q
518," That was you. Okay. Did you see what it’s called, the name here says “MTS party spot”?",q
519, //Done?,q
520, //I thought they gave it that way.,s
521, //I guess so. Yeah.,s
522, Yeah. Log out?,q
523, [UI],d
524, Is it done?,q
525, I think so.,s
526, Yeah.,b
527, Okay.,b
528, All done.,s
529, Okay.,b
530," They signed, yeah. [UI]",d
531, It froze.,s
532, [UI],d
533, So? Let’s continue. To DeChurch nine.,s
534, Oh.,b
535, Terrain specialist is non-existent.,s
536, What?,q
537, Terrain specialist is non-existent today.,s
538," So, he isn’t there, and this isn’t responding because of it?",q
539," So, just don’t select them.",s
540," Oh, it means…",d
541, In surveys? Or what?,q
542, No. When you are in Relay.,s
543, Ah.,b
544, Oh.,b
545, Don’t choose terrain specialist. Don’t choose the terrain specialist.,s
546," So, he is not working today? On vacation.",s
547," Yes. The ninth, yes? DeChurch nine?",q
548, Mhm.,s
549, Okay.,b
550, Are you trying to remember everyone’s names?,q
551, No. What crew I communicated more…,d
552, Interacted.,s
553, Yes. Interacted.,s
554, What? Done? Discharge?,q
555, It’s not for me.,s
556, Complete [SL] opinion …what can be stolen from here?,q
557, Me too.,s
558, Which one?,q
559, Cherry.,s
560, Please.,s
561, We need to cheer up... We need to go through this before bedtime.,s
562, I look like a bum. I really do. This is great.,s
563, Like who?,q
564, Like a bum.,s
565, Hm.,b
566," Okay, don’t choose the terrain specialist just in case.",s
567, We’re short with who?,q
568, Hm?,q
569, Without what? Terrain specialist?,q
570, I don’t know who.,s
571, Okay.,b
572," Oleg, can I steal from you…",d
573, No.,s
574, Charger.,s
575, Of course.,s
576, [UI]. Thank you.,s
577, How is your situation with letters today? Many? I’m talking about these.,q
578, Only three.,s
579, Did you choose the guy who is absent?,q
580, What?,q
581, Terrain?,q
582, Mhm-m.,b
583, Let’s get down to business.,s
584," Oh, did you, guys…Okay, later.",s
585, Okay.,b
586, We did not request more. We forgot. //We’ll request it tonight.,s
587, //We still have one.,s
588, But I still have…The Chamber of Secrets at least.,s
589, Yeah.,b
590," [SL] Here’s “meow” for you, darn.",s
591, Oh! My battery ran out.,s
592, Got’em! Totally cranked. Open it up. Maybe you can get it to…it should just pop right open.,s
593, How?,q
594," Oh, fuck!",s
595, Just tap it. Just tap it. There you go. It might pull it up in time. Don’t worry.,s
596, It may not stop.,s
597, Come on. There is still time.,s
598, Should I press again?,q
599, No no no. Did it do anything? Looks like it’s turning on.,s
600, Is it?,q
601, Did he write to you “low”?,q
602, I didn’t see. Fuck. Should I press here?,q
603, [UI],d
604, Come on. There’s still a minute left.,s
605, Give it a second. Don’t…because you might restart it.,s
606, Well we are almost done. One minute.,s
607," Well, I hope my video saved until then.",s
608," I mean, if you didn’t turn it off it should…Alright, hit it one more time. Now that you don’t see…is it doing something? Okay, cool.",s
609, Got it? Ah.,q
610, It’s going there. Well…,d
611, Forty seconds.,s
612, Sorry Igor.,s
613," Yes. Yes, it’s not Igor. It is…",d
614, DeChurch. I’m so sorry. …It did go right back to it! Okay!,s
615," Yeah, this is [UI]",d
616, My video restarted but that’s okay. Oops.,s
617," //It still got saved, right?",q
618, //You got fifteen seconds if you can…,d
619," Yes, still //going.",s
620, //get back in there.,s
621, Well…How many letters are there for you already?,q
622, Boo!,s
623, [UI],d
624," Thank you, bye.",s
625, Cool! Okay.,s

