,content,labels_h
206, Try from here.	,s
207," No, no. I wrote also in robotics."	,s
208, Weird.	,b
209, It is weird.	,s
210, Have the guys written to somebody?	,q
211, Yeah. They have contacted us.	,s
212, Not me.	,s
213, Twenty-four forty-three.	,s
214," Twenty-four…Very bad. No, no."	,s
215," Which one, Oleg?"	,q
216, Twenty-four forty-three.	,s
217, Twenty-four forty-three. Ash has stopped here.	,s
218," It’s just a thousand liters of water. In short, no water."	,s
219, Operation specialist said: “Chicago vibes have arrived”.	,d
220, Yuck!	,b
221, Yuck! Let’s get rid of it. How could you?	,q
222," Eighteen three. Well, again."	,s
223," No, we already…"	,d
224," Oh, that was the one…okay. I guess that’s the…They say eighteen one."	,s
225, Eighteen one.	,b
226, Eighteen one.	,b
227, Did they look at any of the ones that we suggested yet?	,q
228, It has…	,d
229, Oh! Eighteen one is not too bad for me. Not bad at all.	,s
230, 97% water loss though.	,s
231, Oh.	,b
232, A lot of water loss. //Оh! Why did they go so deep?	,q
233, //Because it’s [UI].	,d
234, It’s// high…high contamination.	,s
235, //Because for me it’s the best option.	,s
236, According to the number of potential population reached. Over nine thousand. And the accessibility is quite high – 75%.	,s
237, Oops.	,f
238," I did it again…Oh baby, baby."	,f
239," Twenty-eight. Perhaps, the surface…"	,s
240, Twenty-eight.	,b
241, Yes.	,b
242, Okay for me.	,b
243, 99% water loss.	,s
244, Nuts.	,b
245," Will, have you understood if there is any correlation with where there is a lot of water? Do you, besides the water basin itself, have some other parameter that would give you an idea?"	,q
246," What do you mean? So, it is…"	,d
247," Well, for me, for example, if it is deep, it may be clean. Surface water is dirtier. So, I can indirectly determine things by the water depth."	,q
248," I have, specifically… specifically, the main formula is the average water loss. It depends on…"	,d
249, On the depth?	,q
250," No. It depends on…there are two layers and there are two types of what the layers consist of. That is what determines the percentage of water loss. That’s all. But it doesn’t really affect it because either it’s already in the calculation, so I don’t have to do anything with it, but just say what percentage of water is lost and how much water there is there..."	,s
251, Let’s write here.	,s
252, Sixteen six? Did anybody check sixteen six?	,q
253, I don’t think so.	,s
254, Sixteen six?	,q
255, Not yet.	,s
256, 100% water loss.	,s
257, Shame.	,b
258, It’s too deep also.	,s
259, Shame. Why? They also //didn’t say anything about the points that we suggested.	,q
260, //[UI]	,d
261, Hm?	,q
262, They said nothing regarding…	,d
263, Which one?	,q
264, The ones that Oleg suggested. Twenty-eight twenty-one and thirteen sixteen. They didn’t say anything.	,s
265," Yeah, what did they say?"	,q
266," I suggested to them, but…"	,d
267, They haven’t yet logged in.	,s
268," We’ve checked eighteen one, right? It doesn’t work?"	,q
269, What?	,q
270, Eighteen one.	,s
271," They said they are still holding on for eighteen one, hoping that it works, but you said 97% water loss there, right?"	,q
272," I mean, you end up with like …where is it? Like twelve thousand left. I mean, it’s not…"	,d
273, Twelve thousand…	,d
274, Liters left. And that’s just from after the loss. But then you have to filter it.	,s
275, Thirty-eight thirty-five.	,s
276, Thirty-eight thirty-five…100% water loss.	,s
277, Check six six.	,s
278, No water.	,s
279, And does the temperature of the sand or soil affect things for someone?	,q
280, What?	,q
281, Temperature. Is there such a parameter?	,q
282," Perhaps, there is but…Yes, there is that one."	,s
283, Soil temperature.	,s
284," Yes, there is that here, but not…"	,d
285, Doesn’t impact things?	,q
286, Yes.	,b
287, Блин!	,d
288, What about twelve fourteen? Twelve fourteen?	,q
289, What do you think of this one?	,q
290, Twelve fourteen.	,s
291, Hm?	,q
292, Thirteen fourteen.	,s
293, Twelve fourteen.	,s
294, Twelve?	,q
295, Yeah.	,b
296, What about thirteen fourteen?	,q
297, Do you want me to check that?	,q
298, Did you get any response from them regarding the…	,d
299, No.	,s
300, The points we suggested?	,q
301, Yeah.	,b
302, No. They seem to be ignoring us.	,s
303, Yeah.	,b
304," I mean, let’s let them. If they want to hunt, they’re gonna hunt. I mean…"	,d
305, It’s okay for me.	,s
306, Which?	,q
307, Twelve…twelve…	,d
308, Twelve fourteen?	,s
309, Yes.	,b
310," Will, will. What do you think? //Twelve fourteen."	,q
311, //Twelve fourteen.	,s
312," //Oleg, twelve fourteen?"	,q
313, //And thirteen fourteen.	,s
314," All in all, not too bad."	,s
315, They said: // “Our team…	,d
316, //No water.	,s
317," Oh, never mind."	,s
318," “Our team, generally, they didn’t like thirteen sixteen or twenty-eight twenty-one.”"	,q
319," Thirteen fourteen, please."	,s
320, Thirteen fourteen.	,s
321, Yes.	,b
322, Very good.	,b
323, Yes?	,q
324, Yes.	,b
325, No way!	,b
326, Yeah.	,b
327, Thank you.	,s
328, Wow! One point away from mine.	,f
329," Which point, Vika?"	,q
330, Thirteen fourteen. Please check thirteen fourteen.	,s
331, Ok. I will now work on the questions…	,d
332, Yes.	,b
333," Ash, what about you?"	,q
334," Oh, sorry. I had the survey questions so, I forgot."	,s
335," Oh, sure."	,s
336," It’s pretty good for me, actually. Yours too?"	,q
337, Yep.	,b
338, Just a second.	,f
339, [SL] Will you respond?	,q
340, Thirteen fourteen?	,q
341, Yes.	,b
342, I think yes. Good.	,s
343, [UI]	,d
344," [SL] Okay, we will keep this one. Excellent."	,s
345, Cool. And I have only just started…	,d
346, What other points did we like?	,q
347, Twenty-eight twenty-one and //thirteen sixteen.	,s
348, //What?	,q
349, What?	,q
350, It was like a mega one.	,s
351, In my isolation? One more time?	,q
352, Twenty-eight twenty-one.	,s
353, One. Again.	,s
354," Thirteen sixteen and thirteen fourteen – that one that you said…For me, all three of these points are with only minimal water loss."	,s
355, Have they written anything to anybody? Is there any reaction?	,q
356," Yes, one of my team is writing to me."	,s
357, Twenty-eight twenty-one?	,q
358, Only the meteorologist is writing to me.	,s
359, Twenty-eight twenty-one?	,q
360," Yeah, that’s the one that we took before."	,s
361, Yeah.	,b
362, It was the first one.	,s
363, Yeah.	,b
364, The perfect.	,s
365," Yeah, yeah. They didn’t like it."	,s
366, Terrain specialist…	,s
367, They didn’t like it?	,q
368, Mm-mm.	,b
369, Even sixteen…even thirteen sixteen.	,s
370," Oh, okay."	,b
371," Wait, what?"	,q
372, Thirteen sixteen and twenty-eight twenty-one.	,s
373, You mean thirteen fourteen?	,q
374," No, // thirteen sixteen was the first point that we gave them."	,s
375, //This is different.	,s
376," Oh, I see, I see. Okay."	,b
377," But thirteen fourteen, I hope they get back to us about."	,s
378, Why your team is keeping silence?	,q
379, Excuse me. The Martian terrain specialist is talking to me.	,s
380, Oh. Wow!	,b
381, Don’t be hating on my team.	,s
382," Congrats! They said: “Okay, that’s fine.” Thirteen fourteen."	,s
383, Thirteen fourteen?	,q
384, Yeah.	,b
385, [SL] We need to be finishing already.	,s
386," Okay. Forty-six, forty-three."	,s
387, A new one?	,q
388, Forty-six forty-three is passable.	,s
389, They suggested that one?	,q
390, But just…	,d
391, Forty or thirty?	,q
392," Forty-six – forty-six, forty-three. It’s got a lot of water loss, but it’s got an awful lot available."	,s
393," Forty-six forty-three, right?"	,q
394, Yes. It’s okay for me.	,s
395," It’s bad for me. Bad, bad, bad."	,s
396," Oh, wait, I am looking at my point. Oh, God. Look, who is such a Narcissus."	,s
397, //So good for us!	,s
398, //Now bad. It’s too deep. I think it will be too expensive for Salik to extract this water.	,s
399," Salah can pay for everything, right?"	,q
400, Huh?	,b
401," It’s okay, I am speaking for you."	,s
402, Why are you doing that?	,q
403, Forty-six forty-three.	,s
404," Which point are you looking at, guys?"	,q
405, Forty-six forty-three.	,s
406, It’s a big “eh” for me.	,s
407, Forty-six forty-three. Who said this one?	,q
408, They did.	,s
409, Big “X”.	,s
410, Big “X” for me too.	,s
411, Immediately not.	,s
412, Immediately not! Listen.	,f
413, Immediately.	,s
414," Forty…they like forty-six forty-three. So, forty-six forty-three…"	,d
415, I didn’t like it.	,s
416, It’s pretty bad for us.	,s
417, //I didn’t like it.	,s
418, //Three times as deep.	,s
419, What happened to them liking thirteen fourteen?	,q
420, Yes!	,f
421," Thirteen fourteen? Operation and drilling, they said it’s fine for them."	,q
422, Thirty-six thirty-two.	,s
423, Which one?	,q
424, Thirteen fourteen.	,s
425," Ah, forty-six forty-two, yeah, that’s…"	,d
426," We agreed, yeah, with drilling and operation specialist. They said, that’s fine."	,s
427," Yeah, because they just suggested…"	,d
428, Forty-six thirty-two?	,q
429, Forty-six thirty-two.	,b
430, It’s still pretty bad compared to the others.	,s
431, It’s okay for me.	,s
432, Six…	,s
433," Excuse me, but…"	,f
434, Fine.	,b
435, Fine.	,b
436, It’s pretty…it’s a lot of water.	,s
437, Okay. I guess I can make it work.	,s
438," Salya, it is good for you."	,q
439, More than previous points. Thirteen fourteen…	,s
440, Forty-six thirty-two is just decent.	,q
441, I like thirteen fourteen.	,s
442, [UI]	,d
443, Should I tell them it’s decent?	,q
444, Yeah.	,b
445, Is forty-six thirty-two good for everyone?	,q
446, Yes.	,b
447, Huh?	,b
448, Forty-six thirty-two was okay for you? No?	,q
449," Big NO, but…"	,d
450," No, no. Another one. //Forty-six thirty-two."	,s
451, //Forty-sox thirty-two.	,b
452, Thirty-two? Oh okay.	,q
453, Yes.	,b
454, Yeah. It’s okay.	,b
455, Des…	,d
456, Decent.	,b
457, Decent?	,q
458, “Decent”- “normal”.	,s
459, Hooray!	,f
460, Which point?	,q
461, What did they choose?	,q
462," Nothing so far, I think."	,s
463, They are giving forty-six thirty-two.	,s
464," Yes, here I can see it."	,f
465," Ah, you did, Will?"	,q
466, I put it in there. And then…	,d
467, Phew!	,f
468, Fine.	,b
469," Now they are saying thirteen sixteen might be fine, but…"	,d
470," So, …"	,f
471, They put Forty-six thirty-two.	,s
472, //I put it in there.	,s
473, //He put it in there.	,s
474, Yeah.	,f
475, Let’s see what they do.	,s
476, Was it from us or from them?	,q
477, From us.	,s
478," Yes, they have already agreed on that among themselves."	,s
479," Alright. So, green, red…[UI]"	,d
480, Okay.	,f
481," Alright. So, I don’t see them active."	,s
482, Huh?	,b
483,  I don’t see them active yet.	,s
484, Yeah.	,b
485, What indicator do you have? Is it nine thousand? Is it how much water there is at the depth?	,q
486, That’s not connected to me.	,s
487," Well, you have… oh, wait, it is wrong… Sedimentologist, here…temperature, temperature …Here, you have the indicator – it is…"	,d
488, It’s a layer.	,s
489," What is yours, Ash?"	,q
490, This.	,s
491, [SL] Yours is this one?	,q
492," Yeah, I do the last four. Somebody else on my team has to do the repair frequency. Later."	,s
493," Okay, they jumped in. Okay."	,s
494, Okay. We accept.	,s
495, Sign off?	,q
496," Actually, it looks like everything is filled in."	,s
497, Yeah. They put everything.	,s
498," So, yeah. Let’s."	,f
499," Salya, were you the first one to decide?"	,q
500, [UI].	,d
501, Are we going to sign? Yes?	,q
502," Okay, Oleg signed."	,s
503, Why is mine not showing? //I just did it.	,q
504, // I signed also.	,s
505, We have completed everything.	,s
506," [SL] Hydrologist okay. Operation, waiting for you."	,s
507, Mine is still not showing up?	,q
508," Maintenance, operation, okay."	,s
509, Did you reset it?	,q
510, That’s not me.	,s
511, Oh.	,f
512, Martian //terrain specialist…	,s
513, //Alright. Give them a second. Wait for Martian terrain specialist.	,s
514, She already put her stuff in though.	,s
515," Well, okay, okay."	,b
516, They’ll click on it when they need to.	,s
517, And who the freak changed my…!?	,d
518, Really?	,q
519, What are you doing?!!	,q
520, Who?	,q
521, Who the heck is changing my…Martian terrain? You better not!!	,q
522, Let’s see here.	,f
523, Is someone changing it for you?	,q
524, Yes!	,f
525, Easy! Easy!	,f
526, Changed //maintenance decision or changed usability decision?	,q
527," //I’m changing it back. Hygiene, usability, maintenance, fund raising is on me. All those decisions are me. They are just repair frequency."	,s
528, Okay.	,b
529, Is everyone signing now?	,q
530, Yes.	,b
531, What?	,q
532, Today is your day.	,s
533," Oh, that’s interesting."	,s
534, What?	,q
535, They said to re-click it.	,s
536," Come on, come on, maintenance specialist. Yeah! We are done, I think."	,s
537," So, DeChurch nine."	,s
538, Nine?	,b
539, Yes.	,b
540, Nuts.	,b
541, Cool.	,b
542," No, right away."	,b
543, Nuts.	,b
544, Nuts.	,b
545, Are you a normal person?	,q
546, Five seconds.	,s
547," Interesting, do they fill questionnaires also?"	,q
548, Mhm.	,f
549, I think so.	,s
550, I think they do. That and TTB.	,f
551, Salya!	,s
552, Salah!	,s
553, Okay.	,f
554, Can we take a quick group photo at the end? Since we’re looking pretty?	,q
555, What? What?	,q
556, Can we take a photo at the end? A group photo? Since the cameras are already there.	,q
557, Bones? In my isolation?	,q
558, It’s mine.	,s
559, Cool.	,b
560, Cool.	,b
561, What’s taking so long?	,q
562, You keep working.	,s
563, Eat something if you want.	,s
564, I see you are feeling bored. She is missing the letters. Read.	,s
565, There’s a lot accumulated for you.	,s
566, Right here.	,s
567," Oh, shit! Didn’t mean to do that."	,s
568, No?	,q
569, I messed up.	,s
570, What?	,q
571," Oh, I sent it to the wrong person."	,s
572, Nuts! Shame! Shame!	,b
573, What’s this one?	,q
574, It’s just [UI]	,d
575, Shoot! I sent it to the wrong place.	,s
576, Nuts! Shame! Shame!	,b
577, It was definitely yours. I know for sure.	,s
578, [UI]	,d
579, Nuts!	,b
580, Cool!	,b
581," The tenth one, right?"	,s
582, Yes.	,b
583, Okay.	,f
