,Utterance_ID,Dialogue_Act,Channel_ID,Speaker,Dialogue_ID,Utterance,Label,Idx
575,Bed002-c4_1777560_1777780,b,Bed002-c4,fe004,Bed002,right .,2,575
576,Bed002-c4_1778570_1778760,b,Bed002-c4,fe004,Bed002,right .,2,576
591,Bed002-c1_1814910_1816290,b,Bed002-c1,mn015,Bed002,uhhuh .,2,591
594,Bed002-c1_1816400_1816630,b,Bed002-c1,mn015,Bed002,nuh .,2,594
599,Bed002-c1_1819500_1819810,b,Bed002-c1,mn015,Bed002,yeah .,2,599
631,Bed002-c1_1948850_1949440,b,Bed002-c1,mn015,Bed002,huh .,2,631
671,Bed002-c4_2008920_2009030,b,Bed002-c4,fe004,Bed002,uhhuh .,2,671
672,Bed002-c4_2012610_2013300,b,Bed002-c4,fe004,Bed002,uhhuh .,2,672
673,Bed002-c4_2016110_2016490,b,Bed002-c4,fe004,Bed002,uhhuh .,2,673
675,Bed002-c2_2017600_2017760,b,Bed002-c2,me010,Bed002,yeah .,2,675
677,Bed002-c4_2019330_2019660,b,Bed002-c4,fe004,Bed002,right .,2,677
682,Bed002-c4_2034210_2034530,b,Bed002-c4,fe004,Bed002,uhhuh .,2,682
685,Bed002-c4_2037820_2038090,b,Bed002-c4,fe004,Bed002,right .,2,685
688,Bed002-c4_2042360_2042550,b,Bed002-c4,fe004,Bed002,right .,2,688
692,Bed002-c4_2047440_2047720,b,Bed002-c4,fe004,Bed002,sure .,2,692
705,Bed002-c4_2068390_2068750,b,Bed002-c4,fe004,Bed002,uhhuh .,2,705
707,Bed002-c2_2068850_2069150,b,Bed002-c2,me010,Bed002,yeah .,2,707
710,Bed002-c2_2072780_2073090,b,Bed002-c2,me010,Bed002,yeah .,2,710
711,Bed002-c1_2074000_2074530,b,Bed002-c1,mn015,Bed002,uhhuh .,2,711
742,Bed002-c4_2159570_2160040,b,Bed002-c4,fe004,Bed002,uhhuh .,2,742
748,Bed002-c1_2176240_2176860,b,Bed002-c1,mn015,Bed002,uhhuh .,2,748
756,Bed002-c4_2195010_2195490,b,Bed002-c4,fe004,Bed002,uhhuh .,2,756
758,Bed002-c4_2199610_2199960,b,Bed002-c4,fe004,Bed002,uhhuh .,2,758
759,Bed002-c4_2199960_2200190,b,Bed002-c4,fe004,Bed002,right .,2,759
764,Bed002-c4_2208610_2209280,b,Bed002-c4,fe004,Bed002,uhhuh .,2,764
768,Bed002-c4_2215930_2216460,b,Bed002-c4,fe004,Bed002,uhhuh .,2,768
769,Bed002-c4_2224740_2225300,b,Bed002-c4,fe004,Bed002,uhhuh .,2,769
771,Bed002-c4_2234580_2234910,b,Bed002-c4,fe004,Bed002,uhhuh .,2,771
773,Bed002-c4_2238590_2238980,b,Bed002-c4,fe004,Bed002,uhhuh .,2,773
780,Bed002-c4_2258050_2258860,b,Bed002-c4,fe004,Bed002,huh .,2,780
860,Bed002-c4_2436880_2437230,b,Bed002-c4,fe004,Bed002,uhhuh .,2,860
862,Bed002-c1_2441010_2441070,b,Bed002-c1,mn015,Bed002,yeah .,2,862
866,Bed002-c4_2448440_2448790,b,Bed002-c4,fe004,Bed002,uhhuh .,2,866
870,Bed002-c4_2454430_2455070,b,Bed002-c4,fe004,Bed002,uhhuh .,2,870
872,Bed002-c4_2456610_2456840,b,Bed002-c4,fe004,Bed002,uhhuh .,2,872
886,Bed002-c4_2482860_2483600,b,Bed002-c4,fe004,Bed002,uhhuh .,2,886
887,Bed002-c4_2483690_2484020,b,Bed002-c4,fe004,Bed002,uhhuh .,2,887
891,Bed002-c4_2492290_2492440,b,Bed002-c4,fe004,Bed002,yep .,2,891
903,Bed002-c1_2526380_2526670,b,Bed002-c1,mn015,Bed002,uhhuh .,2,903
904,Bed002-c1_2528370_2528740,b,Bed002-c1,mn015,Bed002,uhhuh .,2,904
910,Bed002-c4_2535560_2535800,b,Bed002-c4,fe004,Bed002,uhhuh .,2,910
941,Bed002-c4_2592300_2592860,b,Bed002-c4,fe004,Bed002,uhhuh .,2,941
943,Bed002-c4_2604270_2604730,b,Bed002-c4,fe004,Bed002,uhhuh .,2,943
944,Bed002-c4_2605940_2606790,b,Bed002-c4,fe004,Bed002,huh .,2,944
959,Bed002-c1_2653470_2653730,b,Bed002-c1,mn015,Bed002,uhhuh .,2,959
962,Bed002-c4_2655510_2655760,b,Bed002-c4,fe004,Bed002,right .,2,962
965,Bed002-c4_2657490_2657750,b,Bed002-c4,fe004,Bed002,right .,2,965
966,Bed002-c4_2659670_2660600,b,Bed002-c4,fe004,Bed002,uhhuh .,2,966
988,Bed002-c4_2727700_2728230,b,Bed002-c4,fe004,Bed002,uhhuh .,2,988
990,Bed002-c4_2730780_2731030,b,Bed002-c4,fe004,Bed002,uhhuh .,2,990
992,Bed002-c4_2732850_2733620,b,Bed002-c4,fe004,Bed002,uhhuh .,2,992
993,Bed002-c4_2738130_2738590,b,Bed002-c4,fe004,Bed002,uhhuh .,2,993
994,Bed002-c4_2740520_2740930,b,Bed002-c4,fe004,Bed002,uhhuh .,2,994
1020,Bed002-cb_2805810_2806410,b,Bed002-cb,me012,Bed002,uhhuh .,2,1020
1067,Bed002-c8_2969650_2970020,b,Bed002-c8,me003,Bed002,uhhuh .,2,1067
1081,Bed002-c1_3021400_3021640,b,Bed002-c1,mn015,Bed002,huh .,2,1081
1082,Bed002-c1_3021720_3021880,b,Bed002-c1,mn015,Bed002,okay .,2,1082
1086,Bed002-c1_3035680_3036110,b,Bed002-c1,mn015,Bed002,uhhuh .,2,1086
1096,Bed002-cb_3059050_3059320,b,Bed002-cb,me012,Bed002,right .,2,1096
1101,Bed002-c1_3065750_3065960,b,Bed002-c1,mn015,Bed002,uhhuh .,2,1101
1111,Bed002-c2_3093250_3093840,b,Bed002-c2,me010,Bed002,uhhuh .,2,1111
1114,Bed002-c2_3100800_3100870,b,Bed002-c2,me010,Bed002,yeah .,2,1114
1133,Bed002-c1_3161220_3161360,b,Bed002-c1,mn015,Bed002,huh .,2,1133
1153,Bed002-c2_3213680_3214220,b,Bed002-c2,me010,Bed002,yeah .,2,1153
1163,Bed002-cb_3257610_3257950,b,Bed002-cb,me012,Bed002,right .,2,1163
1176,Bed002-cb_3297570_3297730,b,Bed002-cb,me012,Bed002,right .,2,1176
1200,Bed002-c2_3365150_3365380,b,Bed002-c2,me010,Bed002,yeah .,2,1200
1201,Bed002-c2_3367680_3367900,b,Bed002-c2,me010,Bed002,right .,2,1201
1209,Bed002-cb_3384050_3384340,b,Bed002-cb,me012,Bed002,huh .,2,1209
1220,Bed002-cb_3407080_3407380,b,Bed002-cb,me012,Bed002,uhhuh .,2,1220
1262,Bed002-c8_3561350_3561560,b,Bed002-c8,me003,Bed002,okay .,2,1262
1268,Bed002-c8_3579170_3579330,b,Bed002-c8,me003,Bed002,okay .,2,1268
1288,Bed002-cb_3652240_3653300,b,Bed002-cb,me012,Bed002,huh .,2,1288
1301,Bed002-c4_3680310_3681080,b,Bed002-c4,fe004,Bed002,huh .,2,1301
1302,Bed002-c4_3682600_3683300,b,Bed002-c4,fe004,Bed002,uhhuh .,2,1302
1309,Bed002-c2_3696440_3696630,b,Bed002-c2,me010,Bed002,yep .,2,1309
1311,Bed002-c4_3701050_3701490,b,Bed002-c4,fe004,Bed002,uhhuh .,2,1311
1315,Bed002-c4_3709150_3709370,b,Bed002-c4,fe004,Bed002,right yeah .,2,1315
1339,Bed002-c4_3767200_3767560,b,Bed002-c4,fe004,Bed002,yeah .,2,1339
1341,Bed002-c4_3768460_3768750,b,Bed002-c4,fe004,Bed002,right .,2,1341
1342,Bed002-c4_3774140_3774560,b,Bed002-c4,fe004,Bed002,uhhuh .,2,1342
1344,Bed002-cb_3780840_3781090,b,Bed002-cb,me012,Bed002,uhhuh .,2,1344
1345,Bed002-c4_3781090_3781620,b,Bed002-c4,fe004,Bed002,uhhuh .,2,1345
1348,Bed002-c4_3784240_3784610,b,Bed002-c4,fe004,Bed002,uhhuh .,2,1348
1349,Bed002-c8_3789200_3790070,b,Bed002-c8,me003,Bed002,uhhuh .,2,1349
1362,Bed002-c2_3820590_3820620,b,Bed002-c2,me010,Bed002,oh .,2,1362
1452,Bed004-c3_0441130_0441160,b,Bed004-c3,me012,Bed004,uh ==,2,1452
1458,Bed004-c4_0472328_0472578,b,Bed004-c4,mn015,Bed004,okay .,2,1458
1463,Bed004-c2_0501488_0501848,b,Bed004-c2,me010,Bed004,uhhuh .,2,1463
1538,Bed004-c2_0941958_0942308,b,Bed004-c2,me010,Bed004,uhhuh .,2,1538
1542,Bed004-c2_0961086_0961526,b,Bed004-c2,me010,Bed004,uhhuh .,2,1542
1548,Bed004-c3_0982180_0982620,b,Bed004-c3,me012,Bed004,yeah .,2,1548
1550,Bed004-c2_0991424_0991614,b,Bed004-c2,me010,Bed004,great .,2,1550
1554,Bed004-c2_1002360_1002900,b,Bed004-c2,me010,Bed004,uhhuh .,2,1554
1564,Bed004-c2_1023450_1023660,b,Bed004-c2,me010,Bed004,right .,2,1564
1569,Bed004-c2_1025750_1026090,b,Bed004-c2,me010,Bed004,right .,2,1569
1570,Bed004-c2_1026980_1027210,b,Bed004-c2,me010,Bed004,right .,2,1570
1576,Bed004-c3_1043110_1043540,b,Bed004-c3,me012,Bed004,uh .,2,1576
1599,Bed004-c4_1099560_1100180,b,Bed004-c4,mn015,Bed004,huh .,2,1599
1605,Bed004-c4_1116310_1116520,b,Bed004-c4,mn015,Bed004,yeah .,2,1605
1608,Bed004-c2_1123230_1123450,b,Bed004-c2,me010,Bed004,yeah .,2,1608
1611,Bed004-c2_1129410_1129610,b,Bed004-c2,me010,Bed004,right .,2,1611
1619,Bed004-c4_1161010_1161270,b,Bed004-c4,mn015,Bed004,huh .,2,1619
1622,Bed004-c4_1171320_1171790,b,Bed004-c4,mn015,Bed004,huh .,2,1622
1625,Bed004-c4_1182930_1183140,b,Bed004-c4,mn015,Bed004,yep .,2,1625
1634,Bed004-c4_1208120_1208340,b,Bed004-c4,mn015,Bed004,yeah .,2,1634
1640,Bed004-c4_1218960_1219900,b,Bed004-c4,mn015,Bed004,uhhuh .,2,1640
1641,Bed004-c4_1219900_1220040,b,Bed004-c4,mn015,Bed004,yeah .,2,1641
1644,Bed004-c4_1234770_1235390,b,Bed004-c4,mn015,Bed004,huh .,2,1644
1645,Bed004-c4_1237480_1237580,b,Bed004-c4,mn015,Bed004,yep .,2,1645
1648,Bed004-c4_1243590_1244580,b,Bed004-c4,mn015,Bed004,okay .,2,1648
1654,Bed004-c4_1277620_1277790,b,Bed004-c4,mn015,Bed004,yep .,2,1654
1659,Bed004-c4_1288590_1288820,b,Bed004-c4,mn015,Bed004,yep .,2,1659
1667,Bed004-c4_1320670_1320770,b,Bed004-c4,mn015,Bed004,yep .,2,1667
1675,Bed004-c4_1345030_1345380,b,Bed004-c4,mn015,Bed004,uhhuh .,2,1675
1687,Bed004-c2_1389720_1389940,b,Bed004-c2,me010,Bed004,yep .,2,1687
1689,Bed004-c2_1394520_1394720,b,Bed004-c2,me010,Bed004,yep .,2,1689
1693,Bed004-c2_1409280_1409630,b,Bed004-c2,me010,Bed004,uhhuh .,2,1693
1702,Bed004-c4_1424870_1425010,b,Bed004-c4,mn015,Bed004,yeah .,2,1702
1707,Bed004-c2_1431820_1432140,b,Bed004-c2,me010,Bed004,uhhuh .,2,1707
1710,Bed004-c2_1439850_1440110,b,Bed004-c2,me010,Bed004,yep .,2,1710
1711,Bed004-c2_1444100_1444500,b,Bed004-c2,me010,Bed004,uhhuh .,2,1711
1716,Bed004-c2_1455380_1455620,b,Bed004-c2,me010,Bed004,right .,2,1716
1722,Bed004-c4_1469320_1469880,b,Bed004-c4,mn015,Bed004,uhhuh .,2,1722
1728,Bed004-c2_1491020_1491360,b,Bed004-c2,me010,Bed004,uhhuh .,2,1728
1738,Bed004-c2_1537050_1537470,b,Bed004-c2,me010,Bed004,uhhuh .,2,1738
1744,Bed004-c2_1557930_1558340,b,Bed004-c2,me010,Bed004,uhhuh .,2,1744
1749,Bed004-c4_1572220_1572720,b,Bed004-c4,mn015,Bed004,uhhuh .,2,1749
1766,Bed004-c2_1607200_1607720,b,Bed004-c2,me010,Bed004,oop-bo-doop-boop-boop .,2,1766
1767,Bed004-c2_1608350_1608580,b,Bed004-c2,me010,Bed004,yeah .,2,1767
1802,Bed004-c1_1698380_1698890,b,Bed004-c1,me003,Bed004,huh .,2,1802
1809,Bed004-c2_1713380_1713580,b,Bed004-c2,me010,Bed004,yeah .,2,1809
1818,Bed004-c1_1729970_1730340,b,Bed004-c1,me003,Bed004,yeah .,2,1818
1822,Bed004-c1_1751900_1752340,b,Bed004-c1,me003,Bed004,huh .,2,1822
1829,Bed004-c1_1785020_1785490,b,Bed004-c1,me003,Bed004,huh .,2,1829
1838,Bed004-c2_1822600_1822810,b,Bed004-c2,me010,Bed004,yeah .,2,1838
1843,Bed004-c1_1838700_1839080,b,Bed004-c1,me003,Bed004,huh .,2,1843
1846,Bed004-c1_1857670_1857950,b,Bed004-c1,me003,Bed004,yeah .,2,1846
1855,Bed004-c4_1899920_1900350,b,Bed004-c4,mn015,Bed004,yeah .,2,1855
1872,Bed004-c2_1987320_1987690,b,Bed004-c2,me010,Bed004,uhhuh .,2,1872
1876,Bed004-c2_2003190_2003660,b,Bed004-c2,me010,Bed004,uhhuh .,2,1876
1877,Bed004-c2_2005650_2005850,b,Bed004-c2,me010,Bed004,good .,2,1877
1938,Bed004-c2_2207090_2207460,b,Bed004-c2,me010,Bed004,huh .,2,1938
1940,Bed004-c2_2214040_2214210,b,Bed004-c2,me010,Bed004,yeah .,2,1940
1941,Bed004-c2_2215270_2215460,b,Bed004-c2,me010,Bed004,yeah .,2,1941
1960,Bed004-c4_2268780_2269050,b,Bed004-c4,mn015,Bed004,yeah .,2,1960
1961,Bed004-c1_2269550_2269790,b,Bed004-c1,me003,Bed004,right .,2,1961
1967,Bed004-c2_2280360_2280560,b,Bed004-c2,me010,Bed004,yeah .,2,1967
1971,Bed004-c1_2293350_2293590,b,Bed004-c1,me003,Bed004,right .,2,1971
1975,Bed004-c1_2312330_2312920,b,Bed004-c1,me003,Bed004,uhhuh .,2,1975
1977,Bed004-c1_2316740_2316980,b,Bed004-c1,me003,Bed004,right .,2,1977
1982,Bed004-c1_2328330_2328780,b,Bed004-c1,me003,Bed004,yeah .,2,1982
1985,Bed004-c2_2337270_2337510,b,Bed004-c2,me010,Bed004,yeah .,2,1985
2003,Bed004-c1_2379030_2379350,b,Bed004-c1,me003,Bed004,right .,2,2003
2024,Bed004-c1_2436120_2436330,b,Bed004-c1,me003,Bed004,right .,2,2024
2052,Bed004-c4_2492890_2493030,b,Bed004-c4,mn015,Bed004,uhhuh .,2,2052
2081,Bed004-c2_2625820_2626220,b,Bed004-c2,me010,Bed004,uhhuh .,2,2081
2083,Bed004-c3_2630690_2631020,b,Bed004-c3,me012,Bed004,right .,2,2083
2113,Bed004-c4_2740480_2741150,b,Bed004-c4,mn015,Bed004,uhhuh .,2,2113
2115,Bed004-c4_2747240_2747750,b,Bed004-c4,mn015,Bed004,uhhuh .,2,2115
2144,Bed004-c4_2858140_2858340,b,Bed004-c4,mn015,Bed004,yeah .,2,2144
2150,Bed004-c4_2875650_2875810,b,Bed004-c4,mn015,Bed004,yep .,2,2150
2158,Bed004-c3_2889310_2889670,b,Bed004-c3,me012,Bed004,right .,2,2158
2161,Bed004-c2_2894420_2894650,b,Bed004-c2,me010,Bed004,yeah .,2,2161
2172,Bed004-c4_2919910_2920470,b,Bed004-c4,mn015,Bed004,uhhuh .,2,2172
2177,Bed004-c4_2929800_2930270,b,Bed004-c4,mn015,Bed004,uhhuh .,2,2177
2215,Bed004-c4_3102980_3103670,b,Bed004-c4,mn015,Bed004,uhhuh .,2,2215
2217,Bed004-c4_3108780_3109380,b,Bed004-c4,mn015,Bed004,uhhuh .,2,2217
2228,Bed004-c4_3136100_3136840,b,Bed004-c4,mn015,Bed004,okay yeah .,2,2228
2238,Bed004-c4_3182600_3182820,b,Bed004-c4,mn015,Bed004,okay .,2,2238
2239,Bed004-c2_3183580_3183760,b,Bed004-c2,me010,Bed004,right .,2,2239
2249,Bed004-c4_3208220_3208410,b,Bed004-c4,mn015,Bed004,yeah .,2,2249
2262,Bed004-c4_3254460_3254640,b,Bed004-c4,mn015,Bed004,yeah .,2,2262
2263,Bed004-c2_3255120_3255270,b,Bed004-c2,me010,Bed004,yeah .,2,2263
2276,Bed004-c3_3298620_3299070,b,Bed004-c3,me012,Bed004,right .,2,2276
2280,Bed004-c3_3304570_3304750,b,Bed004-c3,me012,Bed004,yeah .,2,2280
2284,Bed004-c3_3312030_3312220,b,Bed004-c3,me012,Bed004,yep .,2,2284
2286,Bed004-c2_3321010_3321320,b,Bed004-c2,me010,Bed004,all right .,2,2286
2356,Bed005-c2_0321878_0322268,b,Bed005-c2,mn015,Bed005,huh .,2,2356
2357,Bed005-c2_0322618_0323368,b,Bed005-c2,mn015,Bed005,nuh .,2,2357
2372,Bed005-c2_0349110_0349470,b,Bed005-c2,mn015,Bed005,uhhuh .,2,2372
2375,Bed005-c2_0364167_0365007,b,Bed005-c2,mn015,Bed005,uhhuh .,2,2375
2385,Bed005-c2_0387881_0388601,b,Bed005-c2,mn015,Bed005,uhhuh .,2,2385
2418,Bed005-c3_0464272_0464462,b,Bed005-c3,me012,Bed005,yes .,2,2418
2419,Bed005-c1_0464484_0464734,b,Bed005-c1,me010,Bed005,okay .,2,2419
2430,Bed005-c1_0480092_0480362,b,Bed005-c1,me010,Bed005,yep .,2,2430
2431,Bed005-c4_0481307_0481517,b,Bed005-c4,fe004,Bed005,uhhuh .,2,2431
2433,Bed005-c4_0485360_0485640,b,Bed005-c4,fe004,Bed005,okay .,2,2433
2437,Bed005-c4_0493119_0493199,b,Bed005-c4,fe004,Bed005,huh .,2,2437
2461,Bed005-c4_0530162_0530402,b,Bed005-c4,fe004,Bed005,uhhuh .,2,2461
2489,Bed005-c5_0582415_0582995,b,Bed005-c5,mn036,Bed005,e- - yeah .,2,2489
2501,Bed005-c3_0599140_0599500,b,Bed005-c3,me012,Bed005,yeah .,2,2501
2514,Bed005-c1_0623220_0623440,b,Bed005-c1,me010,Bed005,right .,2,2514
2522,Bed005-c1_0649688_0649838,b,Bed005-c1,me010,Bed005,yeah .,2,2522
2523,Bed005-c4_0649699_0650009,b,Bed005-c4,fe004,Bed005,uhhuh .,2,2523
2540,Bed005-c4_0692613_0692733,b,Bed005-c4,fe004,Bed005,huh .,2,2540
2560,Bed005-c2_0726242_0726502,b,Bed005-c2,mn015,Bed005,yeah .,2,2560
2567,Bed005-c3_0739232_0739502,b,Bed005-c3,me012,Bed005,huh .,2,2567
2590,Bed005-c4_0773295_0773575,b,Bed005-c4,fe004,Bed005,uhhuh .,2,2590
2597,Bed005-c4_0783549_0783989,b,Bed005-c4,fe004,Bed005,uhhuh .,2,2597
2604,Bed005-c4_0797438_0797818,b,Bed005-c4,fe004,Bed005,uhhuh .,2,2604
2605,Bed005-c5_0799063_0799353,b,Bed005-c5,mn036,Bed005,right .,2,2605
2608,Bed005-c4_0799793_0800273,b,Bed005-c4,fe004,Bed005,right - yeah .,2,2608
2615,Bed005-c2_0815044_0815224,b,Bed005-c2,mn015,Bed005,huh ==,2,2615
2630,Bed005-c3_0850930_0851290,b,Bed005-c3,me012,Bed005,fine yeah .,2,2630
2666,Bed005-c2_0974270_0976290,b,Bed005-c2,mn015,Bed005,huh huh huh huh huh .,2,2666
2670,Bed005-c3_1009020_1009120,b,Bed005-c3,me012,Bed005,huh .,2,2670
2688,Bed005-c2_1089380_1090030,b,Bed005-c2,mn015,Bed005,uhhuh .,2,2688
2691,Bed005-c3_1093260_1093610,b,Bed005-c3,me012,Bed005,right .,2,2691
2707,Bed005-c1_1113250_1113540,b,Bed005-c1,me010,Bed005,yeah .,2,2707
2723,Bed005-c1_1144450_1144670,b,Bed005-c1,me010,Bed005,right .,2,2723
2729,Bed005-c1_1162470_1162900,b,Bed005-c1,me010,Bed005,right .,2,2729
2732,Bed005-c1_1164690_1164870,b,Bed005-c1,me010,Bed005,yep .,2,2732
2745,Bed005-c2_1178300_1178810,b,Bed005-c2,mn015,Bed005,uhhuh .,2,2745
2747,Bed005-c2_1178810_1178980,b,Bed005-c2,mn015,Bed005,yeah .,2,2747
2760,Bed005-c1_1200230_1200620,b,Bed005-c1,me010,Bed005,yeah .,2,2760
2778,Bed005-c2_1257230_1257340,b,Bed005-c2,mn015,Bed005,huh .,2,2778
2794,Bed005-c2_1305440_1306360,b,Bed005-c2,mn015,Bed005,huh .,2,2794
2811,Bed005-c1_1363230_1363460,b,Bed005-c1,me010,Bed005,yep .,2,2811
2869,Bed005-c1_1531300_1531680,b,Bed005-c1,me010,Bed005,uhhuh .,2,2869
2881,Bed005-c2_1575060_1575420,b,Bed005-c2,mn015,Bed005,uhhuh .,2,2881
2896,Bed005-c2_1609880_1610130,b,Bed005-c2,mn015,Bed005,uhhuh .,2,2896
2905,Bed005-c1_1627020_1627380,b,Bed005-c1,me010,Bed005,uhhuh .,2,2905
2910,Bed005-c1_1642400_1642650,b,Bed005-c1,me010,Bed005,right .,2,2910
2919,Bed005-c2_1661650_1661950,b,Bed005-c2,mn015,Bed005,uhhuh .,2,2919
2923,Bed005-c2_1665250_1665410,b,Bed005-c2,mn015,Bed005,yep .,2,2923
2936,Bed005-c0_1696230_1696900,b,Bed005-c0,me003,Bed005,huh .,2,2936
2951,Bed005-c0_1735850_1736270,b,Bed005-c0,me003,Bed005,yeah yeah .,2,2951
2964,Bed005-c2_1758810_1759440,b,Bed005-c2,mn015,Bed005,huh .,2,2964
2981,Bed005-c0_1807870_1808370,b,Bed005-c0,me003,Bed005,huh .,2,2981
2993,Bed005-c2_1850270_1850850,b,Bed005-c2,mn015,Bed005,uhhuh .,2,2993
2998,Bed005-c2_1867510_1868080,b,Bed005-c2,mn015,Bed005,uhhuh .,2,2998
3003,Bed005-c5_1880900_1881210,b,Bed005-c5,mn036,Bed005,right .,2,3003
3006,Bed005-c5_1885850_1886210,b,Bed005-c5,mn036,Bed005,right .,2,3006
3008,Bed005-c5_1889300_1889510,b,Bed005-c5,mn036,Bed005,right .,2,3008
3010,Bed005-c5_1896970_1897160,b,Bed005-c5,mn036,Bed005,right .,2,3010
3014,Bed005-c1_1900520_1900710,b,Bed005-c1,me010,Bed005,yeah .,2,3014
3015,Bed005-c2_1900630_1901250,b,Bed005-c2,mn015,Bed005,uhhuh .,2,3015
3017,Bed005-c5_1902130_1902350,b,Bed005-c5,mn036,Bed005,right .,2,3017
3020,Bed005-c2_1903120_1903290,b,Bed005-c2,mn015,Bed005,nuh .,2,3020
3021,Bed005-c5_1905350_1905730,b,Bed005-c5,mn036,Bed005,right .,2,3021
3023,Bed005-c5_1906970_1907210,b,Bed005-c5,mn036,Bed005,right .,2,3023
3040,Bed005-c0_1973620_1973920,b,Bed005-c0,me003,Bed005,huh .,2,3040
3053,Bed005-c5_1982430_1982690,b,Bed005-c5,mn036,Bed005,right .,2,3053
3056,Bed005-c2_1987130_1987320,b,Bed005-c2,mn015,Bed005,huh .,2,3056
3078,Bed005-c1_2060470_2061300,b,Bed005-c1,me010,Bed005,huh .,2,3078
3085,Bed005-c3_2078130_2078860,b,Bed005-c3,me012,Bed005,uhhuh .,2,3085
3101,Bed005-c5_2104320_2105050,b,Bed005-c5,mn036,Bed005,right .,2,3101
3103,Bed005-c2_2106760_2106940,b,Bed005-c2,mn015,Bed005,nuh .,2,3103
3106,Bed005-c2_2109870_2110430,b,Bed005-c2,mn015,Bed005,uhhuh .,2,3106
3117,Bed005-c1_2141500_2141720,b,Bed005-c1,me010,Bed005,yeah .,2,3117
3123,Bed005-c1_2152580_2152770,b,Bed005-c1,me010,Bed005,right .,2,3123
3149,Bed005-c4_2207140_2207660,b,Bed005-c4,fe004,Bed005,huh - uhhuh .,2,3149
3159,Bed005-c4_2246520_2247570,b,Bed005-c4,fe004,Bed005,uhhuh .,2,3159
3167,Bed005-c1_2270420_2270660,b,Bed005-c1,me010,Bed005,yeah .,2,3167
3173,Bed005-c4_2287210_2287760,b,Bed005-c4,fe004,Bed005,uhhuh .,2,3173
3175,Bed005-c4_2288990_2289220,b,Bed005-c4,fe004,Bed005,yeah .,2,3175
3176,Bed005-c4_2290120_2290640,b,Bed005-c4,fe004,Bed005,uhhuh .,2,3176
3181,Bed005-c5_2292890_2293330,b,Bed005-c5,mn036,Bed005,uhhuh .,2,3181
3182,Bed005-c4_2305280_2305880,b,Bed005-c4,fe004,Bed005,uhhuh .,2,3182
3183,Bed005-c4_2308370_2308900,b,Bed005-c4,fe004,Bed005,huh .,2,3183
3184,Bed005-c1_2310280_2310480,b,Bed005-c1,me010,Bed005,right .,2,3184
