,speaker,content,block,session,labels,labels_h
115,Ali,"Everyone ready? So, in the same exact folder we click on “Project Red Design.” Right where “Project Red Design” was. We go to the website in the folder… in the white folder everyone has a login like last time.",2,3,4,follow-me
116,Dash,This really long password?,2,3,4,follow-me
117,Ali,"Yes, everyone should just write that down in notepad.",2,3,0,question
118,Dash,Or open the presentation and copy paste.,2,3,0,question
119,Ali,Yes.,2,3,0,question
120,Zheny,"So, this big one, right?",2,3,4,follow-me
121,Dash,Mhm.,2,3,0,question
122,Dash,I hope our girl came today.,2,3,0,question
123,Natash,Can we just take a photo next time of the password and username? We basically never use this folder. Only when we log in.,2,3,4,follow-me
124,Ali,"I’m saying I saved it in notepad and now I can copy and paste it. I left it on the desktop, that’s it. Copy Paste and you don’t have to type it again.",2,3,0,question
125,Natash,Well done. Remind me to do that as well.,2,3,0,question
126,Ali,Okay.,2,3,0,question
127,Zheny,Seventy-three…,2,3,0,question
128,Zheny,"Ah, I also need… quotation marks. Where are the quotation marks?",2,3,4,follow-me
129,Ali,"Ryan, can you hep him with the notepad? That way he will just save it to the desktop.",2,3,4,follow-me
130,Rya,Yeah.,2,3,2,declarative question
131,Alik to Zheny,"Zhenya, he’ll just type it for you, so that file is always on your desktop. You can just copy it.",2,3,0,question
132,Zheny,Wonderful.,2,3,0,question
133,Ryan to Zheny,May I?,2,3,4,follow-me
134,Zheny,Yes. Yes.,2,3,0,question
135,Alik to Dash,"Dasha, you logged in already?",2,3,4,follow-me
136,Dash,A long time ago.,2,3,0,question
137,Ali,Mhm okay.,2,3,0,question
138,Ali,"Well, actually you could write it too. We all have a five-minute delay.",2,3,0,question
139,Natash,Already… Did Nastya write that? To the Engineer?,2,3,4,follow-me
140,Ryan to Zheny,[UI],2,3,0,question
141,Zheny,"//So, do we need to write something yet?",2,3,4,follow-me
142,Natash,"Apparently, we have a delay between each other as well, because //I don’t see the messages.",2,3,0,question
143,Ali,"//So, look. We have forty-five minutes to complete the assignment, just like last time…So…Most importantly, right now we need to establish contact. Just write //“Hi” to them.",2,3,0,question
144,Natash,I see three messages from Dasha.,2,3,0,question
145,Ali,//That’s good.,2,3,0,question
146,Dash,//I also see messages but they’re identical.,2,3,0,question
147,Natash,Yes.,2,3,0,question
148,Dash,I see //my messages in another chat.,2,3,0,question
149,Ali,//Sometimes you just chat with someone [SL] whatever you want to so they can answer.,2,3,0,question
150,Dash,//So rotten…,2,3,0,question
151,Natash,//[UI],2,3,0,question
152,Ali,"So, how is today different from last time? We just have a new point. There it is. [SL]Plantation or what is it? [SL] Plantation nineteen forty-eight.",2,3,0,question
153,Natash,//Nineteen forty-eight?,2,3,4,follow-me
154,Ali,"//Nineteen forty-eight. It’s a new place and there are eight of them. So, I assume we will just be looking at all those places, right? Today we’re looking at this nineteen forty-eight.",2,3,0,question
155,Natash,"They said it has the biggest water deposits, but it’s polluted. //Do I understand that right? //Nitrate…",2,3,0,question
156,Ali,//It’s very dirty there. //Lots of dust. Yes.,2,3,0,question
157,Natash,Lots of many things…,2,3,0,question
158,Ali,"So the water will be very dirty, it’s difficult to work there, and there are lots of craters… So, it’s not a great place. //[UI]",2,3,0,question
159,Zheny,"//So we just enter them in, right?",2,3,4,follow-me
160,Natash,Mhm.,2,3,0,question
161,Zheny,Nineteen?,2,3,4,follow-me
162,Ali,Nineteen forty-eight.,2,3,0,question
163,Natash,There is very tough //soil.,2,3,0,question
164,Dash,//Forty-eight.,2,3,0,question
165,Zheny,I wrote a lot today.,2,3,0,question
166,Ali,Lots of what?,2,3,4,follow-me
167,Zheny,I wrote a lot.,2,3,0,question
168,Dash,Where? In all the chats?,2,3,4,follow-me
169,Zheny,"Well, in the chat.",2,3,0,question
170,Ali,He wrote to everyone.,2,3,0,question
171,Nasty,//[UI],2,3,0,question
172,Rya,//Hello.,2,3,1,statement
173,Alik to Nasty,Nineteen forty-eight – that’s our square today.,2,3,0,question
174,Natash,[SL] You can get to work.,2,3,0,question
175,Ali,Yes. You don’t have to wait for their answer. We can establish some numbers there ourselves.,2,3,0,question
176,Dash,There’s a message for us here.,3,3,0,question
177,Ali,And who is [SL] Fueling?,3,3,0,question
178,Natash,Me. //Nothing yet.,3,3,0,question
179,Ali,//I see… There is a connection.,3,3,0,question
180,Natash,Is that between you all?,3,3,4,follow-me
181,Ali,"Yes, we’re sitting right here.",3,3,0,question
182,Dash,Did you take something?,3,3,4,follow-me
183,Natash,Mhm.,3,3,0,question
184,Natasha to Dash,I did… I’m just telling you what is written here. Wattage is four hundred thousand.,3,3,0,question
185,Dash,Four hundred thousand?,3,3,4,follow-me
186,Natash,"Yes, watts. Torque is forty on ninety thousand and [UI]",3,3,0,question
187,Dash,"Both, right?",3,3,4,follow-me
188,Natash,Mhm.,3,3,0,question
189,Dash,"As far as I see, our lady has filter A and that’s it. And we only need…",3,3,0,question
190,Natash,Like last time [SL] how many minutes?,3,3,0,question
191,Dash,Do I understand correctly the higher [UI] the better? … [UI]?,3,3,0,question
192,Ali,Yes.,3,3,0,question
193,Zheny,"Well, not for the address…",3,3,0,question
194,Ali,[UI],3,3,0,question
195,Rya,[UI],3,3,0,question
196,Nasty,Did you write that?,3,3,4,follow-me
197,Ali,I didn’t write anything. Dasha was asking that.,3,3,0,question
198,Nasty,"No, at the first [UI]",3,3,0,question
199,Ali,Yes. But did it make it to you?,3,3,4,follow-me
200,Nasty,"Mhm, just now.",3,3,0,question
201,Ali,Good.,3,3,0,question
202,Natash,And [SL] Pipe restriction is where?,3,3,0,question
203,Dash,For me it’s on the very first line.,3,3,0,question
204,Dash,Don’t see it?,3,3,4,follow-me
205,Natash,No.,3,3,0,question
206,Dash,Mhm… I’ll change it…,3,3,0,question
207,Natasha to Dash,How are you writing it?,3,3,4,follow-me
208,Dash,I have forty now.,3,3,0,question
209,Natash,"Nothing yet… But you changed something, right?",3,3,4,follow-me
210,Nastya to Ali,"You still haven’t entered anything, right?",3,3,4,follow-me
211,Ali,Me?,3,3,4,follow-me
212,Nasty,Yes.,3,3,0,question
213,Ali,Why? I did.,3,3,4,follow-me
214,Nasty,You did?,3,3,4,follow-me
215,Ali,Yes. All my data.,3,3,0,question
216,Zheny,"Save with this checkmark, right?",3,3,4,follow-me
217,Alik to Nasty,"Yes, I already entered them. You don’t see them?",3,3,4,follow-me
218,Nasty,I don’t see them.,3,3,0,question
219,Dash,"Ahh, done.",3,3,0,question
220,Zheny,What do we need here?,3,3,4,follow-me
221,Ali,Select or don’t select. And then hit submit.,3,3,0,question
222,Nastya to Dash,"You’re fluid, right?",3,3,4,follow-me
223,Dash,"Mhm… Writing horrible things about me again, eh?",3,3,4,follow-me
224,Nasty,Mhm.,3,3,0,question
225,Dash,I can keep going.,3,3,0,question
226,Nasty,"You’ll show your integrity, what you write to a child about [UI].",3,3,0,question
227,Dash,"Well, yeah.",3,3,3,backchannel
228,Nasty,[UI],3,3,0,question
229,Dash,Just if you have nothing to cover yourself from the rain…,3,3,0,question
230,Nasty,Mhm… I have a problem.,3,3,0,question
231,Dash,A very big problem.,3,3,0,question
232,Nasty,Again?,3,3,4,follow-me
233,Dash,I’m changing to thirty.,3,3,0,question
234,Ali,"Nastya, //you can see mine here, no?",3,3,4,follow-me
235,Dash,//[UI],3,3,0,question
236,Nasty,//No.,3,3,1,statement
237,Ali,Strange…,3,3,0,question
238,Nasty,But can you see mine?,3,3,4,follow-me
239,Ali,No.,3,3,0,question
240,Dash,I see yours… in the chat between you two.,3,3,0,question
241,Ali,Something is wrong.,3,3,0,question
242,Nasty,[UI],3,3,0,question
243,Zheny,"Okay, I typed something in here. //[UI]",3,3,0,question
244,Rya,//[UI],3,3,0,question
245,Dash,"So, E thirty.",3,3,0,question
246,Natash,"Yes, I’m changing watts and torque for now.",3,3,0,question
247,Dash,I don’t understand. [SL] Something is still broken.,3,3,0,question
248,Rya,[UI],3,3,0,question
249,Natash,//[UI],3,3,0,question
250,Ali,//[UI],3,3,0,question
251,Rya,I chose…,3,3,0,question
252,Zheny,You chose?,3,3,4,follow-me
253,Rya,"Yes, this one…",3,3,0,question
254,Zheny,Mhm. [SL] Now you need to enter your own… One as well?,3,3,0,question
255,Rya,"Yes. One, one and then //checkmark.",3,3,0,question
256,Nastya to Ali,"//What did you do? //Ah, just that?",3,3,4,follow-me
257,Ali,"Yes, [UI]",3,3,0,question
258,Nasty,"Yes, but why?",3,3,4,follow-me
259,Ali,Just…,3,3,0,question
260,Nasty,Then do it …for me too… Can you do mine now?,3,3,4,follow-me
261,Ali,…,3,3,0,question
262,Ryan to Zheny,And then… above…,3,3,0,question
263,Ali,Yours…//This is mine…,3,3,0,question
264,Nasty,"//Well yes, but mine… I also took. //Here it is.",3,3,0,question
265,Rya,//[UI],3,3,0,question
266,Natash,"Dasha, does yours work?",3,3,4,follow-me
267,Dash,//[UI],3,3,0,question
268,Rya,//[UI],3,3,0,question
269,Alik to Nasty,//[UI],3,3,0,question
270,Natash,"//Well, if needed, enter watts at five hundred thousand…",3,3,0,question
271,Ali,//here someone wrote…,3,3,0,question
272,Dash,//[UI],3,3,0,question
273,Ryan to Zheny,//Options…,3,3,0,question
274,Natash,And circulations…,3,3,0,question
275,Ryan to Zheny,And maybe checkmark…,3,3,0,question
276,Dash,//[UI],3,3,0,question
277,Rya,Yes.,3,3,0,question
278,Nastya to Ali,[UI],3,3,0,question
279,Rya,Click the checkmark and see if…,3,3,0,question
280,Ali,But who is hydrogeologist?,3,3,4,follow-me
281,Nasty,That girl is…,3,3,0,question
282,Ali,"Ah, yeah… [UI]",3,3,0,question
283,Ryan to Zheny,Yes…,3,3,0,question
284,Nasty,And so… these two here need to sign off. Because I can’t see them. [UI],3,3,0,question
285,Dash,They’re such dorks…,3,3,0,question
286,Zheny,[UI],3,3,0,question
287,Dash,"Yes, and you in particular.",3,3,0,question
288,Ali,Me? //I’m not on your team.,3,3,4,follow-me
289,Dash,"Yes. //I asked you: [SL] Pipe restrictions – the more the better? You said: Yes. I thought I did that, and it turns out I didn’t. The more, the [UI]",3,3,0,question
290,Natash,[UI],4,3,0,question
291,Ali,"Ah, now I see, Nastya.",4,3,0,question
292,Nasty,Yes? //[UI],4,3,0,question
293,Rya,[UI],4,3,0,question
294,Ali,"Maybe it works, but not where we are… We only understood that the fourth time…//Fine, now I’ll show you…",4,3,0,question
295,Natash,//[UI],4,3,0,question
296,Nasty,Okay.,4,3,0,question
297,Ali,Just a second.,4,3,0,question
298,Nasty,I can see you entering there [UI] A.,4,3,0,question
299,Ali,"Yeah…//Well, then…",4,3,1,statement
300,Dasha to Rya,//Everything is working.,4,3,0,question
301,Ali,Then it was all in vain…,4,3,0,question
302,Dash,[UI],4,3,0,question
303,Rya,Hmm. Refresh maybe.,4,3,0,question
304,Nasty,"Oh, great. We now have… Nine thousand //for population.",4,3,0,question
305,Dash,//Yours and mine…,4,3,0,question
306,Ali,"Oh, that’s good…",4,3,0,question
307,Nasty,"Yes, we’re finally not in the negatives.",4,3,0,question
308,Ali,That’s it… win.,4,3,0,question
309,Nasty,It’s good. I mean we have not much. It’s nine thousand – not minus like// last time. //[UI]population.,4,3,0,question
310,Ali,"//That’s it, Zhenya, people aren’t dying…",4,3,0,question
311,Zheny,//Yeah? //Thank God. //What do we need to do?,4,3,4,follow-me
312,Rya,//But we have [UI]?,4,3,0,question
313,Dash,//[UI],4,3,0,question
314,Ali,//Over there where Sign off is…,4,3,0,question
315,Rya,//[UI],4,3,0,question
316,Ali,//You see sign off?,4,3,4,follow-me
317,Zheny,//Yes.,4,3,1,statement
318,Ryan to Nasty,//[UI],4,3,0,question
319,Ali,//And right under Sign off you see the number of people. How many people.,4,3,0,question
320,Zheny,"Well, I see nine.",4,3,0,question
321,Dash,//[UI],4,3,0,question
322,Ali,"//There. Nine thousand three hundred ninety-one, right?",4,3,4,follow-me
323,Zheny,Mhm.,4,3,0,question
324,Ali,"There. So, that’s how many people //we can supply with water.",4,3,0,question
325,Natash,"//[SL] Cooper we’re leaving forty, right?",4,3,0,question
326,Dash,"//Right now. So, I reloaded everything and //[UI]",4,3,0,question
327,Zheny,//Totally awesome. //What do you need there? //Checkmark and…,4,3,4,follow-me
328,Ali,"[SL] You need to reward the others as well. //If you’re ready, you can already…",4,3,0,question
329,Zheny,I was ready from the beginning.,4,3,0,question
330,Ali,So did you already //answer yours?,4,3,4,follow-me
331,Nasty,//Did you already sign off?,4,3,4,follow-me
332,Zheny,"No, I’m not answering… They already know [UI]",4,3,0,question
333,Ali,"Okay, I’m activating Sign off now too…",4,3,0,question
334,Nasty,"Ok, me too.",4,3,0,question
335,Ali,Nastya and I are ready.,4,3,0,question
336,Zheny,"Well, place the checkmark?",4,3,4,follow-me
337,Dash,No.,4,3,0,question
338,Nasty,Alik and I placed ours already.,4,3,0,question
339,Ali,Dasha isn’t ready yet.,4,3,0,question
340,Zheny,So now them and us.,4,3,0,question
341,Nasty,"Well, we clicked already.",4,3,0,question
342,Ali,And meteorologist… Ryan already placed one.,4,3,0,question
343,Zheny,"Well, yeah.",4,3,3,backchannel
344,Rya,I placed one.,4,3,0,question
345,Zheny,You’re falling behind.,4,3,0,question
346,Dash,And [SL] CBC fifty was there initially?,4,3,0,question
347,Natash,"//[UI]…ah, [SL] CBC?",4,3,0,question
348,Dash,"No, [SL]CBC fifty… Tell me, please, five hundred thousand eight hundred… eighty thousand is correct for watts, right?",4,3,0,question
349,Natash,Yes… [UI],4,3,0,question
350,Dash,"Anyway, what’s here? Nothing?",4,3,4,follow-me
351,Natash,Your numbers don’t increase my output somehow. Only my numbers increase my output.,4,3,0,question
352,Dash,"Yes, yes, yes.",4,3,0,question
353,Rya,Pumps work…,4,3,0,question
354,Natash,"Yes. Torque… So, here we also have [UI] since they also placed checkmarks, entering more won’t work.",4,3,0,question
355,Dash,//Eighteen.,4,3,0,question
356,Rya,"//Eghteen… [UI] [SL] no, no, no… pipe materials.//CBC",4,3,0,question
357,Dash,[SL] CC.,4,3,0,question
358,Rya,Which one?,4,3,4,follow-me
359,Dash,"Five fifty… but, [UI] //[SL] eighty thousand.",4,3,0,question
360,Ali,"So, they didn’t answer you, right Nastya? Your question… Very good.",4,3,4,follow-me
361,Nasty,They’re probably afraid [UI],4,3,0,question
362,Dash,[UI],4,3,0,question
363,Ali,Nastya said they are scared to answer.,4,3,0,question
364,Dash,[SL] Why do we need these Chicagoans?,4,3,0,question
365,Zheny,//[UI],4,3,0,question
366,Ali,No answers about… She answered me.//[UI],4,3,0,question
367,Natash,//[UI],4,3,0,question
368,Dash,Ah Chicago – no.,4,3,0,question
369,Ali,Can Chicago hear anything?,4,3,4,follow-me
370,Dash,So why didn’t [SL] Zarya log on? We already logged on.,4,3,0,question
371,Nasty,//I do but hydrogeologist [SL] is not answering.,4,3,0,question
372,Rya,Maybe they are not even on.,4,3,0,question
373,Ali,"No, they are on. They answered.",4,3,0,question
374,Rya,"//Oh, they did? Ok.",4,3,4,follow-me
375,Natash,//It worked. I see that checkmark.,4,3,0,question
376,Dash,//Did you eat a walnut?,4,3,4,follow-me
377,Ali,//[UI],4,3,0,question
378,Nasty,No.,4,3,0,question
379,Dash,It’s like having soap in your mouth.,4,3,0,question
380,Nasty,//There is soap in the walnut.,4,3,0,question
381,Zheny,//Walnuts with soap are also delicious.,4,3,0,question
382,Dash,What kind again?,4,3,4,follow-me
383,Zheny,They just washed it but forgot to rinse.,4,3,0,question
384,Nasty,[UI],4,3,0,question
385,Dash,"Ah, I get it now. Yes.",4,3,0,question
386,Ali,"She ate a walnut. She said it tasted like soap in her mouth. And she is like: “Yeah. It’s just a soap in your walnut” [UI]. //It’s fine, right? Like that.",4,3,0,question
387,Rya,[UI],4,3,0,question
388,Zheny,No worries.,4,3,0,question
389,Ali,Like that…,4,3,0,question
390,Dash,"We’re waiting for six of them, right?",4,3,4,follow-me
391,Ali,We already did everything. We can wait.,4,3,0,question
392,Nasty,They just have [UI],4,3,0,question
393,Ali,Yes.,4,3,0,question
394,Zheny,"Well, of course //we already finished.",4,3,0,question
395,Ali,//[UI],4,3,0,question
396,Natash,"Oh, I got hungry suddenly.",4,3,0,question
397,Zheny,Of course. You’re working hard.,4,3,0,question
398,Dash,"And, anyway, that’s why… none of them never did anything in the past.",4,3,0,question
399,Nasty,I think they just didn’t turn it on.//Our office is also relaxing now.,4,3,0,question
400,Alik to Dash,//[UI],4,3,0,question
401,Natash,Mechanical is me.,4,3,0,question
402,Dash,Terrain specialist  is also ours. Meteorologist is ours too. //[UI,4,3,0,question
403,Nastya to Ali,"//We need to connect with them somehow, maybe then they’ll…",4,3,0,question
404,Ali,"Well, they’re writing to us. She even answered one of them…",4,3,0,question
405,Nasty,We have one – hydrogeologist. She’s alive.,4,3,0,question
406,Natash,She just doesn’t have time to answer for everyone.,4,3,0,question
407,Dash,"She’s like our Duma with those buttons, right?",4,3,4,follow-me
408,Natash,"On all the rows, right?",4,3,4,follow-me
409,Dash,Drilling wrote something there… Drilling is yours?,4,3,4,follow-me
410,Nasty,//Yes.,4,3,1,statement
411,Ali,//Yes. It’s Valeria.,4,3,0,question
412,Dash,And ours is totally lost.,4,3,0,question
413,Ali,They’re drinking tea.,4,3,0,question
414,Zheny,Building…,4,3,0,question
415,Dash,Maybe [UI],4,3,0,question
416,Zheny,While [UI]… while [UI] . I wonder– should we play this again?,4,3,0,question
417,Ali,We still need to //send letters.,4,3,0,question
418,Natash,//Letters.,4,3,0,question
419,Zheny,But we won’t be in this then?,4,3,4,follow-me
420,Ali,"Well, it’s ending now. Forty-five minutes… There… then we need to do one questionnaire and then send out letters.",4,3,0,question
421,Zheny,They’re not cancelling the questionnaire?,4,3,4,follow-me
422,Ali,[UI]? … no.,4,3,0,question
423,Zheny,[UI],4,3,0,question
424,Dash,"Dang, really… bitter.",4,3,0,question
425,Zheny,Want another one?,4,3,4,follow-me
426,Dash,I don’t want another one.,4,3,0,question
427,Ali,"Nastya, they aren’t writing you, are they?",4,3,4,follow-me
428,Nasty,No.,4,3,0,question
429,Zheny,"I don’t know. For the second time, they didn’t send me the time. They used to at least tell me.",4,3,0,question
430,Alik to Nasty,//But can you see me?,4,3,4,follow-me
431,Nastya to Ali,Are you doing something now?,4,3,4,follow-me
432,Ali,"I wrote, yes.",4,3,0,question
433,Nasty,Just a sec. I’m answering…,4,3,0,question
434,Zheny,I tried so hard. “Hello” I wrote.,4,3,0,question
435,Natash,All for nothing…,4,3,0,question
436,Zheny,I studied.,4,3,0,question
437,Ali,Twice the number of letters as last time.,4,3,0,question
438,Dash,We have such a cool chat with each other. How did I end up on a robot team anyway? [UI],4,3,0,question
439,Ali,[UI],4,3,0,question
440,Dash,Get out the herring and potatoes… I’m hungry.,4,3,0,question
441,Natash,With pleasure.,4,3,0,question
442,Dash,To [UI] I also agree.,4,3,0,question
443,Alik to Nasty,And you?,4,3,4,follow-me
444,Nasty,"Well, see – zero?",4,3,4,follow-me
445,Ali,"Ryan, did you get any messages?",4,3,4,follow-me
446,Rya,"//No, I don’t have.",4,3,0,question
447,Zheny,//Did it work?,4,3,4,follow-me
448,Ali,"Look: when they don’t do anything, we have good results- nine thousand people.",4,3,0,question
449,Natash,Yes.,4,3,0,question
450,Ali,No. I’m not saying anything. That’s just //how it is.,4,3,0,question
451,Dash,//Statistics.,4,3,0,question
452,Zheny,We’re doing it.,4,3,0,question
453,Natash,"We’re just sitting, watching, and doing nothing.",4,3,0,question
454,Zheny,"No, they’re probably reporting on paper: “Haven’t you even learned a couple words to answer with?”",4,3,4,follow-me
455,Dash,[UI],4,3,0,question
456,Zheny,While sitting and reading…,4,3,0,question
457,Ali,"//But Nastya, on the contrary, wrote that she liked their video.",4,3,0,question
458,Dash,//I didn’t offend anyone…,4,3,0,question
459,Nasty,//[UI],4,3,0,question
460,Ali,She wrote to them…,4,3,0,question
461,Zheny,Nastya?,4,3,4,follow-me
462,Ali,Yes.,4,3,0,question
463,Zheny,It’s a good video. Some funny people in it. That Max is a good guy.,4,3,0,question
464,Ali,Our guy.,4,3,0,question
465,Zheny,Yes… I feel like he eats well. Very good.,4,3,0,question
466,Nasty,Will they translate us? All these conversations?,4,3,4,follow-me
467,Zheny,And what? We’re not saying anything wrong. Max is great.,4,3,4,follow-me
468,Nasty,"Oh, Max answered “I think so.” That’s what he said.",4,3,0,question
469,Zheny,Did he answer you from last time?,4,3,4,follow-me
470,Nasty,Yes.,4,3,0,question
471,Zheny,Did it get there?,4,3,4,follow-me
472,Ali,In three weeks…,4,3,0,question
473,Nasty,No “Hi” or anything. Where are his manners?,4,3,4,follow-me
474,Zheny,Sneeze on him…,4,3,0,question
475,Nasty,Amazing. And that hydrogeologist also didn’t say “Hi.” Alik and I are trying here…,4,3,0,question
476,Ali,Yes. We’re being nice.,4,3,0,question
477,Rya,Fluid engineer?,4,3,4,follow-me
478,Ali,That’s Dasha.,4,3,0,question
479,Natash,Mhm.,4,3,0,question
480,Dasha to Rya,Are you using smilies?,4,3,4,follow-me
481,Nastya to Ali,"It’s fine, right?",4,3,4,follow-me
482,Ali,I mean you don’t need to try. I even asked there…,4,3,0,question
483,Zheny,"I told you from the very beginning, that all you need to write is “OK’ and that’s it… Oh, something came.",4,3,0,question
484,Ali,Oh!,4,3,0,question
485,Zheny,Fluid engineer.,4,3,0,question
486,Ali,It came from here…,4,3,0,question
487,Zheny,"Ryan, where are you?",4,3,4,follow-me
488,Ali,Soapy walnut is writing…,4,3,0,question
489,Nasty,That’s a new nickname.,4,3,0,question
490,Natash,[UI],4,3,0,question
491,Nastya to Rya,He called Dasha Soapy Walnut. It’s a new nickname.,4,3,0,question
