,sender,recipient,content,block,session,labels,labels_h
129,teamGeo,teamGeo,Structural Geologist: we are considering 41 17,2,1,0,statement
130,vc3,eng1,"hey, is filter j necessary ? It is very expensive",2,1,4,question
131,teamConstr,teamGeo,Materials Specialist: update about the location please? \n,2,1,4,question
132,teamvc,teamvc,Martian Meteorology Specialist: Do we know what type of pump?\n,2,1,4,question
133,teamvc,teamvc,Martian Terrain Specialist: Pump material is plastic,2,1,0,statement
134,teamGeo,teamConstr,"Structural Geologist: sorry, what about 41 17",2,1,0,statement
135,eng3,eng1,"has your team finished inputting all of its data? We have, aside from the fact we are waiting on Biochem to change Filter J.",2,1,4,question
136,con1,con2,drilling method??????????,2,1,4,question
137,teamGeo,teamGeo,"Sedimentologist: Ok, we're looking and wrapping up our assessment\n",2,1,0,statement
138,teamvc,teamvc,Martian Meteorology Specialist: what are the servicing values available to select from? ,2,1,4,question
139,teamvc,teamvc,Martian Terrain Specialist: None low high,2,1,0,statement
140,teamvc,teamvc,Martian Meteorology Specialist: high\n,2,1,0,statement
141,teamvc,teamvc,Martian Terrain Specialist: OK we're just waiting on the other teams now,2,1,0,statement
142,teamvc,teamvc,"Martian Meteorology Specialist: Can I sign off on 41,17 then?",2,1,4,question
143,geo3,con1,"Yo, what's with the rejection, also, can y'all choose another point we can assess?",2,1,4,question
144,geo3,con1,"Yo, what's with the rejection, also, can y'all choose another point we can assess?",2,1,4,question
145,geo3,con1,"Yo, what's with the rejection, also, can y'all choose another point we can assess?",2,1,4,question
146,teamvc,teamvc,Martian Terrain Specialist: Yes you can but if you sign off other people will not be able to input their data and material specialists are waiting for a message from their end,2,1,0,statement
147,geo3,con1,Got it,2,1,0,statement
148,teamvc,teamvc,Martian Terrain Specialist: Ok we're signing off,2,1,0,statement
149,teamvc,teamvc,Martian Meteorology Specialist: same thank you!!! this was fun!\n,2,1,0,statement
150,teamGeo,teamGeo,Structural Geologist: Thank you!\n,2,1,0,statement
151,geo1,geo2,Hello!\n\n\n,2,1,0,statement
152,geo1,geo2,Hello!\n\n\n,2,1,0,statement
153,geo1,geo2,Hello!\n\n\n,2,1,0,statement
154,teamvc,teamvc,Martian Terrain Specialist: Thank you! This was very fun and a little stressful haha,2,1,0,statement
155,teamvc,teamvc,Martian Meteorology Specialist: Agreed!!! lol\n,2,1,0,statement
156,teamGeo,teamGeo,Sedimentologist: Do y'all need to reselect the boxes?,2,1,4,question
157,teamGeo,teamGeo,Sedimentologist: Do y'all need to reselect the boxes?,2,1,4,question
158,teamGeo,teamGeo,Sedimentologist: Do y'all need to reselect the boxes?,2,1,4,question
159,con3,vc1,"If you need anything, I'm next to you",0,3,0,statement
160,eng1,eng3,Hi,0,3,0,statement
161,teamGeo,teamGeo,Sedimentologist: Comms check - anyone from MAG home?,0,3,4,question
162,teamConstr,teamConstr,Drilling Specialist: hello,0,3,0,statement
163,geo3,con1,Comms check - anyone from MAG home?,0,3,4,question
164,geo1,con3,yep,0,3,2,backchannel
165,teamConstr,teamConstr,Drilling Specialist: what about 32\\15?,0,3,0,statement
166,teamvc,teamvc,Martian Meteorology Specialist: Martian Meteorlogy Specialist reporting for duty.  It is 15:28 local Moscow time. \n,0,3,0,statement
167,geo1,vc1,I know),0,3,0,statement
168,teamGeo,teamvc,Hydrogeologist: Victoria is here!\n,0,3,0,statement
169,geo1,eng1,hey,0,3,0,statement
170,geo1,geo3,pepeeepe popo,0,3,0,statement
171,geo3,geo1,??????? ?????\n,0,3,4,question
172,teamGeo,teamGeo,Hydrogeologist: 32 15?\n,0,3,4,question
173,teamGeo,teamGeo,Hydrogeologist: what do you think?,0,3,4,question
174,teamConstr,teamConstr,Materials Specialist:  I will check it now,0,3,0,statement
175,geo1,geo3,aga,0,3,0,statement
176,eng1,eng2,"Hi, i suggest to consider point 32,15\n",0,3,0,statement
177,eng1,eng3,"Hi, i suggest to consider point 32,15",0,3,0,statement
178,eng1,geo2,"Hi, i suggest to consider point 32,15",0,3,0,statement
179,eng1,con1,"Hi, i suggest to consider point 32,15",0,3,0,statement
180,eng1,vc3,"Hi, i suggest to consider point 32,15",0,3,0,statement
181,geo3,con1,"Mic check 1, 2",0,3,0,statement
182,teamGeo,teamGeo,Sedimentologist: Big Party Time - anyone from MAG home?,0,3,4,question
183,teamvc,teamvc,Martian Terrain Specialist: Martian Terrain Specialist here! It is 6:40 AM Chicago time (15:39 Moscow time).,0,3,0,statement
184,teamGeo,teamGeo,Structural Geologist: MAG here\n,0,3,0,statement
185,teamvc,teamvc,Maintenance Specialist: Martian maintenance specialist also checking in at 6:40 AM Chicago time!,0,3,0,statement
186,con1,geo3,"hello! checking in, 6:42am local time",0,3,0,statement
187,eng2,eng1,Received and acknowledged at 0641 CST\n,0,3,0,statement
188,con1,eng1,"looking at it now, 6:42am local time",0,3,0,statement
189,eng3,eng1,Thank you. We are starting the task now,0,3,0,statement
190,teamConstr,teamConstr,Operations Specialist: checking now,0,3,0,statement
191,teamvc,teamvc,"Martian Terrain Specialist: We're looking at 32, 15",0,3,0,statement
192,teamGeo,teamGeo,"Structural Geologist: MAG team is discussing 32,15",0,3,0,statement
193,teamvc,teamvc,Martian Meteorology Specialist: Great! Hello!\nWe received a notification for sign-off phase already. Is that correct?\n,0,3,0,statement
194,teamvc,teamvc,"Martian Meteorology Specialist: As a team here, we discussed location 32, 15",0,3,0,statement
195,teamGeo,teamGeo,Sedimentologist: Good morning! Good to see you. It just kicked us over into Sign-Off phase - that sound right to y'all? I'm writing this at 15:44 Moscow time. Let me know when you received it Chi town time.,0,3,4,question
196,teamvc,teamvc,Martian Meteorology Specialist: Is there another location we should be looking at?,0,3,4,question
197,geo3,con1,Received 15:45 Moscow time.,0,3,0,statement
198,teamGeo,teamGeo,"Sedimentologist: We're currently working 32, 15 - any thoughts?\n",0,3,4,question
199,geo3,con1,"We're currently looking at 32, 15.",0,3,0,statement
200,con2,con1,hello! please check point 32|15,0,3,0,statement
201,teamvc,teamvc,Martian Terrain Specialist: Yes they said we don't have to sign off yet they just put that in the background,0,3,0,statement
202,teamvc,teamvc,"Martian Meteorology Specialist: 32, 15 looks good to me.  Population it reaches is only 600, could be more, but the location only has 1 orange zone, which I think is manageable when the others are 0.\nAccessibility is acceptable, too.  Could be higher, but I'm ok with it.  ",0,3,0,statement
203,con1,geo3,what kind of soil are we finding there? 6:48am local time,0,3,4,question
204,teamvc,teamvc,"Martian Meteorology Specialist: Another location besides 32, 15 could be 40, 18. Higher accessibility and reaches more people.",0,3,0,statement
205,teamGeo,teamGeo,Structural Geologist: received at 6.48 am Chicago time ,0,3,0,statement
206,teamGeo,teamGeo,"Structural Geologist: it kicked us into signoff phase, but we were told that we don't need to enter values if we're not ready yet, just return to map & notes",0,3,0,statement
207,teamvc,teamvc,"Maintenance Specialist: Hello, did you guys test out any other locations?\n",0,3,4,question
208,teamGeo,teamGeo,"Structural Geologist: 32, 15 sounds good to me, but other members of the MAG team are still discussing\n",1,3,0,statement
209,teamvc,teamvc,"Maintenance Specialist: 32,15 is somewhat expensive",1,3,0,statement
210,con1,con2,our terrain specialist says it won't support enough people - only 600. any other ideas? 6:50am local time,1,3,4,question
211,teamGeo,teamGeo,"Structural Geologist: 32,15 does not work for some MAG members: we're now checking out different areas",1,3,0,statement
212,teamvc,teamvc,Martian Terrain Specialist: Ok we're potentially looking at some other locations right now,1,3,0,statement
213,teamConstr,teamConstr,Materials Specialist: any update?,1,3,4,question
214,teamGeo,teamGeo,"Sedimentologist: Ok, we've confirmed what looks like that 3 minute delay. 15:52",1,3,0,statement
215,teamvc,teamvc,"Martian Terrain Specialist: 40, 18 doesn't work because the amount of water available is basically 0",1,3,0,statement
216,geo3,con1,15:52 - looks decent enough. But I'm just an amateur.,1,3,0,statement
217,teamvc,teamvc,"Martian Terrain Specialist: can we try 31, 39",1,3,0,statement
218,teamGeo,teamGeo,Sedimentologist: 15:55 - copy. Give us some good news when you can. ,1,3,0,statement
219,teamvc,teamvc,Martian Terrain Specialist: never mind there's too many red zones I think,1,3,0,statement
220,teamvc,teamvc,Martian Meteorology Specialist: Where does that information come from by the way? ,1,3,4,question
221,teamvc,teamvc,"Martian Meteorology Specialist: Regarding the amount of water for that above question from me.  Also, thank you for the information, I've relayed that to everyone here. ",1,3,0,statement
222,teamvc,teamvc,Maintenance Specialist: What is a good ratio of green zones to red zones?\n,1,3,4,question
223,teamConstr,teamConstr,"Operations Specialist: we've scrapped 32, 15 - currently scanning for other options. 6:57am local time",1,3,0,statement
224,teamGeo,teamGeo,"Structural Geologist: try 25,41\n",1,3,0,statement
225,teamGeo,teamGeo,Structural Geologist: 6.59 am now ,1,3,0,statement
226,teamvc,teamvc,Martian Terrain Specialist: That comes from the mechanical engineer (amount of water),1,3,0,statement
227,teamConstr,teamConstr,"Materials Specialist: we are also looking for other options, let us know if you have any suggestions.\nLocal time is 16:02 PM",1,3,0,statement
228,con1,con2,"looking at 2, 8 and liking it a lot - what kind of drilling method would we need? 200k wattage, 50k torque. 7:02am local time",1,3,4,question
229,teamvc,teamvc,"Martian Terrain Specialist: We're looking at 2, 8",1,3,0,statement
230,teamConstr,teamConstr,"Operations Specialist: really liking 2, 8. 200k wattage and 50k torque. any info on what that would look like - drill brand and head? 7:04am local time",1,3,0,statement
231,teamGeo,teamGeo,"Structural Geologist: 7.04 am - currently considering 2,8",1,3,0,statement
232,teamGeo,teamGeo,"Sedimentologist: 16:04 - 25, 41 looks good from the geology side here but our people are saying it looks expensive.",1,3,0,statement
233,geo3,con1,"16:05 - 25, 41 looks good from the geology team but our drilling and materials people are saying it's too expensive. What are y'all thinking?",1,3,0,statement
234,teamvc,teamvc,"Martian Meteorology Specialist: Ratio is hard to say. I try to avoid red zones if possible since that will incur a high cost. The costs also depend on the distance of the zones.  But if there is a red zone, that would increase the fundraising training costs. ",1,3,0,statement
235,vc3,con2,"Hey do you have your personal info on 2,8\n",1,3,0,statement
236,geo3,con1,"16:07 - 02, 08 looks like we have basically complete water loss",1,3,0,statement
237,teamvc,teamvc,"Martian Meteorology Specialist: We can try to do calculations for 2, 8.  I'm doing a test case and adding in my training decisions (Hygiene 9, Usability 1, Maintenance 3, Fundraising 6)\n",1,3,0,statement
238,teamGeo,teamGeo,"Sedimentologist: 16:08 - 02, 08 looks like we have complete water loss. Not looking good.",1,3,0,statement
239,eng3,eng1,"The point 2,8 is good for our time",1,3,0,statement
240,teamGeo,teamGeo,"Structural Geologist: 7.08 - no longer considering 25,41",1,3,0,statement
241,teamvc,teamvc,"Martian Meteorology Specialist: @Maintenance, what would your pump wattage and torque and filters and pip material/width and such be if we did 2, 8?",1,3,0,statement
242,eng3,eng1,I meant that it is good for our team\n,1,3,0,statement
243,con2,con1,Percussion Jetting method,1,3,0,statement
244,con1,con3,"2, 8 - what kind of drilling materials would we use? 7:09 local time",1,3,4,question
245,teamEng,teamvc,"Biochemical Engineer: Hi, where in your opinion the settlement has to locate",1,3,0,statement
246,teamvc,teamvc,Maintenance Specialist: 15 minutes left at 7:12 Chicago time,1,3,0,statement
247,eng3,eng1,We have 15 minutes left for this task,1,3,0,statement
248,con1,geo3,15 minutes left. 7:12am local time,1,3,0,statement
249,con2,vc3,Percussion Jetting method,1,3,0,statement
250,teamGeo,teamGeo,Structural Geologist: 7.13 - 15 minutes left\n,1,3,0,statement
251,teamGeo,teamGeo,"Structural Geologist: 7,13 - is there any way that 2,8 could work? the entire MAG team is liking 2,8",1,3,4,question
252,teamGeo,teamGeo,Sedimentologist: 16:13 - copy. We've moved on as well.,1,3,0,statement
253,teamGeo,teamGeo,Structural Geologist: 7.13 - or any recommendations for a new point?,1,3,4,question
254,teamvc,teamvc,Maintenance Specialist: Pump wattage and torque we had 250000 and 50 respectively\nwith A D H for filters and copper with pipe width,1,3,0,statement
255,con1,geo3,"7:14 - 2, 8 is our best option at the moment. any way we could make it work?",1,3,4,question
256,teamvc,teamvc,"Martian Terrain Specialist: @meteorology what is the parts source for 2,8?",1,3,4,question
257,teamConstr,teamConstr,"Materials Specialist: Brand A, and Drill Head A .. Drilling Specialist kindly advise? ",1,3,4,question
258,teamvc,teamvc,"Martian Meteorology Specialist: Sedimentologist here said that we \""lose all water\"" at 2, 8\nso he says that won't work. ",1,3,0,statement
259,teamvc,teamvc,"Maintenance Specialist: 300000 wattage, 50000 torque is working well with our mech e",1,3,0,statement
260,geo3,con1,16:15 - copy. We're hunting water. Will send more points soon.,1,3,0,statement
261,con2,vc3,37.26?,1,3,4,question
262,eng1,eng3,"we cannot accept 2,8",1,3,0,statement
263,teamGeo,teamGeo,Sedimentologist: 16:16 - copy. We're moving.,1,3,0,statement
264,con2,con1,What about 37.26?,1,3,4,question
265,con3,con1,we have the option to choose between Titanium and Steel\n16:17 local time,1,3,0,statement
266,teamGeo,teamGeo,"Sedimentologist: 02, 08 has 100% water loss.",1,3,0,statement
267,teamvc,teamvc,Maintenance Specialist: 10 more minutes at 7:17 Chicago time,1,3,0,statement
268,teamConstr,teamConstr,"Operations Specialist: 7:16am - at point 2, 8 with 300k wattage and 50k torque what is our drilling method and materials brand, drill, etc.?",1,3,0,statement
269,teamvc,teamvc,"Martian Terrain Specialist: Hygiene 9, Usability 6, Maintenance 9, Fundraising 1\ngives me a terrain cost of 0 which is great",1,3,0,statement
270,teamGeo,teamGeo,Sedimentologist: 16:17 - Do you think we can bend on the price point? Some of the earlier sites actually had water but were just too expensive.,1,3,4,question
271,teamConstr,teamConstr,Operations Specialist: need all info from drilling and materials,2,3,0,statement
272,teamEng,teamvc,"Mechanical Engineer: Hello, we are liking (2,8). I can get 163,837 as my pump output using 300,00 Wattage and 50,000 Torque. We are current waiting on communications from the drilling specialist and materials specialist before we decide if this is truly a good option, but as of right now the majority of us are getting good values for this location (Sent at 0718 CST)\n",2,3,0,statement
273,geo3,con1,"16:18 - 2, 8 has like 100% water loss.",2,3,0,statement
274,geo3,con1,"24, 14",2,3,0,statement
275,teamGeo,teamGeo,"Sedimentologist: 16:19 - 24, 14",2,3,0,statement
276,eng1,eng2,not water,2,3,0,statement
277,vc3,con2,we will check it out,2,3,0,statement
278,teamGeo,teamGeo,"Structural Geologist: 7.20 - considering 37,26",2,3,0,statement
279,teamvc,teamvc,"Martian Meteorology Specialist:  Try 24, 14\n",2,3,0,statement
280,teamGeo,teamGeo,"Structural Geologist: 7.20 - never mind, 32,26 is too expensive",2,3,0,statement
281,teamConstr,teamConstr,Drilling Specialist: 24.14?,2,3,4,question
282,vc3,con2,"This is way to expensive for me, do you have any other points",2,3,0,statement
283,teamGeo,teamGeo,"Sedimentologist: 16:21 - Drilling and Materials are saying 24, 14 is workable. Not the best, but workable.",2,3,0,statement
284,geo3,con1,"16:21 - Drilling and Materials are saying 24, 14 is workable. Not the best, but workable.",2,3,0,statement
285,eng1,eng3,"24,14\n",2,3,0,statement
286,teamvc,teamvc,"Martian Meteorology Specialist: not the BEST for me, but it seems to be agreeable for everyone else, so in that case, we can increase training costs slightly from a meteorological standpoint.  ",2,3,0,statement
287,teamvc,teamvc,Maintenance Specialist: 5 minutes left 721 cst!,2,3,0,statement
288,eng3,eng1,We have 5 minutes. Do you have any other points you suggest we examine,2,3,0,statement
289,teamConstr,teamConstr,"Materials Specialist: what do you think 24,14?",2,3,4,question
290,teamEng,teamvc,"Biochemical Engineer: 24,14?",2,3,4,question
291,teamConstr,teamConstr,Drilling Specialist: please check this point,2,3,0,statement
292,teamGeo,teamGeo,"Structural Geologist: 7.22 - 24,14 is not so good",2,3,0,statement
293,teamConstr,teamConstr,Materials Specialist: for complex job we recommend to use Drill Brand A and Drill head A,2,3,0,statement
294,con1,geo3,"25, 41",2,3,0,statement
295,teamvc,teamEng,"Martian Meteorology Specialist: The sedimentologist here says that 2,8 is not good because of the water loss\n",2,3,0,statement
296,teamConstr,teamConstr,Materials Specialist: local time 16:24,2,3,0,statement
297,teamvc,teamvc,"Maintenance Specialist: I think everyone in MAG is heavily leaning on 2, 8",2,3,0,statement
298,teamvc,teamvc,"Martian Meteorology Specialist: Can we circle back to 32,15?  Was that THAT expensive? ",2,3,4,question
299,con2,vc3,24.14,2,3,0,statement
300,con1,geo3,"maintenance says 24, 14 is the worst thing they've ever seen",2,3,0,statement
301,teamvc,teamvc,"Maintenance Specialist: 24,14 does not work for our team (worst values for a couple)",2,3,0,statement
