,preds,explanations
110,f,"The first utterance is classified as a Floor Grabber. It contains floor grabber words like ""um"" and ""uh"" which are used to gain attention and interrupt the current speaker. "
111,q,"The second utterance is classified as a Question (<q>) because it starts with ""and"" and ends with a question mark, indicating that it is a question. "
112,b,"The third utterance is classified as a Backchannel (<b>) because it is a one-word response (""right"") that indicates the listener is following along. "
113,s,The fourth utterance is classified as a Statement (<s>) because it provides an explanation for a previous statement without any question or interruption markers. 
114,s,The fifth utterance is classified as a Statement (<s>) because it provides a statement about the purpose of adding an extra level of indirection without any question or interruption markers.
115,s,"The utterance ""except the timeline is going to be huge."" is classified as a statement (<s>) because it does not exhibit any specific features of other dialogue acts such as a question, floor grabber, incomplete utterance, or backchannel. It is a complete statement expressing a fact or opinion. "
116,s,"The utterance ""if you say"" is classified as a statement (<s>) because it does not exhibit any specific features of other dialogue acts. It is a complete statement expressing a conditional scenario. "
117,s,"The utterance ""yes."" is classified as a statement (<s>) because it does not exhibit any specific features of other dialogue acts. It is a one-word statement expressing agreement or affirmation. "
118,b,"The utterance ""yeah."" is classified as a backchannel (<b>) because it is a short utterance that indicates the listener is following along or paying attention. "
119,b,"The utterance ""yeah especially at the phone level."" is classified as a backchannel (<b>) because it is a short utterance that indicates the listener is following along or paying attention."
120,s,"The utterance ""suppose you have a phone level alignment"" is a statement because it presents a hypothetical scenario. "
121,s,"The utterance ""the we we have phone level backtraces"" is a statement because it describes a situation or fact. "
122,s,"The utterance ""you'd have you'd have"" is a statement because it repeats a phrase without indicating a specific dialogue act. "
123,b,"The utterance ""yeah this"" is a backchannel because it is a short, non-committal response that indicates the listener's attention or agreement. "
124,s,"The utterance ""i don't think i would do this for phone level"" is a statement because it expresses an opinion or belief."
125,f,"The utterance ""um"" is a floor grabber because it is a common floor grabber used to gain attention or interrupt the current speaker. "
126,s,"The utterance ""i think for phone level you want to use some sort of binary representation."" is a statement because it is providing information or expressing an opinion. "
127,s,"The utterance ""because it'll be too dense otherwise."" is a statement because it is providing a reason or explanation. "
128,f,"The utterance ""okay."" is a floor grabber used to regain attention or signal the end of a speaker's turn. "
129,q,"The utterance ""so if you were doing that and you had this sort of companion uh thing that gets called up for phone level uh what would that look like?"" is a question because it is asking for information or seeking clarification."
130,q,"The utterance ""how would you"" is a question because it starts with the word ""how"" and ends with a question mark. "
131,s,"The utterance ""i would use just an existing an existing way of doing it"" is a statement because it does not contain any question words or question marks. "
132,b,"The utterance ""huh"" is a backchannel because it is a short utterance that indicates the listener is following along or paying attention. "
133,f,"The utterance ""but but why not use it for phone level"" is a floor grabber because it starts with the word ""but"" and is repeated to gain attention and interrupt the current speaker. "
134,f,"The utterance ""it's just a matter of it's just a matter of it being bigger"" is a floor grabber because it repeats the phrase ""it's just a matter of"" to gain attention and interrupt the current speaker."
135,f,"The utterance ""but if you have"" is classified as a Floor Grabber (<f>) because it starts with a floor grabber word ""but"" which is used to interrupt the current speaker and gain attention. "
136,s,"The utterance ""you know barring memory limitations uh i mean this is still the"" is classified as a Statement (<s>) because it does not have any clear floor grabber or question markers. It is a complete statement providing information. "
137,s,"The utterance ""it's parsing limitations."" is classified as a Statement (<s>) because it is a complete statement providing information without any floor grabber or question markers. "
138,s,"The utterance ""i don't want to have this text file that you have to read in the whole thing to do something very simple for."" is classified as a Statement (<s>) because it is a complete statement providing information without any floor grabber or question markers. "
139,b,"The utterance ""oh no."" is classified as a Backchannel (<b>) because it is a short utterance that functions as a backchannel, indicating that the listener is following along or expressing a reaction."
140,s,"The utterance ""you would use it only for purposes where you actually want the phone level information i'd imagine."" is classified as a statement (<s>) because it is a complete sentence expressing an opinion or providing information. "
141,s,"The utterance ""so you could have some file that configures how much information you want in your in your x.m.l. or something."" is also classified as a statement (<s>) because it is a complete sentence providing information. "
142,b,"The utterance ""right."" is classified as a backchannel (<b>) because it is a short utterance that indicates the listener is paying attention or understanding. "
143,f,"The utterance ""i mean you'd"" is classified as a floor grabber (<f>) because it contains the phrase ""i mean"" which is a common floor grabber used to interrupt and gain attention. "
144,f,"The utterance ""um"" is also classified as a floor grabber (<f>) because it is a common filler word used to gain attention or indicate hesitation."
145,d,"The utterance ""because it does get very with"" is classified as an Incomplete Utterance (<d>) because it is an incomplete sentence and does not convey a clear meaning. "
146,s,"The utterance ""i i am imagining you'd have multiple versions of this depending on the information that you want."" is classified as a Statement (<s>) because it is a complete sentence expressing a thought or opinion. "
147,f,"The utterance ""you"" is classified as a Floor Grabber (<f>) because it is a single-word utterance that can be used to grab the floor and gain attention. "
148,b,"The utterance ""right."" is classified as a Backchannel (<b>) because it is a short utterance that indicates agreement or acknowledgement. "
149,f,"The utterance ""um"" is classified as a Floor Grabber (<f>) because it is a common floor grabber used to gain the floor or signal a change in topic."
150,s,"The utterance ""i'm just"" is classified as a Statement because it does not exhibit any specific features of other dialogue acts. It is a simple statement without any indication of interruption or backchanneling. "
151,q,"The utterance ""what i'm wondering is whether"" is classified as a Question. It starts with the word ""what"" and ends with ""whether"", indicating an interrogative structure. "
152,s,"The utterance ""i think for word level this would be okay."" is classified as a Statement. It is a complete sentence expressing a personal opinion or thought. "
153,b,"The utterance ""yeah."" is classified as a Backchannel. It is a short, affirmative response indicating agreement or acknowledgement. "
154,b,"The utterance ""yeah."" is classified as a Backchannel. It is a short, affirmative response indicating agreement or acknowledgement."
155,b,"The utterance ""for word level it's all right."" is a backchannel because it is a short, affirmative response that indicates the listener is following along or paying attention. "
156,b,"The utterance ""definitely."" is a backchannel because it is a short, affirmative response that indicates the listener is following along or paying attention. "
157,b,"The utterance ""uhhuh."" is a backchannel because it is a short, affirmative response that indicates the listener is following along or paying attention. "
158,s,"The utterance ""for lower than word level you're talking about so much data that i just i don't know."" is a statement because it is a complete sentence expressing the speaker's opinion or knowledge. "
159,q,"The utterance ""i don't know if that"" is a question because it is asking for information or clarification."
160,f,"The utterance ""i mean we actually have"" contains the floor grabber ""i mean"" which is used to interrupt the current speaker and gain the floor. "
161,s,"The utterance ""so one thing that don is doing is we're we're running for every frame you get a pitch value"" is a statement as it provides information without interrupting the current speaker or asking a question. "
162,s,"The utterance ""lattices are big too"" is a statement as it provides information without interrupting the current speaker or asking a question. "
163,s,"The utterance ""and not only one pitch value but different kinds of pitch values"" is a statement as it provides information without interrupting the current speaker or asking a question. "
164,s,"The utterance ""depending on"" is a statement as it provides information without interrupting the current speaker or asking a question."
165,b,"The utterance ""yeah i mean for something like that i would use p. file."" is classified as a backchannel. It is a backchannel because it is a response that indicates the listener is following along or paying attention. "
166,b,"The utterance ""or or any frame level stuff i would use p. file."" is also classified as a backchannel. It is a backchannel because it is a response that indicates the listener is following along or paying attention. "
167,q,"The utterance ""meaning?"" is classified as a question. It is a question because it is seeking clarification or further information. "
168,f,"The utterance ""uh that's a well or something like it."" is classified as a floor grabber. It is a floor grabber because it is an utterance used to interrupt the current speaker and gain attention or regain the floor. "
169,s,"The utterance ""it's uh icsi has a format for frame level representation of features."" is classified as a statement. It is a statement because it is conveying information without seeking clarification or asking a question."
170,s,"The utterance ""okay."" is classified as a Statement (<s>) because it doesn't exhibit any specific features of other dialogue acts and defaults to being a statement. "
171,f,"The utterance ""um"" is classified as a Floor Grabber (<f>) because it is a common floor grabber used to gain attention and interrupt the current speaker. "
172,s,"The utterance ""that you could call that you would tie into this representation with like an i.d."" is classified as a Statement (<s>) because it is a complete and coherent sentence that doesn't exhibit any specific features of other dialogue acts. "
173,b,"The utterance ""right."" is classified as a Backchannel (<b>) because it is a common backchannel used to indicate agreement or understanding. "
174,b,"The utterance ""right."" is classified as a Backchannel (<b>) because it is a common backchannel used to indicate agreement or understanding."
175,s,"The utterance ""or or there's a there's a particular way in x.m.l. to refer to external resources."" is classified as a Statement. It is a complete sentence that provides information about a particular way to refer to external resources in XML. "
176,s,"The utterance ""and"" is classified as a Statement. It does not have any key linguistic or semantic features that indicate it as a different dialogue act. "
177,s,"The utterance ""okay."" is classified as a Statement. It is a complete sentence that indicates agreement or understanding. "
178,s,"The utterance ""so you would say refer to this external file."" is classified as a Statement. It is a complete sentence that provides information about referring to an external file. "
179,f,"The utterance ""um"" is classified as a Floor Grabber. It is a common floor grabber used to gain attention or indicate hesitation."
180,f,"The utterance ""so that external file wouldn't be in"" contains the floor grabber ""so"" which is commonly used to gain attention and interrupt the current speaker. Therefore, it is classified as a Floor Grabber. "
181,s,"The utterance ""so that might that might work"" does not contain any floor grabbers or question words, and it does not seem to be an incomplete utterance. It is a complete statement, so it is classified as a Statement (<s>). "
182,q,"The utterance ""but what what's the advantage of doing that versus just putting it into this format?"" is a question as it starts with ""but"" and includes the question word ""what"". Therefore, it is classified as a Question. "
183,s,"The utterance ""more compact"" is a statement as it does not contain any question words or floor grabbers. Therefore, it is classified as a Statement. "
184,q,"The utterance ""which i think is is better"" is a question as it starts with the question word ""which"". Therefore, it is classified as a Question."
185,b,"The utterance ""uhhuh"" is a backchannel because it is a response made by a listener to indicate that they are following along or paying attention. "
186,f,"The utterance ""i mean if you did it at this"" is a floor grabber because it is used to interrupt the current speaker and gain the floor. The phrase ""i mean"" is a common floor grabber. "
187,s,"The utterance ""i mean these are long meetings"" is a statement because it is a general statement about long meetings. "
188,f,"The utterance ""and with for every frame"" is a floor grabber because it starts with the word ""and"" which is a common floor grabber used to interrupt and gain attention. "
189,s,"The utterance ""you don't want to do it with that"" is a statement because it is giving advice or expressing a preference."
190,f,"The utterance ""um"" is a floor grabber because it is a common floor grabber used to gain attention and interrupt the current speaker. "
191,s,"The utterance ""anything at frame level you had better encode binary."" is a statement because it is a complete sentence expressing a personal opinion. "
192,s,"The utterance ""or it's going to be really painful."" is a statement because it is a complete sentence expressing a consequence. "
193,f,"The utterance ""or you just"" is a floor grabber because it is a common floor grabber used to interrupt the current speaker and gain attention. "
194,s,"The utterance ""i mean i like text formats."" is a statement because it is a complete sentence expressing a personal preference."
195,f,"The utterance ""um"" is a floor grabber because it is used to gain attention and interrupt the current speaker. "
196,s,"The utterance ""you can always uh g. zip them."" is a statement because it is providing information without asking a question or backchanneling. "
197,s,"The utterance ""and um you know decompress them on the fly if if space is really a concern."" is a statement because it is providing information without asking a question or backchanneling. "
198,f,"The utterance ""yeah i was"" is a floor grabber because it is a common floor grabber used to gain attention or interrupt the current speaker. "
199,s,"The utterance ""i was thinking the advantage is that we can share this with other people."" is a statement because it is providing information without asking a question or backchanneling."
200,f,"The utterance ""well but if you're talking about one per frame you're talking about gigabyte-size files."" contains the floor grabber ""well"" which is used to interrupt the current speaker and gain attention. Therefore, it is classified as a Floor Grabber. "
201,s,"The utterance ""you're going to actually run out of space in your filesystem for one file."" is a statement that provides information. Therefore, it is classified as a Statement. "
202,s,"The utterance ""these are big files."" is a statement that provides information. Therefore, it is classified as a Statement. "
203,f,"The utterance ""these are really"" is a floor grabber that is followed by a change in topic. Therefore, it is classified as a Floor Grabber. "
204,f,"The utterance ""i mean"" is a floor grabber that is used to interrupt the current speaker and gain attention. Therefore, it is classified as a Floor Grabber."
205,q,"The utterance ""right?"" is a question because it ends with a question mark. "
206,s,"The utterance ""because you have a two-gigabyte limit on most o.s.'s."" is a statement because it provides information without asking a question or expressing doubt. "
207,b,"The utterance ""right."" is a backchannel because it is a short, affirmative response that indicates the listener is following along. "
208,b,"The utterance ""okay."" is a backchannel because it is a short, affirmative response that indicates the listener is following along. "
209,s,"The utterance ""i would say"" is a statement because it expresses an opinion or belief without asking a question."
210,s,"The utterance ""okay so frame level is probably not a good idea."" is classified as a Statement (<s>) because it does not exhibit any specific features of other dialogue acts. It is a straightforward statement expressing an opinion. "
211,f,"The utterance ""and it's"" is classified as a Floor Grabber (<f>) because it is a common floor grabber used to interrupt the current speaker and gain attention. It is a short phrase that is often repeated to grab the floor. "
212,s,"The utterance ""but for phone level stuff it's perfectly"" is classified as a Statement. It does not contain any key linguistic or semantic features that indicate it is a question, backchannel, incomplete utterance, or floor grabber. "
213,s,"The utterance ""like phones or syllables or anything like that."" is classified as a Statement. It does not contain any key linguistic or semantic features that indicate it is a question, backchannel, incomplete utterance, or floor grabber. "
214,s,"The utterance ""phones are every five frames though."" is classified as a Statement. It does not contain any key linguistic or semantic features that indicate it is a question, backchannel, incomplete utterance, or floor grabber."
215,f,"The utterance ""so"" is a floor grabber because it is a common floor grabber used to gain attention or interrupt the current speaker. "
216,s,"The utterance ""or something like that."" is classified as a statement because it does not exhibit any characteristics of other dialogue acts such as questions or backchannels. "
217,s,"The utterance ""but but but most of the frames are actually not speech."" is classified as a statement because it provides information and does not have the characteristics of other dialogue acts. "
218,f,"The utterance ""so"" is a floor grabber for the same reasons as the first utterance. "
219,s,"The utterance ""you know people don't"" is classified as a statement because it is providing information and does not have the characteristics of other dialogue acts."
220,b,"The utterance ""yeah"" is a backchannel because it is a simple acknowledgement or agreement without any specific address or question. "
221,s,"The utterance ""look at it words times the average the average number of phones in an english word is i don't know five maybe?"" is a statement because it provides information without asking a question or interrupting the flow of conversation. "
222,s,"The utterance ""but we actually"" is a statement because it continues the previous statement without asking a question or interrupting the flow of conversation. "
223,s,"The utterance ""so look at it number of words times five."" is a statement because it provides information without asking a question or interrupting the flow of conversation. "
224,d,"The utterance ""oh so you mean pause phones take up a lot of the"" is an incomplete utterance because it is interrupted and does not form a complete sentence. It contains an ellipsis indicating an interruption."
225,d,"The utterance ""that's not that not"" is marked as an Incomplete Utterance (<d>) because it is incomplete and does not form a complete sentence. "
226,f,"The utterance ""long pause phones"" does not have any clear dialogue act features. It is classified as a Floor Grabber (<f>) because it is a short phrase that could be used to gain attention or interrupt the current speaker. "
227,b,"The utterance ""yep"" is marked as a Backchannel (<b>) because it is a short utterance that indicates the listener is following along or paying attention. "
228,b,"The utterance ""exactly"" is marked as a Backchannel (<b>) for the same reason as the previous utterance. "
229,b,"The utterance ""yeah"" is marked as a Backchannel (<b>) for the same reason as the previous utterances."
230,b,"The utterance ""okay."" is classified as a backchannel because it is a short, non-committal response that indicates the listener is following along or paying attention. "
231,b,"The utterance ""yeah."" is also classified as a backchannel for the same reasons as the previous utterance. "
232,s,"The utterance ""that's true."" is classified as a statement because it is a complete sentence expressing agreement or confirmation. "
233,s,"The utterance ""but you do have to keep them in there."" is classified as a statement because it is a complete sentence expressing a contrasting or opposing viewpoint. "
234,b,"The utterance ""yeah."" is classified as a backchannel for the same reasons as the previous backchannel utterances."
235,f,"The utterance ""so i think it it's debatable whether you want to do phone level in the same thing."" starts with the floor grabber ""so"" which indicates that the speaker wants to gain the floor. Therefore, it is classified as a Floor Grabber. "
236,s,"The utterance ""okay."" is a simple statement and does not have any characteristics of other dialogue acts. Therefore, it is classified as a Statement. "
237,s,"The utterance ""but i think anything at frame level even p. file is too verbose."" is a statement that does not have any floor grabbers or question markers. Therefore, it is classified as a Statement. "
238,f,"The utterance ""okay."" is a simple statement and does not have any characteristics of other dialogue acts. Therefore, it is classified as a Statement. "
239,f,"The utterance ""so"" is a floor grabber that indicates the speaker wants to gain the floor. Therefore, it is classified as a Floor Grabber."
240,s,"The utterance ""i would use something tighter than p. files."" is classified as a Statement (<s>) because it expresses a personal opinion or preference. "
241,q,"The utterance ""do you are you familiar with it?"" is classified as a Question (<q>) because it is asking for information or confirmation. "
242,f,"The utterance ""so"" is classified as a Floor Grabber (<f>) because it is a common floor grabber used to gain attention or interrupt the current speaker. "
243,s,"The utterance ""i haven't seen this particular format."" is classified as a Statement (<s>) because it expresses a personal experience or observation. "
