,content
177, Yes. “Large RIP” –  it means that you are not happy…It’s a slang expression for “you are wrong; you’ve made a huge mistake”.
178," Ah, okay."
179, Fatal mistake. RIP.
180, And RIP – is it an acronym or is it a word?
181," //It is an acronym, It …"
182, //Rest in…
183, Rest in peace.
184, Rest in peace.
185," Yes. “Rest in peace”. When people die, they count on it."
186, And we say – “Rest with peace”
187," Oh, yes."
188, What is it in Russian?
189, Rest with peace.
190, Rest with peace?
191, I like the subject today. //Rest quickly!
192, //Quickly! Quickly!
193, Eighteen three.
194, Eighteen three.
195, [UI]
196," Yeah. Drilling suggested, right?"
197, Yeah.
198, Are you and me in the same crew? Robotics?
199, [SL] Sure is.
200, It’s not bad.
201, 100% water loss.
202, Okay. Very bad.
203, It’s too deep also.
204," It’s weird. I don’t think my chat is working, because I wrote in robotics and mine didn’t show up and I’m not getting those."
205, Try from here.
206," No, no. I wrote also in robotics."
207, Weird.
208, It is weird.
209, Have the guys written to somebody?
210, Yeah. They have contacted us.
211, Not me.
212, Twenty-four forty-three.
213," Twenty-four…Very bad. No, no."
214," Which one, Oleg?"
215, Twenty-four forty-three.
216, Twenty-four forty-three. Ash has stopped here.
217," It’s just a thousand liters of water. In short, no water."
218, Operation specialist said: “Chicago vibes have arrived”.
219, Yuck!
220, Yuck! Let’s get rid of it. How could you?
221," Eighteen three. Well, again."
222," No, we already…"
223," Oh, that was the one…okay. I guess that’s the…They say eighteen one."
224, Eighteen one.
225, Eighteen one.
226, Did they look at any of the ones that we suggested yet?
227, It has…
228, Oh! Eighteen one is not too bad for me. Not bad at all.
229, 97% water loss though.
230, Oh.
231, A lot of water loss. //Оh! Why did they go so deep?
232, //Because it’s [UI].
233, It’s// high…high contamination.
234, //Because for me it’s the best option.
235, According to the number of potential population reached. Over nine thousand. And the accessibility is quite high – 75%.
236, Oops.
237," I did it again…Oh baby, baby."
238," Twenty-eight. Perhaps, the surface…"
239, Twenty-eight.
240, Yes.
241, Okay for me.
242, 99% water loss.
243, Nuts.
244," Will, have you understood if there is any correlation with where there is a lot of water? Do you, besides the water basin itself, have some other parameter that would give you an idea?"
245," What do you mean? So, it is…"
246," Well, for me, for example, if it is deep, it may be clean. Surface water is dirtier. So, I can indirectly determine things by the water depth."
247," I have, specifically… specifically, the main formula is the average water loss. It depends on…"
248, On the depth?
249," No. It depends on…there are two layers and there are two types of what the layers consist of. That is what determines the percentage of water loss. That’s all. But it doesn’t really affect it because either it’s already in the calculation, so I don’t have to do anything with it, but just say what percentage of water is lost and how much water there is there..."
250, Let’s write here.
251, Sixteen six? Did anybody check sixteen six?
252, I don’t think so.
253, Sixteen six?
254, Not yet.
255, 100% water loss.
256, Shame.
257, It’s too deep also.
258, Shame. Why? They also //didn’t say anything about the points that we suggested.
259, //[UI]
260, Hm?
261, They said nothing regarding…
262, Which one?
263, The ones that Oleg suggested. Twenty-eight twenty-one and thirteen sixteen. They didn’t say anything.
264," Yeah, what did they say?"
265," I suggested to them, but…"
266, They haven’t yet logged in.
267," We’ve checked eighteen one, right? It doesn’t work?"
268, What?
269, Eighteen one.
270," They said they are still holding on for eighteen one, hoping that it works, but you said 97% water loss there, right?"
271," I mean, you end up with like …where is it? Like twelve thousand left. I mean, it’s not…"
272, Twelve thousand…
273, Liters left. And that’s just from after the loss. But then you have to filter it.
274, Thirty-eight thirty-five.
275, Thirty-eight thirty-five…100% water loss.
276, Check six six.
277, No water.
278, And does the temperature of the sand or soil affect things for someone?
279, What?
280, Temperature. Is there such a parameter?
281," Perhaps, there is but…Yes, there is that one."
282, Soil temperature.
283," Yes, there is that here, but not…"
284, Doesn’t impact things?
285, Yes.
286, Блин!
287, What about twelve fourteen? Twelve fourteen?
288, What do you think of this one?
289, Twelve fourteen.
290, Hm?
291, Thirteen fourteen.
292, Twelve fourteen.
293, Twelve?
294, Yeah.
295, What about thirteen fourteen?
296, Do you want me to check that?
297, Did you get any response from them regarding the…
298, No.
299, The points we suggested?
300, Yeah.
301, No. They seem to be ignoring us.
302, Yeah.
303," I mean, let’s let them. If they want to hunt, they’re gonna hunt. I mean…"
304, It’s okay for me.
305, Which?
306, Twelve…twelve…
307, Twelve fourteen?
308, Yes.
309," Will, will. What do you think? //Twelve fourteen."
310, //Twelve fourteen.
311," //Oleg, twelve fourteen?"
312, //And thirteen fourteen.
313," All in all, not too bad."
314, They said: // “Our team…
315, //No water.
316," Oh, never mind."
317," “Our team, generally, they didn’t like thirteen sixteen or twenty-eight twenty-one.”"
318," Thirteen fourteen, please."
319, Thirteen fourteen.
320, Yes.
321, Very good.
322, Yes?
323, Yes.
324, No way!
325, Yeah.
326, Thank you.
327, Wow! One point away from mine.
328," Which point, Vika?"
329, Thirteen fourteen. Please check thirteen fourteen.
330, Ok. I will now work on the questions…
331, Yes.
332," Ash, what about you?"
333," Oh, sorry. I had the survey questions so, I forgot."
334," Oh, sure."
335," It’s pretty good for me, actually. Yours too?"
336, Yep.
337, Just a second.
338, [SL] Will you respond?
339, Thirteen fourteen?
340, Yes.
341, I think yes. Good.
342, [UI]
343," [SL] Okay, we will keep this one. Excellent."
344, Cool. And I have only just started…
345, What other points did we like?
346, Twenty-eight twenty-one and //thirteen sixteen.
347, //What?
348, What?
349, It was like a mega one.
350, In my isolation? One more time?
351, Twenty-eight twenty-one.
352, One. Again.
353," Thirteen sixteen and thirteen fourteen – that one that you said…For me, all three of these points are with only minimal water loss."
354, Have they written anything to anybody? Is there any reaction?
355," Yes, one of my team is writing to me."
356, Twenty-eight twenty-one?
357, Only the meteorologist is writing to me.
358, Twenty-eight twenty-one?
359," Yeah, that’s the one that we took before."
360, Yeah.
361, It was the first one.
362, Yeah.
363, The perfect.
364," Yeah, yeah. They didn’t like it."
365, Terrain specialist…
366, They didn’t like it?
367, Mm-mm.
368, Even sixteen…even thirteen sixteen.
369," Oh, okay."
370," Wait, what?"
371, Thirteen sixteen and twenty-eight twenty-one.
372, You mean thirteen fourteen?
373," No, // thirteen sixteen was the first point that we gave them."
374, //This is different.
375," Oh, I see, I see. Okay."
376," But thirteen fourteen, I hope they get back to us about."
377, Why your team is keeping silence?
378, Excuse me. The Martian terrain specialist is talking to me.
379, Oh. Wow!
380, Don’t be hating on my team.
381," Congrats! They said: “Okay, that’s fine.” Thirteen fourteen."
382, Thirteen fourteen?
383, Yeah.
384, [SL] We need to be finishing already.
385," Okay. Forty-six, forty-three."
386, A new one?
387, Forty-six forty-three is passable.
388, They suggested that one?
389, But just…
390, Forty or thirty?
391," Forty-six – forty-six, forty-three. It’s got a lot of water loss, but it’s got an awful lot available."
392," Forty-six forty-three, right?"
393, Yes. It’s okay for me.
394," It’s bad for me. Bad, bad, bad."
395," Oh, wait, I am looking at my point. Oh, God. Look, who is such a Narcissus."
396, //So good for us!
397, //Now bad. It’s too deep. I think it will be too expensive for Salik to extract this water.
398," Salah can pay for everything, right?"
399, Huh?
400," It’s okay, I am speaking for you."
401, Why are you doing that?
402, Forty-six forty-three.
403," Which point are you looking at, guys?"
404, Forty-six forty-three.
405, It’s a big “eh” for me.
406, Forty-six forty-three. Who said this one?
407, They did.
408, Big “X”.
409, Big “X” for me too.
410, Immediately not.
411, Immediately not! Listen.
412, Immediately.
413," Forty…they like forty-six forty-three. So, forty-six forty-three…"
414, I didn’t like it.
415, It’s pretty bad for us.
416, //I didn’t like it.
417, //Three times as deep.
418, What happened to them liking thirteen fourteen?
419, Yes!
420," Thirteen fourteen? Operation and drilling, they said it’s fine for them."
421, Thirty-six thirty-two.
422, Which one?
423, Thirteen fourteen.
424," Ah, forty-six forty-two, yeah, that’s…"
425," We agreed, yeah, with drilling and operation specialist. They said, that’s fine."
426," Yeah, because they just suggested…"
427, Forty-six thirty-two?
428, Forty-six thirty-two.
429, It’s still pretty bad compared to the others.
430, It’s okay for me.
431, Six…
432," Excuse me, but…"
433, Fine.
434, Fine.
435, It’s pretty…it’s a lot of water.
436, Okay. I guess I can make it work.
437," Salya, it is good for you."
438, More than previous points. Thirteen fourteen…
439, Forty-six thirty-two is just decent.
440, I like thirteen fourteen.
441, [UI]
442, Should I tell them it’s decent?
443, Yeah.
444, Is forty-six thirty-two good for everyone?
445, Yes.
446, Huh?
447, Forty-six thirty-two was okay for you? No?
448," Big NO, but…"
449," No, no. Another one. //Forty-six thirty-two."
450, //Forty-sox thirty-two.
451, Thirty-two? Oh okay.
452, Yes.
453, Yeah. It’s okay.
454, Des…
455, Decent.
456, Decent?
457, “Decent”- “normal”.
458, Hooray!
459, Which point?
460, What did they choose?
461," Nothing so far, I think."
462, They are giving forty-six thirty-two.
463," Yes, here I can see it."
464," Ah, you did, Will?"
465, I put it in there. And then…
466, Phew!
467, Fine.
468," Now they are saying thirteen sixteen might be fine, but…"
469," So, …"
470, They put Forty-six thirty-two.
471, //I put it in there.
472, //He put it in there.
473, Yeah.
474, Let’s see what they do.
475, Was it from us or from them?
476, From us.
477," Yes, they have already agreed on that among themselves."
478," Alright. So, green, red…[UI]"
479, Okay.
480," Alright. So, I don’t see them active."
481, Huh?
482,  I don’t see them active yet.
483, Yeah.
484, What indicator do you have? Is it nine thousand? Is it how much water there is at the depth?
485, That’s not connected to me.
486," Well, you have… oh, wait, it is wrong… Sedimentologist, here…temperature, temperature …Here, you have the indicator – it is…"
487, It’s a layer.
488," What is yours, Ash?"
489, This.
490, [SL] Yours is this one?
491," Yeah, I do the last four. Somebody else on my team has to do the repair frequency. Later."
492," Okay, they jumped in. Okay."
493, Okay. We accept.
494, Sign off?
495," Actually, it looks like everything is filled in."
496, Yeah. They put everything.
497," So, yeah. Let’s."
498," Salya, were you the first one to decide?"
499, [UI].
500, Are we going to sign? Yes?
501," Okay, Oleg signed."
502, Why is mine not showing? //I just did it.
503, // I signed also.
504, We have completed everything.
505," [SL] Hydrologist okay. Operation, waiting for you."
506, Mine is still not showing up?
507," Maintenance, operation, okay."
508, Did you reset it?
509, That’s not me.
510, Oh.
511, Martian //terrain specialist…
512, //Alright. Give them a second. Wait for Martian terrain specialist.
513, She already put her stuff in though.
514," Well, okay, okay."
515, They’ll click on it when they need to.
516, And who the freak changed my…!?
517, Really?
518, What are you doing?!!
519, Who?
520, Who the heck is changing my…Martian terrain? You better not!!
521, Let’s see here.
522, Is someone changing it for you?
523, Yes!
524, Easy! Easy!
525, Changed //maintenance decision or changed usability decision?
526," //I’m changing it back. Hygiene, usability, maintenance, fund raising is on me. All those decisions are me. They are just repair frequency."
527, Okay.
528, Is everyone signing now?
529, Yes.
530, What?
531, Today is your day.
532," Oh, that’s interesting."
533, What?
534, They said to re-click it.
535," Come on, come on, maintenance specialist. Yeah! We are done, I think."
536," So, DeChurch nine."
537, Nine?
538, Yes.
539, Nuts.
540, Cool.
541," No, right away."
542, Nuts.
543, Nuts.
544, Are you a normal person?
545, Five seconds.
546," Interesting, do they fill questionnaires also?"
547, Mhm.
548, I think so.
549, I think they do. That and TTB.
550, Salya!
551, Salah!
552, Okay.
553, Can we take a quick group photo at the end? Since we’re looking pretty?
554, What? What?
555, Can we take a photo at the end? A group photo? Since the cameras are already there.
556, Bones? In my isolation?
557, It’s mine.
558, Cool.
559, Cool.
560, What’s taking so long?
561, You keep working.
562, Eat something if you want.
563, I see you are feeling bored. She is missing the letters. Read.
564, There’s a lot accumulated for you.
565, Right here.
566," Oh, shit! Didn’t mean to do that."
567, No?
568, I messed up.
569, What?
570," Oh, I sent it to the wrong person."
571, Nuts! Shame! Shame!
572, What’s this one?
573, It’s just [UI]
574, Shoot! I sent it to the wrong place.
575, Nuts! Shame! Shame!
576, It was definitely yours. I know for sure.
577, [UI]
578, Nuts!
579, Cool!
580," The tenth one, right?"
581, Yes.
582, Okay.
